# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.160
metadata : {}


# id : NWRW1800000021.160.1.1
[박영균 논설위원의 추천! 비즈 북스]불황의 경제학

[박영균	[/SS+박영균/NNP
논설위원의	논설위원/NNG+의/JKG
추천!	추천/NNG+!/SF
비즈	비즈/NNG
북스]불황의	북스/NNG+]/SS+불황/NNG+의/JKG
경제학	경제학/NNG


# id : NWRW1800000021.160.2.1
◇ 불황의 경제학·폴 크루그먼 지음·안진환 옮김·240쪽·1만4000원·세종서적

◇	◇/SW
불황의	불황/NNG+의/JKG
경제학·폴	경제학/NNG+·/SP+폴/NNP
크루그먼	크루그먼/NNP
지음·안진환	짓/VV+음/ETN+·/SP+안진환/NNP
옮김·240쪽·1만4000원·세종서적	옮기/VV+ㅁ/ETN+·/SP+240/SN+쪽/NNG+·/SP+1/SN+만/NR+4000/SN+원/NNB+·/SP+세종서적/NNP


# id : NWRW1800000021.160.3.1
주가가 다시 오르고 일부 지역에서 아파트 청약 경쟁률이 높아지자 경기가 살아난다는 분석이 나오고 있다.

주가가	주가/NNG+가/JKS
다시	다시/MAG
오르고	오르/VV+고/EC
일부	일부/NNG
지역에서	지역/NNG+에서/JKB
아파트	아파트/NNG
청약	청약/NNG
경쟁률이	경쟁/NNG+률/XSN+이/JKS
높아지자	높아지/VV+자/EC
경기가	경기/NNG+가/JKS
살아난다는	살아나/VV+ㄴ다는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.160.3.2
비록 환율 효과 덕이긴 하지만 한국 기업들의 실적도 경쟁국가에 비하면 훨씬 나은 편이긴 하다.

비록	비록/MAG
환율	환율/NNG
효과	효과/NNG
덕이긴	덕/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
한국	한국/NNP
기업들의	기업/NNG+들/XSN+의/JKG
실적도	실적/NNG+도/JX
경쟁국가에	경쟁/NNG+국가/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
훨씬	훨씬/MAG
나은	낫/VA+은/ETM
편이긴	편/NNB+이/VCP+기/ETN+ㄴ/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000021.160.3.3
이번 위기는 11년 전 외환위기 때와 다르게 오래갈 것이라는 전망과 달리 회복 시기가 앞당겨질 것이란 기대를 갖게 한다.

이번	이번/NNG
위기는	위기/NNG+는/JX
11년	11/SN+년/NNB
전	전/NNG
외환위기	외환/NNG+위기/NNG
때와	때/NNG+와/JKB
다르게	다르/VA+게/EC
오래갈	오래가/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망과	전망/NNG+과/JKB
달리	달리/MAG
회복	회복/NNG
시기가	시기/NNG+가/JKS
앞당겨질	앞당기/VV+어/EC+지/VX+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대를	기대/NNG+를/JKO
갖게	갖/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.160.4.1
하지만 정부나 민간이나 경제전문가들은 아직 신중하다.

하지만	하지만/MAJ
정부나	정부/NNG+나/JC
민간이나	민간/NNG+이나/JC
경제전문가들은	경제/NNG+전문가/NNG+들/XSN+은/JX
아직	아직/MAG
신중하다.	신중/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.160.4.2
“하강 속도가 완만해지고 있지만 경제상황이 현저하게 개선된 것은 없다”는 이성태 한국은행 총재의 말이 그렇다.

“하강	“/SS+하강/NNG
속도가	속도/NNG+가/JKS
완만해지고	완만하/VA+아/EC+지/VX+고/EC
있지만	있/VX+지만/EC
경제상황이	경제/NNG+상황/NNG+이/JKS
현저하게	현저하/VA+게/EC
개선된	개선/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없다”는	없/VA+다/EF+”/SS+는/ETM
이성태	이성태/NNP
한국은행	한국은행/NNP
총재의	총재/NNG+의/JKG
말이	말/NNG+이/JKS
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000021.160.5.1
미국에서도 낙관론과 신중론이 엇갈린다.

미국에서도	미국/NNP+에서/JKB+도/JX
낙관론과	낙관/NNG+론/XSN+과/JC
신중론이	신중/NNG+론/XSN+이/JKS
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.5.2
버락 오바마 미국 대통령이 “희망의 빛이 보이기 시작했다”고 말하는 것이나 “경기 하락속도가 완화되고 있다는 신호를 잡았다”는 벤 버냉키 미국 연방준비제도이사회 의장의 말이 낙관론을 대변한다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
“희망의	“/SS+희망/NNG+의/JKG
빛이	빛/NNG+이/JKS
보이기	보이/VV+기/ETN
시작했다”고	시작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
것이나	것/NNB+이나/JX
“경기	“/SS+경기/NNG
하락속도가	하락/NNG+속도/NNG+가/JKS
완화되고	완화/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
신호를	신호/NNG+를/JKO
잡았다”는	잡/VV+았/EP+다/EF+”/SS+는/ETM
벤	벤/NNP
버냉키	버냉키/NNP
연방준비제도이사회	연방준비제도이사회/NNP
의장의	의장/NNG+의/JKG
말이	말/NNG+이/JKS
낙관론을	낙관/NNG+론/XSN+을/JKO
대변한다.	대변/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.5.3
그 반대쪽에서 최근의 회복현상이 일시적인 착시현상이라고 보는 대표적 학자가 바로 폴 크루그먼(프린스턴대 교수)이다.

그	그/MMD
반대쪽에서	반대쪽/NNG+에서/JKB
최근의	최근/NNG+의/JKG
회복현상이	회복/NNG+현상/NNG+이/JKS
일시적인	일시/NNG+적/XSN+이/VCP+ㄴ/ETM
착시현상이라고	착시/NNG+현상/NNG+이/VCP+라고/EC
보는	보/VV+는/ETM
대표적	대표/NNG+적/XSN
학자가	학자/NNG+가/JKS
바로	바로/MAG
폴	폴/NNP
크루그먼(프린스턴대	크루그먼/NNP+(/SS+프린스턴대/NNP
교수)이다.	교수/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.160.6.1
그는 일찍이 1994년 말 “아시아 경제의 기적은 없다”고 주장해 주목을 끌었다.

그는	그/NP+는/JX
일찍이	일찍이/MAG
1994년	1994/SN+년/NNB
말	말/NNB
“아시아	“/SS+아시아/NNP
경제의	경제/NNG+의/JKG
기적은	기적/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장해	주장/NNG+하/XSV+아/EC
주목을	주목/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.160.6.2
결국 3년 뒤 그의 말대로 아시아 경제가 위기를 맞았다.

결국	결국/MAG
3년	3/SN+년/NNB
뒤	뒤/NNG
그의	그/NP+의/JKG
말대로	말/NNG+대로/JX
아시아	아시아/NNP
경제가	경제/NNG+가/JKS
위기를	위기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.160.6.3
아시아 경제위기, 외환위기가 발생한 직후에도 그는 이 책과 제목이 똑같은 ‘불황의 경제학’이란 책에서 또 경고를 날렸다.

아시아	아시아/NNP
경제위기,	경제/NNG+위기/NNG+,/SP
외환위기가	외환/NNG+위기/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
직후에도	직후/NNG+에/JKB+도/JX
그는	그/NP+는/JX
이	이/MMD
책과	책/NNG+과/JC
제목이	제목/NNG+이/JKS
똑같은	똑같/VA+은/ETM
‘불황의	‘/SS+불황/NNG+의/JKG
경제학’이란	경제학/NNG+’/SS+이/VCP+란/ETM
책에서	책/NNG+에서/JKB
또	또/MAG
경고를	경고/NNG+를/JKO
