# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.93
metadata : {}


# id : NWRW1800000036.93.1.1
68년간 도망다닌 ‘97살 나치 전범’ 체포

68년간	68/SN+년/NNB+간/XSN
도망다닌	도망/NNG+다니/VV+ㄴ/ETM
‘97살	‘/SS+97/SN+살/NNB
나치	나치/NNP
전범’	전범/NNG+’/SS
체포	체포/NNG


# id : NWRW1800000036.93.2.1
나치 전범 수배 명단의 최상위에 올라 있는 헝가리인 라슬로 사타리(97)가 18일 헝가리 당국에 체포됐다.

나치	나치/NNP
전범	전범/NNG
수배	수배/NNG
명단의	명단/NNG+의/JKG
최상위에	최/XPN+상위/NNG+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
헝가리인	헝가리인/NNG
라슬로	라슬로/NNP
사타리(97)가	사타리/NNP+(/SS+97/SN+)/SS+가/JKS
18일	18/SN+일/NNB
헝가리	헝가리/NNP
당국에	당국/NNG+에/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.2.2
헝가리 검찰은 이날 새벽 시내의 한 아파트에서 그를 붙잡았다고 <에이피>(AP) 통신 등이 전했다.

헝가리	헝가리/NNP
검찰은	검찰/NNG+은/JX
이날	이날/NNG
새벽	새벽/NNG
시내의	시내/NNG+의/JKG
한	한/MMN
아파트에서	아파트/NNG+에서/JKB
그를	그/NP+를/JKO
붙잡았다고	붙잡/VV+았/EP+다고/EC
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신	통신/NNG
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.93.3.1
사타리는 제2차 세계대전 중 발생한 유대인 학살에 가담한 혐의를 받고 있다.

사타리는	사타리/NNP+는/JX
제2차	제/XPN+2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
중	중/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
유대인	유대인/NNP
학살에	학살/NNG+에/JKB
가담한	가담/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.93.3.2
그는 당시 헝가리 관할이던 슬로바키아 코시체의 고위 경찰로 재직하면서 1만5700여명의 유대인을 아우슈비츠 등의 수용소로 보내 죽게 만든 혐의를 받고 있다.

그는	그/NP+는/JX
당시	당시/NNG
헝가리	헝가리/NNP
관할이던	관할/NNG+이/VCP+던/ETM
슬로바키아	슬로바키아/NNP
코시체의	코시체/NNP+의/JKG
고위	고위/NNG
경찰로	경찰/NNG+로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
1만5700여명의	1/SN+만/NR+5700/SN+여/XSN+명/NNB+의/JKG
유대인을	유대인/NNP+을/JKO
아우슈비츠	아우슈비츠/NNP
등의	등/NNB+의/JKG
수용소로	수용소/NNG+로/JKB
보내	보내/VV+어/EC
죽게	죽/VV+게/EC
만든	만들/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.93.4.1
사타리는 군 검찰 조사실에서 몇 시간 동안 심문을 받은 뒤 나이가 많은 점이 고려돼 가택 연금됐다.

사타리는	사타리/NNP+는/JX
군	군/NNG
검찰	검찰/NNG
조사실에서	조사실/NNG+에서/JKB
몇	몇/NR
시간	시간/NNB
동안	동안/NNG
