# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.134
metadata : {}


# id : NWRW1800000028.134.1.1
관행화된 향응 ‘스폰서 검사’ 키웠다

관행화된	관행/NNG+화/XSN+되/XSV+ㄴ/ETM
향응	향응/NNG
‘스폰서	‘/SS+스폰서/NNG
검사’	검사/NNG+’/SS
키웠다	키우/VV+었/EP+다/EF


# id : NWRW1800000028.134.2.1
<문화방송> ‘피디(PD)수첩’이 보도한 건설업체 전 사장 정아무개(51)씨의 ‘검사 향응 리스트’는 검찰 안 ‘스폰서’ 문화를 적나라하게 드러냈다는 평가를 받고 있다.

<문화방송>	</SS+문화방송/NNP+>/SS
‘피디(PD)수첩’이	‘/SS+피디/NNG+(/SS+PD/SL+)/SS+수첩/NNG+’/SS+이/JKS
보도한	보도/NNG+하/XSV+ㄴ/ETM
건설업체	건설업체/NNG
전	전/MMD
사장	사장/NNG
정아무개(51)씨의	정/NNP+아무개/NP+(/SS+51/SN+)/SS+씨/NNB+의/JKG
‘검사	‘/SS+검사/NNG
향응	향응/NNG
리스트’는	리스트/NNG+’/SS+는/JX
검찰	검찰/NNG
안	안/NNG
‘스폰서’	‘/SS+스폰서/NNG+’/SS
문화를	문화/NNG+를/JKO
적나라하게	적나라하/VA+게/EC
드러냈다는	드러내/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.134.2.2
정씨는 검사를 관리하기 위해 금품과 술자리 성접대까지 다양한 방법을 동원했다.

정씨는	정/NNP+씨/NNB+는/JX
검사를	검사/NNG+를/JKO
관리하기	관리/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
금품과	금품/NNG+과/JC
술자리	술자리/NNG
성접대까지	성/NNG+접대/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
방법을	방법/NNG+을/JKO
동원했다.	동원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.3.1
그러나 검찰 안팎에서는 이번에 드러난 스폰서 문화가 ‘빙산의 일각’이라는 말도 나온다.

그러나	그러나/MAJ
검찰	검찰/NNG
안팎에서는	안팎/NNG+에서/JKB+는/JX
이번에	이번/NNG+에/JKB
드러난	드러나/VV+ㄴ/ETM
스폰서	스폰서/NNG
문화가	문화/NNG+가/JKS
‘빙산의	‘/SS+빙산/NNG+의/JKG
일각’이라는	일각/NNG+’/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.134.3.2
검찰총장 후보자가 15억원이나 되는 돈을 차용증 한 장 없이 빌리는 현실을 볼 때 스폰서 문화는 훨씬 더 뿌리가 깊다는 것이다.

검찰총장	검찰/NNG+총장/NNG
후보자가	후보자/NNG+가/JKS
15억원이나	15/SN+억/NR+원/NNB+이나/JX
되는	되/VV+는/ETM
돈을	돈/NNG+을/JKO
차용증	차용증/NNG
한	한/MMN
장	장/NNB
없이	없이/MAG
빌리는	빌리/VV+는/ETM
현실을	현실/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
스폰서	스폰서/NNG
문화는	문화/NNG+는/JX
훨씬	훨씬/MAG
더	더/MAG
뿌리가	뿌리/NNG+가/JKS
깊다는	깊/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.134.4.1
■ 스폰서는 인간관계의 일종?

■	■/SW
스폰서는	스폰서/NNG+는/JX
인간관계의	인간관계/NNG+의/JKG
일종?	일종/NNG+?/SF


# id : NWRW1800000028.134.4.2
검사들은 스스로도 스폰서 문화를 인간관계의 일종으로 생각하는 것이 가장 큰 문제라고 말한다.

검사들은	검사/NNG+들/XSN+은/JX
스스로도	스스로/NNG+도/JX
스폰서	스폰서/NNG
문화를	문화/NNG+를/JKO
인간관계의	인간관계/NNG+의/JKG
일종으로	일종/NNG+으로/JKB
생각하는	생각/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제라고	문제/NNG+이/VCP+라고/EC
