# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.3
metadata : {}


# id : NWRW1800000032.3.1.1
국민은행, 대규모 전보발령 /노조 “고용안정 위협” 반발

국민은행,	국민은행/NNP+,/SP
대규모	대/XPN+규모/NNG
전보발령	전보/NNG+발령/NNG
/노조	//SP+노조/NNG
“고용안정	“/SS+고용/NNG+안정/NNG
위협”	위협/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000032.3.2.1
추가 구조조정에 노사갈등 커져

추가	추가/NNG
구조조정에	구조/NNG+조정/NNG+에/JKB
노사갈등	노사/NNG+갈등/NNG
커져	커지/VV+어/EF


# id : NWRW1800000032.3.3.1
지난해 3000여명의 직원들을 희망퇴직시킨 케이비(KB)국민은행이 연초부터 2차 인력 구조조정에 나서자 노동조합이 행장실 앞 농성에 들어가는 등 노사 갈등이 다시 커지고 있다.

지난해	지난해/NNG
3000여명의	3000/SN+여/XSN+명/NNB+의/JKG
직원들을	직원/NNG+들/XSN+을/JKO
희망퇴직시킨	희망퇴직/NNG+시키/XSV+ㄴ/ETM
케이비(KB)국민은행이	케이비/NNP+(/SS+KB/SL+)/SS+국민은행/NNP+이/JKS
연초부터	연초/NNG+부터/JX
2차	2/SN+차/NNB
인력	인력/NNG
구조조정에	구조/NNG+조정/NNG+에/JKB
나서자	나서/VV+자/EC
노동조합이	노동조합/NNG+이/JKS
행장실	행장실/NNG
앞	앞/NNG
농성에	농성/NNG+에/JKB
들어가는	들어가/VV+는/ETM
등	등/NNB
노사	노사/NNG
갈등이	갈등/NNG+이/JKS
다시	다시/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.3.4.1
국민은행은 지난 17일 업무 실적이 부진한 직원 219명을 최근 신설한 성과향상추진본부로 발령냈다.

국민은행은	국민은행/NNP+은/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
업무	업무/NNG
실적이	실적/NNG+이/JKS
부진한	부진/NNG+하/XSA+ㄴ/ETM
직원	직원/NNG
219명을	219/SN+명/NNB+을/JKO
최근	최근/MAG
신설한	신설/NNG+하/XSV+ㄴ/ETM
성과향상추진본부로	성과/NNG+향상/NNG+추진/NNG+본부/NNG+로/JKB
발령냈다.	발령/NNG+내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.3.4.2
노동조합은 이에 반발해 서울 여의도 본점 1층 로비와 12층 행장실 앞에서 농성을 벌이고 있다.

노동조합은	노동조합/NNG+은/JX
이에	이/NP+에/JKB
반발해	반발/NNG+하/XSV+아/EC
서울	서울/NNP
여의도	여의도/NNP
본점	본점/NNG
1층	1/SN+층/NNG
로비와	로비/NNG+와/JC
12층	12/SN+층/NNG
행장실	행장실/NNG
앞에서	앞/NNG+에서/JKB
농성을	농성/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.3.4.3
노동조합은 지난해 3000명 이상을 희망퇴직으로 내보내는 등 대규모 구조조정을 시행한 지 얼마 안 돼 또다시 인위적인 구조조정을 추진하고 있다며 강하게 반발하고 있다.

노동조합은	노동조합/NNG+은/JX
지난해	지난해/NNG
3000명	3000/SN+명/NNB
이상을	이상/NNG+을/JKO
희망퇴직으로	희망퇴직/NNG+으로/JKB
내보내는	내보내/VV+는/ETM
등	등/NNB
대규모	대/XPN+규모/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
또다시	또다시/MAG
인위적인	인위/NNG+적/XSN+이/VCP+ㄴ/ETM
추진하고	추진/NNG+하/XSV+고/EC
있다며	있/VX+다며/EC
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.3.5.1
백운선 국민은행 노조 수석부위원장은 “성과향상추진본부는 조합원들의 고용안정을 위협하는 상시 구조조정 프로그램”이라며 “어윤대 케이비금융지주 회장이 지난해 취임 당시 밝혔던 구조조정 방안이 하나씩 현실화하고 있다”고 말했다.

백운선	백운선/NNP
국민은행	국민은행/NNP
노조	노조/NNG
수석부위원장은	수석/NNG+부위원장/NNG+은/JX
“성과향상추진본부는	“/SS+성과/NNG+향상/NNG+추진/NNG+본부/NNG+는/JX
조합원들의	조합원/NNG+들/XSN+의/JKG
고용안정을	고용/NNG+안정/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
상시	상시/NNG
구조조정	구조/NNG+조정/NNG
프로그램”이라며	프로그램/NNG+”/SS+이/VCP+라며/EC
“어윤대	“/SS+어윤대/NNP
케이비금융지주	케이비금융지주/NNP
회장이	회장/NNG+이/JKS
지난해	지난해/NNG
취임	취임/NNG
당시	당시/NNG
밝혔던	밝히/VV+었/EP+던/ETM
방안이	방안/NNG+이/JKS
하나씩	하나/NR+씩/XSN
현실화하고	현실/NNG+화/XSN+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.3.5.2
그는 “고용안정이라는 사회적 역할을 무시하고 인건비를 줄여 성과금을 챙겨가려는 경영진의 시도”라고 비판했다.

그는	그/NP+는/JX
“고용안정이라는	“/SS+고용/NNG+안정/NNG+이/VCP+라는/ETM
사회적	사회/NNG+적/XSN
역할을	역할/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
인건비를	인건비/NNG+를/JKO
줄여	줄이/VV+어/EC
성과금을	성과금/NNG+을/JKO
챙겨가려는	챙기/VV+어/EC+가/VX+려는/ETM
경영진의	경영진/NNG+의/JKG
시도”라고	시도/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.3.5.3
노조는 지난 7일 성과향상추진본부 설립을 중단해 달라는 가처분 신청을 법원에 내놓은 상태다.

노조는	노조/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
성과향상추진본부	성과/NNG+향상/NNG+추진/NNG+본부/NNG
설립을	설립/NNG+을/JKO
중단해	중단/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
법원에	법원/NNG+에/JKB
내놓은	내놓/VV+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.3.6.1
여기에 최근 회사가 추진중인 임금피크제 폐지 문제도 노사 갈등의 새로운 불씨가 되고 있다.

여기에	여기/NP+에/JKB
최근	최근/MAG
회사가	회사/NNG+가/JKS
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
임금피크제	임금/NNG+피크/NNG+제/XSN
폐지	폐지/NNG
문제도	문제/NNG+도/JX
노사	노사/NNG
갈등의	갈등/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
불씨가	불씨/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.3.6.2
국민은행은 3년 전 임금피크제를 도입했으나 인건비 절감 효과는 크지 않고 생산성 저하 등 부작용이 많다는 판단에 따라 이 제도를 폐지하기로 했다고 밝혔다.

국민은행은	국민은행/NNP+은/JX
3년	3/SN+년/NNB
전	전/NNG
임금피크제를	임금/NNG+피크/NNG+제/XSN+를/JKO
도입했으나	도입/NNG+하/XSV+았/EP+으나/EC
인건비	인건비/NNG
절감	절감/NNG
효과는	효과/NNG+는/JX
