# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.150
metadata : {}


# id : NWRW1800000021.150.1.1
광물자원公 사장 자원개발 ‘해외 강행군’

광물자원公	광물자원公/NNP
사장	사장/NNG
자원개발	자원/NNG+개발/NNG
‘해외	‘/SS+해외/NNG
강행군’	강행군/NNG+’/SS


# id : NWRW1800000021.150.2.1
김신종 한국광물자원공사 사장이 취임 10개월 만에 10번째 출장을 10일 떠났다.

김신종	김신종/NNP
한국광물자원공사	한국광물자원공사/NNP
사장이	사장/NNG+이/JKS
취임	취임/NNG
10개월	10/SN+개월/NNB
만에	만/NNB+에/JKB
10번째	10/SN+번/NNB+째/XSN
출장을	출장/NNG+을/JKO
10일	10/SN+일/NNB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.150.2.2
이명박 대통령의 우즈베키스탄과 카자흐스탄 방문을 수행했다가 한국을 거치지 않고 바로 아프리카로 향해 콩고민주공화국, 나미비아, 남아프리카공화국을 가는 일정이다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
우즈베키스탄과	우즈베키스탄/NNP+과/JC
카자흐스탄	카자흐스탄/NNP
방문을	방문/NNG+을/JKO
수행했다가	수행/NNG+하/XSV+았/EP+다가/EC
한국을	한국/NNP+을/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
바로	바로/MAG
아프리카로	아프리카/NNP+로/JKB
향해	향하/VV+아/EC
콩고민주공화국,	콩고민주공화국/NNP+,/SP
나미비아,	나미비아/NNP+,/SP
남아프리카공화국을	남아프리카공화국/NNP+을/JKO
가는	가/VV+는/ETM
일정이다.	일정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.150.2.3
콩고민주공에서는 구리광, 나미비아에서는 우라늄, 남아프리카공화국에서는 망간광산 투자 문제를 논의할 예정이다.

콩고민주공에서는	콩고민주공/NNP+에서/JKB+는/JX
구리광,	구리광/NNG+,/SP
나미비아에서는	나미비아/NNP+에서/JKB+는/JX
우라늄,	우라늄/NNG+,/SP
남아프리카공화국에서는	남아프리카공화국/NNP+에서/JKB+는/JX
망간광산	망간/NNG+광산/NNG
투자	투자/NNG
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.150.3.1
김 사장은 지난해 7월 말 취임한 뒤 9번의 출장으로 13개국을 다녔고, 이번 출장을 마치면 모두 18개국을 방문하게 된다.

김	김/NNP
사장은	사장/NNG+은/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
말	말/NNB
취임한	취임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
9번의	9/SN+번/NNB+의/JKG
출장으로	출장/NNG+으로/JKB
13개국을	13/SN+개국/NNB+을/JKO
다녔고,	다니/VV+었/EP+고/EC+,/SP
이번	이번/NNG
출장을	출장/NNG+을/JKO
마치면	마치/VV+면/EC
모두	모두/MAG
