# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.356
metadata : {}


# id : NWRW1800000030.356.1.1
[호남] 여수산단 정전 업체 대부분 정상가동

[호남]	[/SS+호남/NNP+]/SS
여수산단	여수/NNP+산단/NNG
정전	정전/NNG
업체	업체/NNG
대부분	대/XPN+부분/NNG
정상가동	정상/NNG+가동/NNG


# id : NWRW1800000030.356.2.1
•26곳 중 23개업체 복구 완료 '한전·업체' 책임공방 치열

•26곳	•/SW+26/SN+곳/NNG
중	중/NNB
23개업체	23/SN+개/NNB+업체/NNG
복구	복구/NNG
완료	완료/NNG
'한전·업체'	'/SS+한전/NNP+·/SP+업체/NNG+'/SS
책임공방	책임/NNG+공방/NNG
치열	치열/NNG


# id : NWRW1800000030.356.3.1
한국산업단지공단 서남지역본부 여수지사는 지난 17일 오후 발생한 여수산단 정전사고로 모두 26개 업체가 공장 가동 등의 피해를 입었다고 18일 밝혔다.

한국산업단지공단	한국산업단지공단/NNP
서남지역본부	서남/NNG+지역/NNG+본부/NNG
여수지사는	여수/NNP+지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
오후	오후/NNG
발생한	발생/NNG+하/XSV+ㄴ/ETM
여수산단	여수/NNP+산단/NNG
정전사고로	정전/NNG+사고/NNG+로/JKB
모두	모두/MAG
26개	26/SN+개/NNB
업체가	업체/NNG+가/JKS
공장	공장/NNG
가동	가동/NNG
등의	등/NNB+의/JKG
피해를	피해/NNG+를/JKO
입었다고	입/VV+었/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.356.4.1
이날 현재 이 중 23개 업체가 자체 복구를 마치고 공장을 정상 가동 중이다.

이날	이날/NNG
현재	현재/MAG
이	이/NP
중	중/NNB
23개	23/SN+개/NNB
업체가	업체/NNG+가/JKS
자체	자체/NNG
복구를	복구/NNG+를/JKO
마치고	마치/VV+고/EC
공장을	공장/NNG+을/JKO
정상	정상/NNG
가동	가동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.356.4.2
LG MMA는 19일, GS칼텍스는 20일, 삼남석유화학은 27일쯤 복구를 완료할 계획이다.

LG	LG/SL
MMA는	MMA/SL+는/JX
19일,	19/SN+일/NNB+,/SP
GS칼텍스는	GS칼텍스/NNP+는/JX
20일,	20/SN+일/NNB+,/SP
삼남석유화학은	삼남석유화학/NNP+은/JX
27일쯤	27/SN+일/NNB+쯤/XSN
복구를	복구/NNG+를/JKO
완료할	완료/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.356.5.1
국가 보안등급 '가'급 시설로 전남 산업의 동맥인 '여수산단'에 전력 공급이 2년 7개월여 만에 또 중단되면서 산단 내 대형 석유화학 업체들은 수백억원대의 피해를 입을 것으로 예상된다.

국가	국가/NNG
보안등급	보안/NNG+등급/NNG
'가'급	'/SS+가/NNG+'/SS+급/NNG
시설로	시설/NNG+로/JKB
전남	전남/NNP
산업의	산업/NNG+의/JKG
동맥인	동맥/NNG+이/VCP+ㄴ/ETM
'여수산단'에	'/SS+여수/NNP+산단/NNG+'/SS+에/JKB
전력	전력/NNG
공급이	공급/NNG+이/JKS
2년	2/SN+년/NNB
7개월여	7/SN+개월/NNB+여/XSN
만에	만/NNB+에/JKB
또	또/MAG
중단되면서	중단/NNG+되/XSV+면서/EC
산단	산단/NNG
내	내/NNB
대형	대형/NNG
석유화학	석유/NNG+화학/NNG
업체들은	업체/NNG+들/XSN+은/JX
수백억원대의	수백억/NR+원/NNB+대/XSN+의/JKG
피해를	피해/NNG+를/JKO
입을	입/VV+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.356.5.2
특히 정전 원인을 두고 한전과 업체 간의 공방이 가열될 것으로 보인다.

특히	특히/MAG
정전	정전/NNG
원인을	원인/NNG+을/JKO
두고	두/VV+고/EC
한전과	한전/NNP+과/JC
업체	업체/NNG
간의	간/NNB+의/JKG
공방이	공방/NNG+이/JKS
가열될	가열/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
