# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.435
metadata : {}


# id : NWRW1800000038.435.1.1
[국정원 개혁안 충돌] 국정원 "IO(Intelligence Officer·국내 정보관), 정당 출입 폐지" 野 "IO 자체를 없애라"

[국정원	[/SS+국정원/NNG
개혁안	개혁안/NNG
충돌]	충돌/NNG+]/SS
국정원	국정원/NNG
"IO(Intelligence	"/SS+IO/SL+(/SS+Intelligence/SL
Officer·국내	Officer/SL+·/SP+국내/NNG
정보관),	정보관/NNG+)/SS+,/SP
정당	정당/NNG
출입	출입/NNG
폐지"	폐지/NNG+"/SS
野	野/SH
"IO	"/SS+IO/SL
자체를	자체/NNG+를/JKO
없애라"	없애/VV+라/EF+"/SS


# id : NWRW1800000038.435.2.1
국정원·새누리 vs 민주 개혁특위 시작부터 대립

국정원·새누리	국정원/NNG+·/SP+새누리/NNP
vs	vs/SL
민주	민주/NNP
개혁특위	개혁/NNG+특위/NNG
시작부터	시작/NNG+부터/JX
대립	대립/NNG


# id : NWRW1800000038.435.3.1
국회 국정원개혁특위는 12일 남재준 국정원장을 출석시켜 국정원의 자체 개혁안을 보고받고 본격 활동에 들어갔다.

국회	국회/NNG
국정원개혁특위는	국정원/NNG+개혁/NNG+특위/NNG+는/JX
12일	12/SN+일/NNB
남재준	남재준/NNP
국정원장을	국정원장/NNG+을/JKO
출석시켜	출석/NNG+시키/XSV+어/EC
국정원의	국정원/NNG+의/JKG
자체	자체/NNG
개혁안을	개혁안/NNG+을/JKO
보고받고	보고/NNG+받/XSV+고/EC
본격	본격/NNG
활동에	활동/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.3.2
하지만 민주당은 "국정원의 개혁 의지가 의심스럽다"고 반발하는 등 시작부터 충돌했다.

하지만	하지만/MAJ
민주당은	민주당/NNP+은/JX
"국정원의	"/SS+국정원/NNG+의/JKG
개혁	개혁/NNG
의지가	의지/NNG+가/JKS
의심스럽다"고	의심/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
반발하는	반발/NNG+하/XSV+는/ETM
등	등/NNB
시작부터	시작/NNG+부터/JX
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.4.1
국정원은 특히 야당이 요구해온 상당수 개혁 방안에 대해 부정적인 입장을 밝혀 여야가 연내(年內)에 마무리하기로 합의한 국정원 개혁안 입법화 문제도 난항을 겪을 것으로 보인다.

국정원은	국정원/NNG+은/JX
특히	특히/MAG
야당이	야당/NNG+이/JKS
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
상당수	상당수/NNG
개혁	개혁/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혀	밝히/VV+어/EC
여야가	여야/NNG+가/JKS
연내(年內)에	연내/NNG+(/SS+年內/SH+)/SS+에/JKB
마무리하기로	마무리/NNG+하/XSV+기/ETN+로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
국정원	국정원/NNG
개혁안	개혁안/NNG
입법화	입법/NNG+화/XSN
문제도	문제/NNG+도/JX
난항을	난항/NNG+을/JKO
겪을	겪/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.435.5.1
◇국정원·새누리당 VS 민주당

◇국정원·새누리당	◇/SW+국정원/NNG+·/SP+새누리당/NNP
VS	VS/SL
민주당	민주당/NNP


# id : NWRW1800000038.435.6.1
남재준 국정원장이 이날 국회에 보고한 자체 개혁안은 국정원 직원들의 정치 관여 소지를 국정원 스스로 통제하는 방안에 초점이 맞춰져 있다.

남재준	남재준/NNP
