# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.15
metadata : {}


# id : NWRW1800000033.15.1.1
휘어지고 단단한 전자종이… e북 혁명 온다

휘어지고	휘어지/VV+고/EC
단단한	단단하/VA+ㄴ/ETM
전자종이…	전자/NNG+종이/NNG+…/SE
e북	e북/NNG
혁명	혁명/NNG
온다	오/VV+ㄴ다/EF


# id : NWRW1800000033.15.2.1
■ LG디스플레이 세계 첫 양산

■	■/SW
LG디스플레이	LG디스플레이/NNP
세계	세계/NNG
첫	첫/MMN
양산	양산/NNG


# id : NWRW1800000033.15.3.1
대학생 최모 씨(25)는 2010년 여름 전자책 단말기를 선물 받았다.

대학생	대학/NNG+생/XSN
최모	최/NNP+모/NP
씨(25)는	씨/NNB+(/SS+25/SN+)/SS+는/JX
2010년	2010/SN+년/NNB
여름	여름/NNG
전자책	전자책/NNG
단말기를	단말기/NNG+를/JKO
선물	선물/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.3.2
평소 책읽기를 좋아하던 최 씨는 아이패드나 갤럭시탭 같은 태블릿PC보다 이 단말기를 즐겨 사용했다.

평소	평소/NNG
책읽기를	책/NNG+읽/VV+기/ETN+를/JKO
좋아하던	좋아하/VV+던/ETM
최	최/NNP
씨는	씨/NNB+는/JX
아이패드나	아이패드/NNP+나/JC
갤럭시탭	갤럭시탭/NNP
같은	같/VA+은/ETM
태블릿PC보다	태블릿/NNG+PC/SL+보다/JKB
이	이/MMD
단말기를	단말기/NNG+를/JKO
즐겨	즐기/VV+어/EC
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.3.3
그러던 어느 날 가방 속에 있던 단말기의 화면이 깨진 것을 발견했다.

그러던	그러/VV+던/ETM
어느	어느/MMD
날	날/NNG
가방	가방/NNG
속에	속/NNG+에/JKB
있던	있/VA+던/ETM
단말기의	단말기/NNG+의/JKG
화면이	화면/NNG+이/JKS
깨진	깨지/VV+ㄴ/ETM
것을	것/NNB+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.3.4
다른 책과 노트북 사이에 끼여 있다 보니 압력을 못 이겨 금이 가버린 것.

다른	다른/MMD
책과	책/NNG+과/JC
노트북	노트북/NNG
사이에	사이/NNG+에/JKB
끼여	끼이/VV+어/EC
있다	있/VX+다/EC
보니	보/VX+니/EC
압력을	압력/NNG+을/JKO
못	못/MAG
이겨	이기/VV+어/EC
금이	금/NNG+이/JKS
가버린	가/VV+아/EC+버리/VX+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.15.3.5
최 씨는 어쩔 수 없이 기기 값의 절반에 가까운 돈을 들여 화면을 교체해야만 했다.

최	최/NNP
씨는	씨/NNB+는/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
기기	기기/NNG
값의	값/NNG+의/JKG
절반에	절반/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
들여	들이/VV+어/EC
화면을	화면/NNG+을/JKO
교체해야만	교체/NNG+하/XSV+아야/EC+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.15.4.1
2009년 후반부터 국내 시장에는 아이리버의 ‘스토리’, 인터파크의 ‘비스킷’ 등 전자종이를 채택한 전자책 단말기가 속속 등장했다.

2009년	2009/SN+년/NNB
후반부터	후반/NNG+부터/JX
국내	국내/NNG
시장에는	시장/NNG+에/JKB+는/JX
아이리버의	아이리버/NNP+의/JKG
‘스토리’,	‘/SS+스토리/NNP+’/SS+,/SP
인터파크의	인터파크/NNP+의/JKG
‘비스킷’	‘/SS+비스킷/NNP+’/SS
등	등/NNB
전자종이를	전자/NNG+종이/NNG+를/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
전자책	전자책/NNG
단말기가	단말기/NNG+가/JKS
속속	속속/MAG
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.4.2
태블릿PC보다 가볍고 눈이 편하다는 이유로 독서에 적합하다는 평가를 받았지만 내구성이 다소 아쉽다는 지적이 많았다.

태블릿PC보다	태블릿/NNG+PC/SL+보다/JKB
가볍고	가볍/VA+고/EC
눈이	눈/NNG+이/JKS
편하다는	편하/VA+다는/ETM
이유로	이유/NNG+로/JKB
독서에	독서/NNG+에/JKB
적합하다는	적합/NNG+하/XSA+다는/ETM
평가를	평가/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
내구성이	내구/NNG+성/XSN+이/JKS
다소	다소/MAG
아쉽다는	아쉽/VA+다는/ETM
지적이	지적/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.15.4.3
유리를 사용하기 때문에 쉽게 깨질 수 있어서다.

유리를	유리/NNG+를/JKO
사용하기	사용/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
쉽게	쉽/VA+게/EC
깨질	깨지/VV+ㄹ/ETM
수	수/NNB
있어서다.	있/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.15.4.4
LG디스플레이의 조사 결과에 따르면 전자책 단말기 사용자 중 약 10%가 실수로 전자책을 떨어뜨리거나 다른 물건에 부딪혀서 화면이 깨진 경험이 있는 것으로 나타났다.

LG디스플레이의	LG디스플레이/NNP+의/JKG
조사	조사/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
전자책	전자책/NNG
단말기	단말기/NNG
사용자	사용자/NNG
중	중/NNB
