# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.268
metadata : {}


# id : NWRW1800000033.268.1.1
[횡설수설]/정성희 자녀 학교방문 휴가

[횡설수설]/정성희	[/SS+횡설수설/NNG+]/SS+//SP+정성희/NNP
자녀	자녀/NNG
학교방문	학교/NNG+방문/NNG
휴가	휴가/NNG


# id : NWRW1800000033.268.2.1
엄격한 자녀 훈육 방식으로 논란을 일으킨 에이미 추아 예일대 교수가 미국판 ‘극성 엄마’라면 버락 오바마 대통령은 ‘극성 아빠’다.

엄격한	엄격/NNG+하/XSA+ㄴ/ETM
자녀	자녀/NNG
훈육	훈육/NNG
방식으로	방식/NNG+으로/JKB
논란을	논란/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
에이미	에이미/NNP
추아	추아/NNP
예일대	예일대/NNP
교수가	교수/NNG+가/JKS
미국판	미국판/NNG
‘극성	‘/SS+극성/NNG
엄마’라면	엄마/NNG+’/SS+라면/EC
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
아빠’다.	아빠/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.268.2.2
오바마 대통령은 세계에서 가장 바쁜 사람 가운데 한 명이지만 두 딸의 학교행사에는 꼭 참석한다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
바쁜	바쁘/VA+ㄴ/ETM
사람	사람/NNG
가운데	가운데/NNG
한	한/MMN
명이지만	명/NNB+이/VCP+지만/EC
두	두/MMN
딸의	딸/NNG+의/JKG
학교행사에는	학교/NNG+행사/NNG+에/JKB+는/JX
꼭	꼭/MAG
참석한다.	참석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.268.2.3
그는 2010년 1월 낸시 펠로시 하원의장 등과 함께 백악관에서 건강보험 개혁방안을 논의하다가 큰딸의 음악공연을 보기 위해 일찍 자리를 떠나 구설수에 올랐다.

그는	그/NP+는/JX
2010년	2010/SN+년/NNB
1월	1/SN+월/NNB
낸시	낸시/NNP
펠로시	펠로시/NNP
하원의장	하원/NNG+의장/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
백악관에서	백악관/NNP+에서/JKB
건강보험	건강/NNG+보험/NNG
개혁방안을	개혁/NNG+방안/NNG+을/JKO
논의하다가	논의/NNG+하/XSV+다가/EC
큰딸의	큰딸/NNG+의/JKG
음악공연을	음악/NNG+공연/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
일찍	일찍/MAG
자리를	자리/NNG+를/JKO
떠나	떠나/VV+아/EC
구설수에	구설수/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.268.3.1
▷오바마 대통령은 딸들이 참여하는 스포츠 경기 관람을 위해 두 번씩이나 출입기자들에게 알리지 않고 백악관을 비워 언론의 질타를 받았다.

▷오바마	▷/SW+오바마/NNP
대통령은	대통령/NNG+은/JX
딸들이	딸/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
스포츠	스포츠/NNG
경기	경기/NNG
관람을	관람/NNG+을/JKO
위해	위하/VV+아/EC
두	두/MMN
번씩이나	번/NNB+씩/XSN+이나/JX
출입기자들에게	출입/NNG+기자/NNG+들/XSN+에게/JKB
알리지	알리/VV+지/EC
않고	않/VX+고/EC
백악관을	백악관/NNP+을/JKO
비워	비우/VV+어/EC
언론의	언론/NNG+의/JKG
질타를	질타/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.268.3.2
2010년 4월 큰딸의 축구경기를 보기 위해, 그리고 얼마 전(14일)에는 둘째 딸 사샤의 농구경기를 보기 위해서였다.

2010년	2010/SN+년/NNB
4월	4/SN+월/NNB
큰딸의	큰딸/NNG+의/JKG
축구경기를	축구/NNG+경기/NNG+를/JKO
보기	보/VV+기/ETN
위해,	위하/VV+아/EC+,/SP
그리고	그리고/MAJ
얼마	얼마/NNG
전(14일)에는	전/NNG+(/SS+14/SN+일/NNB+)/SS+에/JKB+는/JX
둘째	둘째/NR
딸	딸/NNG
사샤의	사샤/NNP+의/JKG
농구경기를	농구/NNG+경기/NNG+를/JKO
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.268.3.3
“좋은 아빠, 훌륭한 남편이 되기 위해 대통령이 된 거냐”는 야당의 비판이 거세지만 교육에 부모 역할이 중요하다고 믿는 그는 개의치 않는다.

“좋은	“/SS+좋/VA+은/ETM
아빠,	아빠/NNG+,/SP
훌륭한	훌륭하/VA+ㄴ/ETM
남편이	남편/NNG+이/JKC
되기	되/VV+기/ETN
위해	위하/VV+아/EC
대통령이	대통령/NNG+이/JKC
된	되/VV+ㄴ/ETM
거냐”는	거/NNB+이/VCP+냐/EF+”/SS+는/ETM
야당의	야당/NNG+의/JKG
비판이	비판/NNG+이/JKS
거세지만	거세/VA+지만/EC
교육에	교육/NNG+에/JKB
부모	부모/NNG
역할이	역할/NNG+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
믿는	믿/VV+는/ETM
그는	그/NP+는/JX
개의치	개의/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.268.3.4
어린 시절 아버지 없이 엄마의 희생과 사랑을 자양분 삼아 자라난 개인적 경험과 무관하지 않을 듯하다.

어린	어리/VA+ㄴ/ETM
시절	시절/NNG
아버지	아버지/NNG
없이	없이/MAG
엄마의	엄마/NNG+의/JKG
희생과	희생/NNG+과/JC
사랑을	사랑/NNG+을/JKO
자양분	자양분/NNG
삼아	삼/VV+아/EC
자라난	자라나/VV+ㄴ/ETM
개인적	개인/NNG+적/XSN
경험과	경험/NNG+과/JKB
무관하지	무관하/VA+지/EC
않을	않/VX+을/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000033.268.4.1
▷한국의 아버지들 중에는 자녀의 학교에 한 번도 가보지 않은 사람이 많다.

▷한국의	▷/SW+한국/NNP+의/JKG
아버지들	아버지/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
자녀의	자녀/NNG+의/JKG
학교에	학교/NNG+에/JKB
한	한/MMN
번도	번/NNB+도/JX
가보지	가/VV+아/EC+보/VX+지/EC
않은	않/VX+은/ETM
사람이	사람/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.268.4.2
교원평가에 학부모가 교사를 평가하는 항목이 있지만 담임교사를 한 번도 만나지 않은 상태에서 제대로 된 평가는 불가능하다.

교원평가에	교원/NNG+평가/NNG+에/JKB
학부모가	학부모/NNG+가/JKS
교사를	교사/NNG+를/JKO
