# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.137
metadata : {}


# id : NWRW1800000029.137.1.1
[지구촌 이모저모]나폴레옹 영어는 정복못해… 공책 등 경매 外

[지구촌	[/SS+지구촌/NNG
이모저모]나폴레옹	이모저모/NNG+]/SS+나폴레옹/NNP
영어는	영어/NNP+는/JX
정복못해…	정복/NNG+못/MAG+하/VV+아/EF+…/SE
공책	공책/NNG
등	등/NNB
경매	경매/NNG
外	外/SH


# id : NWRW1800000029.137.2.1
유럽 대륙을 제패하고 호령하던 나폴레옹도 ‘영어’는 정복하지 못했다.

유럽	유럽/NNP
대륙을	대륙/NNG+을/JKO
제패하고	제패/NNG+하/XSV+고/EC
호령하던	호령/NNG+하/XSV+던/ETM
나폴레옹도	나폴레옹/NNP+도/JX
‘영어’는	‘/SS+영어/NNP+’/SS+는/JX
정복하지	정복/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.137.2.2
나폴레옹이 말년에 유배지 세인트헬레나 섬에서 영어 공부에 매달렸던 흔적이 남아 있는 공책이 경매에 나온다고 로이터통신이 5월 31일 보도했다.

나폴레옹이	나폴레옹/NNP+이/JKS
말년에	말년/NNG+에/JKB
유배지	유배지/NNG
세인트헬레나	세인트헬레나/NNP
섬에서	섬/NNG+에서/JKB
영어	영어/NNP
공부에	공부/NNG+에/JKB
매달렸던	매달리/VV+었/EP+던/ETM
흔적이	흔적/NNG+이/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
공책이	공책/NNG+이/JKS
경매에	경매/NNG+에/JKB
나온다고	나오/VV+ㄴ다고/EC
로이터통신이	로이터통신/NNP+이/JKS
5월	5/SN+월/NNB
31일	31/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.137.2.3
프랑스 경매업체 오즈나는 5일 나폴레옹이 1821년 숨을 거두기 전까지 영어 공부를 했던 공책을 포함해 약 350점의 유품을 경매에 내놓을 예정이라고 밝혔다.

프랑스	프랑스/NNP
경매업체	경매업체/NNG
오즈나는	오즈나/NNP+는/JX
5일	5/SN+일/NNB
나폴레옹이	나폴레옹/NNP+이/JKS
1821년	1821/SN+년/NNB
숨을	숨/NNG+을/JKO
거두기	거두/VV+기/ETN
전까지	전/NNG+까지/JX
영어	영어/NNP
공부를	공부/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
공책을	공책/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
약	약/MMA
350점의	350/SN+점/NNB+의/JKG
유품을	유품/NNG+을/JKO
경매에	경매/NNG+에/JKB
내놓을	내놓/VV+을/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.137.2.4
공책 낱장이 9500유로(약 1474만 원)에 이를 것으로 예상된다.

공책	공책/NNG
낱장이	낱장/NNG+이/JKS
9500유로(약	9500/SN+유로/NNB+(/SS+약/MMA
1474만	1474/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.137.2.5
나폴레옹은 1815년 유배당한 뒤 부하인 라스 카스 백작에게서 영어를 배운 것으로 알려졌다.

나폴레옹은	나폴레옹/NNP+은/JX
1815년	1815/SN+년/NNB
유배당한	유배/NNG+당하/XSV+ㄴ/ETM
뒤	뒤/NNG
부하인	부하/NNG+이/VCP+ㄴ/ETM
라스	라스/NNP
카스	카스/NNP
백작에게서	백작/NNG+에게서/JKB
영어를	영어/NNP+를/JKO
배운	배우/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.137.2.6
천재적 지략가였던 나폴레옹이지만 불규칙 동사변형 등 복잡한 영문법 앞에서는 좌절을 거듭했다.

천재적	천재/NNG+적/XSN
지략가였던	지략가/NNG+이/VCP+었/EP+던/ETM
나폴레옹이지만	나폴레옹/NNP+이/VCP+지만/EC
불규칙	불/XPN+규칙/NNG
동사변형	동사/NNG+변형/NNG
등	등/NNB
복잡한	복잡하/VA+ㄴ/ETM
영문법	영문법/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
좌절을	좌절/NNG+을/JKO
거듭했다.	거듭/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.137.2.7
‘run’의 과거형은 ‘ran’임에도 ‘runned’라고 꿋꿋이 공책 한 면을 채운 흔적과 지루함을 견디지 못하고 군 요새를 설계한 낙서도 있다.

‘run’의	‘/SS+run/SL+’/SS+의/JKG
과거형은	과거/NNG+형/XSN+은/JX
‘ran’임에도	‘/SS+ran/SL+’/SS+이/VCP+ㅁ/ETN+에/JKB+도/JX
‘runned’라고	‘/SS+runned/SL+’/SS+라고/JKQ
꿋꿋이	꿋꿋이/MAG
공책	공책/NNG
한	한/MMN
면을	면/NNG+을/JKO
채운	채우/VV+ㄴ/ETM
흔적과	흔적/NNG+과/JC
지루함을	지루하/VA+ㅁ/ETN+을/JKO
견디지	견디/VV+지/EC
못하고	못하/VX+고/EC
군	군/NNG
요새를	요새/NNG+를/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
낙서도	낙서/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.137.3.1
■ 조지아 ‘레닌 마을-스탈린 거리’ 이름 퇴출

■	■/SW
조지아	조지아/NNP
‘레닌	‘/SS+레닌/NNP
마을-스탈린	마을/NNG+-/SO+스탈린/NNP
거리’	거리/NNG+’/SS
이름	이름/NNG
퇴출	퇴출/NNG


# id : NWRW1800000029.137.4.1
레닌과 스탈린의 이름을 딴 마을과 거리 이름이 조지아에서 사라진다.

레닌과	레닌/NNP+과/JC
스탈린의	스탈린/NNP+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
마을과	마을/NNG+과/JC
거리	거리/NNG
이름이	이름/NNG+이/JKS
조지아에서	조지아/NNP+에서/JKB
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.137.4.2
조지아는 법을 통해 과거 지배국이었던 소련의 잔재 청산에 나섰다고 영국 일간 텔레그래프가 5월 31일 보도했다.

조지아는	조지아/NNP+는/JX
법을	법/NNG+을/JKO
통해	통하/VV+아/EC
과거	과거/NNG
지배국이었던	지배국/NNG+이/VCP+었/EP+던/ETM
소련의	소련/NNP+의/JKG
잔재	잔재/NNG
청산에	청산/NNG+에/JKB
나섰다고	나서/VV+었/EP+다고/EC
영국	영국/NNP
일간	일간/NNG
텔레그래프가	텔레그래프/NNP+가/JKS
5월	5/SN+월/NNB
31일	31/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.137.4.3
조지아 의회는 이날 무기명 투표로 옛 소련식 거리 이름이나 지명을 바꾸고 소련 지배 당시 지어진 기념물과 공원 등을 철거하는 내용의 법을 통과시켰다.

조지아	조지아/NNP
의회는	의회/NNG+는/JX
이날	이날/NNG
무기명	무/XPN+기명/NNG
투표로	투표/NNG+로/JKB
옛	옛/MMA
소련식	소련식/NNG
거리	거리/NNG
이름이나	이름/NNG+이나/JC
지명을	지명/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
소련	소련/NNP
지배	지배/NNG
당시	당시/NNG
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
기념물과	기념물/NNG+과/JC
공원	공원/NNG
등을	등/NNB+을/JKO
철거하는	철거/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
법을	법/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.137.5.1
‘자유 헌장’으로 불리는 이 법은 공산주의 요소를 담고 있는 모든 역사적 잔재에 적용된다.

‘자유	‘/SS+자유/NNG
헌장’으로	헌장/NNG+’/SS+으로/JKB
불리는	불리/VV+는/ETM
이	이/MMD
법은	법/NNG+은/JX
공산주의	공산주의/NNG
요소를	요소/NNG+를/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
모든	모든/MMN
역사적	역사/NNG+적/XSN
잔재에	잔재/NNG+에/JKB
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.137.5.2
또 전직 국가보안위원회(KGB) 요원이나 공산당 간부들이 정부의 요직을 차지하는 것도 금지했다.

또	또/MAG
전직	전직/NNG
국가보안위원회(KGB)	국가보안위원회/NNP+(/SS+KGB/SL+)/SS
요원이나	요원/NNG+이나/JC
공산당	공산당/NNP
간부들이	간부/NNG+들/XSN+이/JKS
정부의	정부/NNG+의/JKG
요직을	요직/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
금지했다.	금지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.137.5.3
1991년 4월 9일 러시아로부터 독립을 선언한 조지아는 2008년 8월 남오세티야 독립 문제를 둘러싸고 러시아와 전쟁을 벌이며 앙숙이 됐다.

1991년	1991/SN+년/NNB
4월	4/SN+월/NNB
9일	9/SN+일/NNB
러시아로부터	러시아/NNP+로부터/JKB
독립을	독립/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
조지아는	조지아/NNP+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
남오세티야	남오세티야/NNP
독립	독립/NNG
문제를	문제/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
러시아와	러시아/NNP+와/JKB
전쟁을	전쟁/NNG+을/JKO
벌이며	벌이/VV+며/EC
앙숙이	앙숙/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


