# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.358
metadata : {}


# id : NWRW1800000045.358.1.1
[데스크 진단]인과관계 분석과 ‘업무 지능’

[데스크	[/SS+데스크/NNG
진단]인과관계	진단/NNG+]/SS+인과/NNG+관계/NNG
분석과	분석/NNG+과/JC
‘업무	‘/SS+업무/NNG
지능’	지능/NNG+’/SS


# id : NWRW1800000045.358.2.1
얼마 전 경찰이 대형 사고를 유발하는 고의적인 급정차 등 보복 운전을 엄벌하겠다는 방침을 발표했다.

얼마	얼마/NNG
전	전/NNG
경찰이	경찰/NNG+이/JKS
대형	대형/NNG
사고를	사고/NNG+를/JKO
유발하는	유발/NNG+하/XSV+는/ETM
고의적인	고의/NNG+적/XSN+이/VCP+ㄴ/ETM
급정차	급정차/NNG
등	등/NNB
보복	보복/NNG
운전을	운전/NNG+을/JKO
엄벌하겠다는	엄벌/NNG+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.358.2.2
경찰은 보복 운전자에게 ‘폭력행위 등 처벌에 관한 법률’의 ‘흉기 등 협박죄’를 적용할 예정이다.

경찰은	경찰/NNG+은/JX
보복	보복/NNG
운전자에게	운전자/NNG+에게/JKB
‘폭력행위	‘/SS+폭력/NNG+행위/NNG
등	등/NNB
처벌에	처벌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’의	법률/NNG+’/SS+의/JKG
‘흉기	‘/SS+흉기/NNG
협박죄’를	협박죄/NNG+’/SS+를/JKO
적용할	적용/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.2.3
이 법을 어기면 1년 이상의 징역형이 선고된다.

이	이/MMD
법을	법/NNG+을/JKO
어기면	어기/VV+면/EC
1년	1/SN+년/NNB
이상의	이상/NNG+의/JKG
징역형이	징역형/NNG+이/JKS
선고된다.	선고/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.3.1
경찰의 방침은 당연히 환영할 만하다.

경찰의	경찰/NNG+의/JKG
방침은	방침/NNG+은/JX
당연히	당연히/MAG
환영할	환영/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000045.358.3.2
하지만 관련 기사에 달린 댓글을 살펴보면 일반인들의 생각은 경찰과 약간 다른 것 같다.

하지만	하지만/MAJ
관련	관련/NNG
기사에	기사/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
댓글을	댓글/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
일반인들의	일반인/NNG+들/XSN+의/JKG
생각은	생각/NNG+은/JX
경찰과	경찰/NNG+과/JKB
약간	약간/MAG
다른	다르/VA+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000045.358.3.3
댓글에는 ‘보복 운전도 나쁘지만, 보복 운전을 유발한 사람도 강력하게 처벌해야 한다’는 주장이 많이 등장한다.

댓글에는	댓글/NNG+에/JKB+는/JX
‘보복	‘/SS+보복/NNG
운전도	운전/NNG+도/JX
나쁘지만,	나쁘/VA+지만/EC+,/SP
보복	보복/NNG
운전을	운전/NNG+을/JKO
유발한	유발/NNG+하/XSV+ㄴ/ETM
사람도	사람/NNG+도/JX
강력하게	강력/NNG+하/XSA+게/EC
처벌해야	처벌/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
주장이	주장/NNG+이/JKS
많이	많이/MAG
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.3.4
보복 운전의 상당수는 기습적인 끼어들기나 개념 없는 운전 매너 때문에 생긴다.

보복	보복/NNG
운전의	운전/NNG+의/JKG
상당수는	상당수/NNG+는/JX
기습적인	기습/NNG+적/XSN+이/VCP+ㄴ/ETM
끼어들기나	끼어들기/NNG+나/JC
개념	개념/NNG
없는	없/VA+는/ETM
운전	운전/NNG
매너	매너/NNG
때문에	때문/NNB+에/JKB
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.3.5
게다가 이런 행위 역시 사고를 유발한다.

게다가	게다가/MAG
이런	이런/MMD
행위	행위/NNG
역시	역시/MAG
사고를	사고/NNG+를/JKO
유발한다.	유발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.4.1
이런저런 생각을 하다 보니 ‘인과관계’란 키워드가 떠올랐다.

이런저런	이런저런/MMD
생각을	생각/NNG+을/JKO
하다	하/VV+다/EC
보니	보/VX+니/EC
‘인과관계’란	‘/SS+인과/NNG+관계/NNG+’/SS+이/VCP+란/ETM
키워드가	키워드/NNG+가/JKS
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.358.4.2
물론 경찰은 현재 끼어들기 단속도 하고 있다.

물론	물론/MAG
경찰은	경찰/NNG+은/JX
현재	현재/MAG
끼어들기	끼어들기/NNG
단속도	단속/NNG+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.358.4.3
그러나 인과관계를 생각한다면 보복 운전만큼 끼어들기 등에 대한 처벌도 강화해야 하지 않을까 싶다.

그러나	그러나/MAJ
인과관계를	인과/NNG+관계/NNG+를/JKO
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
보복	보복/NNG
운전만큼	운전/NNG+만큼/JKB
끼어들기	끼어들기/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
처벌도	처벌/NNG+도/JX
강화해야	강화/NNG+하/XSV+아야/EC
하지	하/VX+지/EC
않을까	않/VX+을까/EF
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000045.358.5.1
사실 인과관계 분석은 논리적 사고의 기본이며, 소위 말하는 ‘업무 지능’에서 가장 중요한 요소다.

사실	사실/MAG
인과관계	인과/NNG+관계/NNG
분석은	분석/NNG+은/JX
논리적	논리/NNG+적/XSN
사고의	사고/NNG+의/JKG
기본이며,	기본/NNG+이/VCP+며/EC+,/SP
소위	소위/MAG
말하는	말/NNG+하/XSV+는/ETM
‘업무	‘/SS+업무/NNG
지능’에서	지능/NNG+’/SS+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.5.2
컨설팅 회사들은 초임 컨설턴트들에게 ‘로직트리(Logic Tree)’라는 것을 가장 먼저 가르친다.

컨설팅	컨설팅/NNG
회사들은	회사/NNG+들/XSN+은/JX
초임	초임/NNG
컨설턴트들에게	컨설턴트/NNG+들/XSN+에게/JKB
‘로직트리(Logic	‘/SS+로직트리/NNG+(/SS+Logic/SL
Tree)’라는	Tree/SL+)/SS+’/SS+이/VCP+라는/ETM
것을	것/NNB+을/JKO
가장	가장/MAG
먼저	먼저/MAG
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.5.3
로직트리는 어떤 사안의 원인 또는 해결책을 아주 작은 것, 또는 근본적인 것까지 따져 보는 기술이다.

로직트리는	로직트리/NNG+는/JX
어떤	어떤/MMD
사안의	사안/NNG+의/JKG
원인	원인/NNG
또는	또는/MAG
해결책을	해결책/NNG+을/JKO
아주	아주/MAG
작은	작/VA+은/ETM
것,	것/NNB+,/SP
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
것까지	것/NNB+까지/JX
따져	따지/VV+어/EC
보는	보/VX+는/ETM
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.5.4
A라는 문제의 원인을 a1과 a2로 구분하고 a1과 a2가 발생하는 원인인 a11과 a22를 밝혀 보는 식이다.

A라는	A/SL+이/VCP+라는/ETM
문제의	문제/NNG+의/JKG
원인을	원인/NNG+을/JKO
a1과	a/SL+1/SN+과/JC
a2로	a/SL+2/SN+로/JKB
구분하고	구분/NNG+하/XSV+고/EC
a2가	a/SL+2/SN+가/JKS
발생하는	발생/NNG+하/XSV+는/ETM
원인인	원인/NNG+이/VCP+ㄴ/ETM
a11과	a/SL+11/SN+과/JC
a22를	a/SL+22/SN+를/JKO
밝혀	밝히/VV+어/EC
보는	보/VX+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.6.1
유능한 관리자나 경영자는 문제 해결을 잘하는 사람이다.

유능한	유능/NNG+하/XSA+ㄴ/ETM
관리자나	관리자/NNG+나/JC
경영자는	경영자/NNG+는/JX
문제	문제/NNG
해결을	해결/NNG+을/JKO
