# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.205
metadata : {}


# id : NWRW1800000025.205.1.1
李대통령 “엉터리 국제결혼 정비해야”

李대통령	李/SH+대통령/NNG
“엉터리	“/SS+엉터리/NNG
국제결혼	국제결혼/NNG
정비해야”	정비/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000025.205.2.1
이명박 대통령은 19일 3기 청와대가 출범한 뒤 열린 첫 수석비서관회의에서 베트남 신부 살해사건에 대해 깊은 안타까움을 표시했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
19일	19/SN+일/NNB
3기	3/SN+기/NNG
청와대가	청와대/NNP+가/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
수석비서관회의에서	수석/NNG+비서관/NNG+회의/NNG+에서/JKB
베트남	베트남/NNP
신부	신부/NNG
살해사건에	살해/NNG+사건/NNG+에/JKB
대해	대하/VV+아/EC
깊은	깊/VA+은/ETM
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.205.3.1
이 대통령은 이날 “숨진 탁티황응옥 씨의 부모가 방한했을 때 직접 만나 위로하고 싶었는데 일정이 맞지 않아 만나지 못해 안타깝다”며 “이번 사건처럼 좋은 결혼이 아닌 ‘엉터리 결혼’이 생기지 않도록 관계부처가 (법과 제도를) 잘 정비하라”고 말했다고 김희정 청와대 대변인이 전했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
“숨진	“/SS+숨지/VV+ㄴ/ETM
탁티황응옥	탁티황응옥/NNP
씨의	씨/NNB+의/JKG
부모가	부모/NNG+가/JKS
방한했을	방한/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
직접	직접/MAG
만나	만나/VV+아/EC
위로하고	위로/NNG+하/XSV+고/EC
싶었는데	싶/VX+었/EP+는데/EC
일정이	일정/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
만나지	만나/VV+지/EC
못해	못하/VX+아/EC
안타깝다”며	안타깝/VA+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
사건처럼	사건/NNG+처럼/JKB
좋은	좋/VA+은/ETM
결혼이	결혼/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
‘엉터리	‘/SS+엉터리/NNG
결혼’이	결혼/NNG+’/SS+이/JKS
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
관계부처가	관계/NNG+부처/NNG+가/JKS
(법과	(/SS+법/NNG+과/JC
제도를)	제도/NNG+를/JKO+)/SS
잘	잘/MAG
정비하라”고	정비/NNG+하/XSV+라/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
김희정	김희정/NNP
청와대	청와대/NNP
대변인이	대변인/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.205.4.1
이 대통령은 “한국과 베트남의 우호적인 관계가 손상되지 않을까 걱정된다”며 박석환 주 베트남 대사가 현지 가족을 방문해 자신을 대신해 조문하도록 하라고 지시했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
“한국과	“/SS+한국/NNP+과/JC
베트남의	베트남/NNP+의/JKG
우호적인	우호/NNG+적/XSN+이/VCP+ㄴ/ETM
관계가	관계/NNG+가/JKS
손상되지	손상/NNG+되/XSV+지/EC
않을까	않/VX+을까/EF
걱정된다”며	걱정/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
박석환	박석환/NNP
주	주/XPN
베트남	베트남/NNP
대사가	대사/NNG+가/JKS
현지	현지/NNG
가족을	가족/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
자신을	자신/NNG+을/JKO
대신해	대신/NNG+하/XSV+아/EC
조문하도록	조문/NNG+하/XSV+도록/EC
하라고	하/VX+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.205.5.1
정운찬 국무총리도 이날 이 사건에 대해 “국격(國格)이라는 말을 거론하기도 부끄럽다.

정운찬	정운찬/NNP
국무총리도	국무총리/NNG+도/JX
이날	이날/NNG
이	이/MMD
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
