# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.226
metadata : {}


# id : NWRW1800000049.226.1.1
산악구간에선… 맨앞에 한국선수 3명

산악구간에선…	산악/NNG+구간/NNG+에서/JKB+ㄴ/JX+…/SE
맨앞에	맨/MMA+앞/NNG+에/JKB
한국선수	한국/NNP+선수/NNG
3명	3/SN+명/NNB


# id : NWRW1800000049.226.2.1
투르 드 코리아 둘째날 구미∼군산 제2구간 김현석 장경구 주강은 1∼3위 휩쓸어 김현석 “산악왕 처음… 예상 못했어요” 김옥철, 이틀 연속 ‘베스트 영 라이더’ 구간 우승은 유럽 프로팀 오피 차지

투르	투르/NNG
드	드/NNG
코리아	코리아/NNP
둘째날	둘째/NR+날/NNB
구미∼군산	구미/NNP+∼/SO+군산/NNP
제2구간	제/XPN+2/SN+구간/NNG
김현석	김현석/NNP
장경구	장경구/NNP
주강은	주강은/NNP
1∼3위	1/SN+∼/SO+3/SN+위/NNB
휩쓸어	휩쓸/VV+어/EC
“산악왕	“/SS+산악/NNG+왕/NNG
처음…	처음/NNG+…/SE
예상	예상/NNG
못했어요”	못/MAG+하/VV+았/EP+어요/EF+”/SS
김옥철,	김옥철/NNP+,/SP
이틀	이틀/NNG
연속	연속/NNG
‘베스트	‘/SS+베스트/NNG
영	영/NNG
라이더’	라이더/NNG+’/SS
구간	구간/NNG
우승은	우승/NNG+은/JX
유럽	유럽/NNP
프로팀	프로/NNG+팀/NNG
오피	오피/NNP
차지	차지/NNG


# id : NWRW1800000049.226.3.1
차를 타고 오르막길을 갈 때 5%, 15% 등의 숫자가 써 있는 표지판을 볼 수 있다.

차를	차/NNG+를/JKO
타고	타/VV+고/EC
오르막길을	오르막길/NNG+을/JKO
갈	가/VV+ㄹ/ETM
때	때/NNG
5%,	5/SN+%/SW+,/SP
15%	15/SN+%/SW
등의	등/NNB+의/JKG
숫자가	숫자/NNG+가/JKS
써	쓰/VV+어/EC
있는	있/VX+는/ETM
표지판을	표지판/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.226.3.2
도로 사이클 경기에서 맞바람만큼이나 힘든 것이 오르막길이다.

도로	도로/NNG
사이클	사이클/NNG
경기에서	경기/NNG+에서/JKB
맞바람만큼이나	맞바람/NNG+만큼/JKB+이나/JX
힘든	힘들/VA+ㄴ/ETM
것이	것/NNB+이/JKS
오르막길이다.	오르막길/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.3.3
경사도는 %로 나타내는데 수평 거리에 대한 수직 높이를 백분율로 나타낸 것이다.

경사도는	경사도/NNG+는/JX
