# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.379
metadata : {}


# id : NWRW1800000028.379.1.1
‘4대강’ 파야하니 맹꽁이는 떠나라?

‘4대강’	‘/SS+4/SN+대/NNG+강/NNG+’/SS
파야하니	파/VV+아야/EC+하/VX+니/EC
맹꽁이는	맹꽁이/NNG+는/JX
떠나라?	떠나/VV+라/EF+?/SF


# id : NWRW1800000028.379.2.1
4대강 사업이 한창인 금강 둔치에서 멸종위기 야생동물 2급인 맹꽁이들의 서식지가 발견돼 이 일대의 공사가 중지된 사실이 드러났다.

4대강	4/SN+대/NNG+강/NNG
사업이	사업/NNG+이/JKS
한창인	한창/NNG+이/VCP+ㄴ/ETM
금강	금강/NNP
둔치에서	둔치/NNG+에서/JKB
멸종위기	멸종/NNG+위기/NNG
야생동물	야생/NNG+동물/NNG
2급인	2/SN+급/NNG+이/VCP+ㄴ/ETM
맹꽁이들의	맹꽁이/NNG+들/XSN+의/JKG
서식지가	서식지/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
이	이/MMD
일대의	일대/NNG+의/JKG
공사가	공사/NNG+가/JKS
중지된	중지/NNG+되/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.2.2
맹꽁이는 개체수가 급격히 감소해 환경부가 법정보호종으로 지정한 양서류로, 5~7월 물에서 번식하고 가을·겨울에는 땅을 파고 들어가 휴면기를 보낸다.

맹꽁이는	맹꽁이/NNG+는/JX
개체수가	개체/NNG+수/NNG+가/JKS
급격히	급격히/MAG
감소해	감소/NNG+하/XSV+아/EC
환경부가	환경부/NNG+가/JKS
법정보호종으로	법정/NNG+보호종/NNG+으로/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
양서류로,	양서/NNG+류/XSN+로/JKB+,/SP
5~7월	5/SN+~/SO+7/SN+월/NNB
물에서	물/NNG+에서/JKB
번식하고	번식/NNG+하/XSV+고/EC
가을·겨울에는	가을/NNG+·/SP+겨울/NNG+에/JKB+는/JX
땅을	땅/NNG+을/JKO
파고	파/VV+고/EC
들어가	들어가/VV+아/EC
휴면기를	휴면기/NNG+를/JKO
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.379.2.3
정부 당국은 맹꽁이들을 다른 곳으로 ‘이주’시키는 방안을 검토하고 있어 환경단체들이 반발하고 있다.

정부	정부/NNG
당국은	당국/NNG+은/JX
맹꽁이들을	맹꽁이/NNG+들/XSN+을/JKO
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
‘이주’시키는	‘/SS+이주/NNG+’/SS+시키/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있어	있/VX+어/EC
환경단체들이	환경/NNG+단체/NNG+들/XSN+이/JKS
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.379.3.1
맹꽁이 서식지가 발견된 곳은 충남 부여군 부여읍 부여대교에서 금강 하류 쪽 1㎞가량 떨어진 지점으로 물풀이 무성한 면적 2만5000여㎡의 웅덩이다.

맹꽁이	맹꽁이/NNG
서식지가	서식지/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
충남	충남/NNP
부여군	부여군/NNP
부여읍	부여읍/NNP
부여대교에서	부여대교/NNP+에서/JKB
금강	금강/NNP
하류	하류/NNG
쪽	쪽/NNB
1㎞가량	1/SN+㎞/SW+가량/XSN
떨어진	떨어지/VV+ㄴ/ETM
지점으로	지점/NNG+으로/JKB
물풀이	물풀/NNG+이/JKS
무성한	무성하/VA+ㄴ/ETM
면적	면적/NNG
2만5000여㎡의	2/SN+만/NR+5000/SN+여/XSN+㎡/SW+의/JKG
웅덩이다.	웅덩이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.379.3.2
대전지방국토관리청은 지난 7일 환경영향조사 업체로부터 관련 사실을 통보받고 다음날 출입금지 표지판과 차단줄을 설치했다.

대전지방국토관리청은	대전지방국토관리청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
환경영향조사	환경/NNG+영향/NNG+조사/NNG
업체로부터	업체/NNG+로부터/JKB
관련	관련/NNG
사실을	사실/NNG+을/JKO
통보받고	통보/NNG+받/XSV+고/EC
다음날	다음날/NNG
출입금지	출입/NNG+금지/NNG
표지판과	표지판/NNG+과/JC
차단줄을	차단/NNG+줄/NNG+을/JKO
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.3.3
대전국토관리청은 4대강 사업의 일부로 1260억원을 들여, 지난 2월부터 이 일대 둔치를 중장비로 정비하고 풀·나무 등을 심어 테마 초지로 꾸미는 사업을 하고 있다.

대전국토관리청은	대전국토관리청/NNP+은/JX
4대강	4/SN+대/NNG+강/NNG
사업의	사업/NNG+의/JKG
일부로	일부/NNG+로/JKB
1260억원을	1260/SN+억/NR+원/NNB+을/JKO
들여,	들이/VV+어/EC+,/SP
지난	지나/VV+ㄴ/ETM
2월부터	2/SN+월/NNB+부터/JX
이	이/MMD
일대	일대/NNG
둔치를	둔치/NNG+를/JKO
중장비로	중장비/NNG+로/JKB
정비하고	정비/NNG+하/XSV+고/EC
풀·나무	풀/NNG+·/SP+나무/NNG
등을	등/NNB+을/JKO
심어	심/VV+어/EC
테마	테마/NNG
초지로	초지/NNG+로/JKB
