# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.46
metadata : {}


# id : NWRW1800000053.46.1.1
中에 맞서…日-印, 안보경제 ‘찰떡공조’

中에	中/SH+에/JKB
맞서…日-印,	맞서/VV+어/EC+…/SE+日/SH+-/SO+印/SH+,/SP
안보경제	안보/NNG+경제/NNG
‘찰떡공조’	‘/SS+찰떡/NNG+공조/NNG+’/SS


# id : NWRW1800000053.46.2.1
아시아-아프리카 인프라 구축 협력 中 일대일로 프로젝트 견제 나서 아베, 2조원 차관 공여도 약속

아시아-아프리카	아시아/NNP+-/SO+아프리카/NNP
인프라	인프라/NNG
구축	구축/NNG
협력	협력/NNG
中	中/SH
일대일로	일대일로/NNG
프로젝트	프로젝트/NNG
견제	견제/NNG
나서	나서/VV+어/EF
아베,	아베/NNP+,/SP
2조원	2/SN+조/NR+원/NNB
차관	차관/NNG
공여도	공여/NNG+도/JX
약속	약속/NNG


# id : NWRW1800000053.46.3.1
일본과 인도가 안보와 경제에서 ‘찰떡공조’를 과시하며 ‘윈윈’ 전략을 구사하고 있다.

일본과	일본/NNP+과/JC
인도가	인도/NNP+가/JKS
안보와	안보/NNG+와/JC
경제에서	경제/NNG+에서/JKB
‘찰떡공조’를	‘/SS+찰떡/NNG+공조/NNG+’/SS+를/JKO
과시하며	과시/NNG+하/XSV+며/EC
‘윈윈’	‘/SS+윈윈/NNG+’/SS
전략을	전략/NNG+을/JKO
구사하고	구사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.46.4.1
인도를 방문한 아베 신조(安倍晋三) 일본 총리와 나렌드라 모디 인도 총리는 14일 정상회담을 하고 북한에 대한 유엔 안전보장이사회 제재의 완전 이행과 ‘압력의 최대화’를 국제사회에 요청했다.

인도를	인도/NNP+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리와	총리/NNG+와/JC
나렌드라	나렌드라/NNP
모디	모디/NNP
인도	인도/NNP
총리는	총리/NNG+는/JX
14일	14/SN+일/NNB
정상회담을	정상/NNG+회담/NNG+을/JKO
하고	하/VV+고/EC
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
유엔	유엔/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
제재의	제재/NNG+의/JKG
완전	완전/NNG
이행과	이행/NNG+과/JC
‘압력의	‘/SS+압력/NNG+의/JKG
최대화’를	최대/NNG+화/XSN+’/SS+를/JKO
국제사회에	국제/NNG+사회/NNG+에/JKB
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.4.2
양국은 또 중국의 해양 진출을 견제하기 위해 태평양에서 인도양까지 연대를 강화한다는 방침도 확인했다.

양국은	양국/NNG+은/JX
또	또/MAG
중국의	중국/NNP+의/JKG
해양	해양/NNG
진출을	진출/NNG+을/JKO
견제하기	견제/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
태평양에서	태평양/NNP+에서/JKB
인도양까지	인도양/NNP+까지/JX
연대를	연대/NNG+를/JKO
강화한다는	강화/NNG+하/XSV+ㄴ다는/ETM
방침도	방침/NNG+도/JX
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.4.3
이 지역 항만과 도로 등을 양국이 정비하고 미국을 포함한 방위협력을 확대한다는 방침이다.

이	이/MMD
지역	지역/NNG
항만과	항만/NNG+과/JC
도로	도로/NNG
등을	등/NNB+을/JKO
양국이	양국/NNG+이/JKS
정비하고	정비/NNG+하/XSV+고/EC
미국을	미국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
방위협력을	방위/NNG+협력/NNG+을/JKO
확대한다는	확대/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.46.5.1
양국 간 항공사가 노선 등을 자유롭게 설정할 수 있도록 하는 항공자유화협정 체결에도 합의했다.

양국	양국/NNG
간	간/NNB
항공사가	항공사/NNG+가/JKS
노선	노선/NNG
등을	등/NNB+을/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
설정할	설정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VV+는/ETM
항공자유화협정	항공/NNG+자유/NNG+화/XSN+협정/NNG
체결에도	체결/NNG+에/JKB+도/JX
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.5.2
또 올 7월 발효된 일본-인도 간 원자력협정에 따라 원자력발전소 수출을 위한 관민 워킹그룹을 설치하기로 했다.

또	또/MAG
올	올/NNG
7월	7/SN+월/NNB
발효된	발효/NNG+되/XSV+ㄴ/ETM
일본-인도	일본/NNP+-/SO+인도/NNP
간	간/NNB
원자력협정에	원자력/NNG+협정/NNG+에/JKB
따라	따르/VV+아/EC
원자력발전소	원자력/NNG+발전소/NNG
수출을	수출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
관민	관민/NNG
워킹그룹을	워킹그룹/NNG+을/JKO
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.6.1
양국은 중국의 현대판 실크로드인 ‘일대일로(一帶一路)’에 대항해 아시아와 아프리카 저개발국의 인프라 구축에 협력하는 ‘아시아-아프리카 성장회랑(AAGC)’ 사업에 대해서도 깊이 논의했다.

양국은	양국/NNG+은/JX
중국의	중국/NNP+의/JKG
현대판	현대판/NNG
실크로드인	실크로드/NNP+이/VCP+ㄴ/ETM
‘일대일로(一帶一路)’에	‘/SS+일대일로/NNG+(/SS+一帶一路/SH+)/SS+’/SS+에/JKB
대항해	대항/NNG+하/XSV+아/EC
아시아와	아시아/NNP+와/JC
아프리카	아프리카/NNP
저개발국의	저개발국/NNG+의/JKG
인프라	인프라/NNG
구축에	구축/NNG+에/JKB
협력하는	협력/NNG+하/XSV+는/ETM
‘아시아-아프리카	‘/SS+아시아/NNP+-/SO+아프리카/NNP
성장회랑(AAGC)’	성장/NNG+회랑/NNG+(/SS+AAGC/SL+)/SS+’/SS
사업에	사업/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
깊이	깊이/MAG
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.6.2
일본의 자본과 기술, 인도의 인력과 현지 경험을 결합하면 이들 지역에서 윈윈 효과를 얻을 수 있다는 판단이다.

일본의	일본/NNP+의/JKG
자본과	자본/NNG+과/JC
기술,	기술/NNG+,/SP
인도의	인도/NNP+의/JKG
인력과	인력/NNG+과/JC
현지	현지/NNG
경험을	경험/NNG+을/JKO
결합하면	결합/NNG+하/XSV+면/EC
이들	이/NP+들/XSN
지역에서	지역/NNG+에서/JKB
윈윈	윈윈/NNG
효과를	효과/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.46.7.1
아베 총리는 이번 인도 방문에서 총 1900억 엔(약 1조9483억 원)의 차관 공여 방침을 전했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이번	이번/NNG
인도	인도/NNP
방문에서	방문/NNG+에서/JKB
총	총/MMA
1900억	1900/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
1조9483억	1/SN+조/NR+9483/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
차관	차관/NNG
공여	공여/NNG
방침을	방침/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.7.2
뭄바이와 아마다바드를 연결하는 고속철도 건설 등에 약 1000억 엔과 인도 동북부 도로 개선 계획에 386억 엔 등 모두 5건이 대상이다.

뭄바이와	뭄바이/NNP+와/JC
아마다바드를	아마다바드/NNP+를/JKO
연결하는	연결/NNG+하/XSV+는/ETM
고속철도	고속/NNG+철도/NNG
건설	건설/NNG
등에	등/NNB+에/JKB
약	약/MMA
1000억	1000/SN+억/NR
엔과	엔/NNB+과/JC
인도	인도/NNP
동북부	동북부/NNG
도로	도로/NNG
개선	개선/NNG
계획에	계획/NNG+에/JKB
386억	386/SN+억/NR
엔	엔/NNB
등	등/NNB
모두	모두/MAG
5건이	5/SN+건/NNB+이/JKS
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.46.7.3
인도는 2015년 자국의 첫 고속철도를 일본 신칸센 방식으로 결정했다.

인도는	인도/NNP+는/JX
2015년	2015/SN+년/NNB
자국의	자국/NNG+의/JKG
첫	첫/MMN
고속철도를	고속/NNG+철도/NNG+를/JKO
일본	일본/NNP
신칸센	신칸센/NNP
방식으로	방식/NNG+으로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.7.4
인도의 경제발전을 밀어줌으로써 양국 관계 강화를 도모하고 일본 경제 성장에도 연결한다는 계산이다.

인도의	인도/NNP+의/JKG
경제발전을	경제/NNG+발전/NNG+을/JKO
밀어줌으로써	밀/VV+어/EC+주/VX+ㅁ/ETN+으로써/JKB
양국	양국/NNG
관계	관계/NNG
강화를	강화/NNG+를/JKO
도모하고	도모/NNG+하/XSV+고/EC
일본	일본/NNP
경제	경제/NNG
성장에도	성장/NNG+에/JKB+도/JX
연결한다는	연결/NNG+하/XSV+ㄴ다는/ETM
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.46.7.5
양 정상은 이날 정상회담을 갖기 전 인도 첫 고속철도 기공식에 참석했다.

양	양/MMN
정상은	정상/NNG+은/JX
이날	이날/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
갖기	갖/VV+기/ETN
전	전/NNG
인도	인도/NNP
첫	첫/MMN
고속철도	고속/NNG+철도/NNG
기공식에	기공식/NNG+에/JKB
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.8.1
13일 오후 인도 구자라트주 최대 도시 아마다바드에 부인 아키에 여사와 함께 도착한 아베 총리는 모디 총리로부터 뜨거운 포옹과 영접을 받았다.

13일	13/SN+일/NNB
오후	오후/NNG
인도	인도/NNP
구자라트주	구자라트주/NNP
최대	최대/NNG
도시	도시/NNG
아마다바드에	아마다바드/NNP+에/JKB
부인	부인/NNG
아키에	아키에/NNP
여사와	여사/NNG+와/JKB
함께	함께/MAG
도착한	도착/NNG+하/XSV+ㄴ/ETM
아베	아베/NNP
총리는	총리/NNG+는/JX
모디	모디/NNP
총리로부터	총리/NNG+로부터/JKB
뜨거운	뜨겁/VA+ㄴ/ETM
포옹과	포옹/NNG+과/JC
영접을	영접/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.46.8.2
두 정상은 2014년 모디 총리가 취임한 첫해 일본을 방문한 이래 매년 상대국을 오가며 정상회담을 열고 있다.

두	두/MMN
정상은	정상/NNG+은/JX
2014년	2014/SN+년/NNB
모디	모디/NNP
총리가	총리/NNG+가/JKS
취임한	취임/NNG+하/XSV+ㄴ/ETM
첫해	첫해/NNG
일본을	일본/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
매년	매년/MAG
상대국을	상대국/NNG+을/JKO
오가며	오가/VV+며/EC
정상회담을	정상/NNG+회담/NNG+을/JKO
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.46.8.3
다자회의에서 가진 회담까지 포함하면 이번이 10번째 정상회담이 된다.

다자회의에서	다자/NNG+회의/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
회담까지	회담/NNG+까지/JX
포함하면	포함/NNG+하/XSV+면/EC
이번이	이번/NNG+이/JKS
10번째	10/SN+번/NNB+째/XSN
정상회담이	정상/NNG+회담/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.46.9.1
안보 면에서는 인도와 미국이 태평양과 인도양을 오가며 하던 연례 연합해군훈련에 지난해부터 일본 해상자위대의 참가가 정례화됐다.

안보	안보/NNG
면에서는	면/NNG+에서/JKB+는/JX
인도와	인도/NNP+와/JC
미국이	미국/NNP+이/JKS
태평양과	태평양/NNP+과/JC
인도양을	인도양/NNP+을/JKO
오가며	오가/VV+며/EC
하던	하/VV+던/ETM
연례	연례/NNG
연합해군훈련에	연합/NNG+해군/NNG+훈련/NNG+에/JKB
지난해부터	지난해/NNG+부터/JX
일본	일본/NNP
해상자위대의	해상/NNG+자위대/NNG+의/JKG
참가가	참가/NNG+가/JKS
정례화됐다.	정례/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.46.9.2
일본과 인도는 외교·국방 차관급이던 2+2회담을 장관급으로 격상하는 등 양국 관계를 한층 더 고도화할 방침이다.

일본과	일본/NNP+과/JC
인도는	인도/NNP+는/JX
외교·국방	외교/NNG+·/SP+국방/NNG
차관급이던	차관급/NNG+이/VCP+던/ETM
2+2회담을	2/SN++/SW+2/SN+회담/NNG+을/JKO
장관급으로	장관급/NNG+으로/JKB
격상하는	격상/NNG+하/XSV+는/ETM
등	등/NNB
양국	양국/NNG
관계를	관계/NNG+를/JKO
한층	한층/MAG
더	더/MAG
고도화할	고도/NNG+화/XSN+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


