# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.57
metadata : {}


# id : NWRW1800000025.57.1.1
“한국과 모바일-게임 음향 협력 강화” ‘돌비’ 람지 해다무스 부사장

“한국과	“/SS+한국/NNP+과/JKB
모바일-게임	모바일/NNG+-/SO+게임/NNG
음향	음향/NNG
협력	협력/NNG
강화”	강화/NNG+”/SS
‘돌비’	‘/SS+돌비/NNP+’/SS
람지	람지/NNP
해다무스	해다무스/NNP
부사장	부사장/NNG


# id : NWRW1800000025.57.2.1
“한국은 음향 분야에서 혁신 속도가 빠른 나라라고 생각합니다.

“한국은	“/SS+한국/NNP+은/JX
음향	음향/NNG
분야에서	분야/NNG+에서/JKB
혁신	혁신/NNG
속도가	속도/NNG+가/JKS
빠른	빠르/VA+ㄴ/ETM
나라라고	나라/NNG+이/VCP+라고/EC
생각합니다.	생각/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000025.57.2.2
지난해 돌비가 전 세계에서 거둔 매출 중 한국은 미국 일본에 이어 세계 3위를 차지했습니다.

지난해	지난해/NNG
돌비가	돌비/NNP+가/JKS
전	전/MMN
세계에서	세계/NNG+에서/JKB
거둔	거두/VV+ㄴ/ETM
매출	매출/NNG
중	중/NNB
한국은	한국/NNP+은/JX
미국	미국/NNP
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
3위를	3/SN+위/NNB+를/JKO
차지했습니다.	차지/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000025.57.2.3
앞으로 모바일, 게임 분야에서 한국과 음향 사업을 긴밀히 해 나갈 예정입니다.”

앞으로	앞/NNG+으로/JKB
모바일,	모바일/NNG+,/SP
게임	게임/NNG
분야에서	분야/NNG+에서/JKB
한국과	한국/NNP+과/JKB
음향	음향/NNG
사업을	사업/NNG+을/JKO
긴밀히	긴밀히/MAG
해	하/VV+아/EC
나갈	나가/VX+ㄹ/ETM
예정입니다.”	예정/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.57.3.1
세계적인 미국 음향기술업체 ‘돌비’가 5일 오전 서울 중구 소공동 웨스틴조선호텔에서 기자간담회를 열고 한국에서의 사업 강화 전략을 밝혔다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
미국	미국/NNP
음향기술업체	음향/NNG+기술업체/NNG
‘돌비’가	‘/SS+돌비/NNP+’/SS+가/JKS
5일	5/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
중구	중구/NNP
소공동	소공동/NNP
웨스틴조선호텔에서	웨스틴조선호텔/NNP+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
한국에서의	한국/NNP+에서/JKB+의/JKG
사업	사업/NNG
강화	강화/NNG
전략을	전략/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.57.4.1
람지 해다무스 돌비 글로벌 마케팅 부사장(46)은 “그간 삼성전자, LG전자에서 생산되는 TV 등 가전제품에 5.1 다채널 사운드 같은 돌비 음향 기술을 적용해 왔다”며 “앞으로는 스마트폰으로 대표되는 휴대용 디지털기기를 중심으로 사업을 넓혀 나가겠다”고 말했다.

람지	람지/NNP
해다무스	해다무스/NNP
돌비	돌비/NNP
글로벌	글로벌/NNG
마케팅	마케팅/NNG
부사장(46)은	부사장/NNG+(/SS+46/SN+)/SS+은/JX
“그간	“/SS+그/NP+간/XSN
삼성전자,	삼성전자/NNP+,/SP
LG전자에서	LG전자/NNP+에서/JKB
생산되는	생산/NNG+되/XSV+는/ETM
TV	TV/SL
등	등/NNB
가전제품에	가전제품/NNG+에/JKB
5.1	5/SN+./SP+1/SN
다채널	다채널/NNG
사운드	사운드/NNG
같은	같/VA+은/ETM
음향	음향/NNG
기술을	기술/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“앞으로는	“/SS+앞/NNG+으로/JKB+는/JX
스마트폰으로	스마트폰/NNG+으로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
휴대용	휴대/NNG+용/XSN
디지털기기를	디지털/NNG+기기/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
사업을	사업/NNG+을/JKO
넓혀	넓히/VV+어/EC
나가겠다”고	나가/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.57.5.1
지난해 돌비 본사의 전체 매출은 약 7억1900만 달러(약 8274억 원).

지난해	지난해/NNG
돌비	돌비/NNP
본사의	본사/NNG+의/JKG
전체	전체/NNG
매출은	매출/NNG+은/JX
약	약/MMA
7억1900만	7/SN+억/NR+1900/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
8274억	8274/SN+억/NR
원).	원/NNB+)/SS+./SF


# id : NWRW1800000025.57.5.2
그중 한국에서 거둬들인 매출액은 13%인 약 9347만 달러(1075억 원)에 이른다.

그중	그중/NNG
한국에서	한국/NNP+에서/JKB
거둬들인	거둬들이/VV+ㄴ/ETM
매출액은	매출액/NNG+은/JX
13%인	13/SN+%/SW+이/VCP+ㄴ/ETM
약	약/MMA
9347만	9347/SN+만/NR
달러(1075억	달러/NNB+(/SS+1075/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.57.5.3
지난해 11월 발매된 삼성전자의 TV 겸용 27인치 ‘싱크마스터’ 모니터를 비롯해 LG전자의 디지털TV, 휴대전화인 아레나폰과 뉴초콜릿폰 등 국내 매출의 대부분은 두 기업에서 나왔다.

지난해	지난해/NNG
11월	11/SN+월/NNB
발매된	발매/NNG+되/XSV+ㄴ/ETM
삼성전자의	삼성전자/NNP+의/JKG
TV	TV/SL
겸용	겸용/NNG
27인치	27/SN+인치/NNB
‘싱크마스터’	‘/SS+싱크마스터/NNP+’/SS
모니터를	모니터/NNG+를/JKO
비롯해	비롯하/VV+아/EC
LG전자의	LG전자/NNP+의/JKG
디지털TV,	디지털/NNG+TV/SL+,/SP
휴대전화인	휴대/NNG+전화/NNG+이/VCP+ㄴ/ETM
아레나폰과	아레나폰/NNP+과/JC
뉴초콜릿폰	뉴초콜릿폰/NNP
등	등/NNB
국내	국내/NNG
매출의	매출/NNG+의/JKG
대부분은	대/XPN+부분/NNG+은/JX
두	두/MMN
기업에서	기업/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.57.6.1
해다무스 부사장은 “앞으로 휴대용 디지털기기 시장에 중점적으로 도전하겠다”고 밝혔다.

해다무스	해다무스/NNP
부사장은	부사장/NNG+은/JX
“앞으로	“/SS+앞/NNG+으로/JKB
휴대용	휴대/NNG+용/XSN
디지털기기	디지털/NNG+기기/NNG
시장에	시장/NNG+에/JKB
중점적으로	중점/NNG+적/XSN+으로/JKB
도전하겠다”고	도전/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.57.6.2
돌비가 현재 개발한 휴대전화용 음장 기술은 3가지다.

돌비가	돌비/NNP+가/JKS
현재	현재/MAG
개발한	개발/NNG+하/XSV+ㄴ/ETM
휴대전화용	휴대/NNG+전화/NNG+용/XSN
음장	음장/NNG
기술은	기술/NNG+은/JX
3가지다.	3/SN+가지/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.57.6.3
오디오 관련 ‘HDAC’ 기술은 삼성전자와 LG전자를 비롯해 소니에릭손 노키아 애플 등 3세대 휴대전화 제조업체들에 이미 라이선스를 제공했다.

오디오	오디오/NNG
관련	관련/NNG
‘HDAC’	‘/SS+HDAC/SL+’/SS
기술은	기술/NNG+은/JX
삼성전자와	삼성전자/NNP+와/JC
LG전자를	LG전자/NNP+를/JKO
비롯해	비롯하/VV+아/EC
소니에릭손	소니에릭손/NNP
노키아	노키아/NNP
애플	애플/NNP
등	등/NNB
3세대	3/SN+세대/NNG
휴대전화	휴대/NNG+전화/NNG
제조업체들에	제조업체/NNG+들/XSN+에/JKB
이미	이미/MAG
라이선스를	라이선스/NNG+를/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.57.6.4
특히 ‘온라인게임 강국’인 한국에서는 현재 온라인게임 개발업체 두 곳과 사업 제휴를 맺고 있다.

특히	특히/MAG
‘온라인게임	‘/SS+온라인/NNG+게임/NNG
강국’인	강국/NNG+’/SS+이/VCP+ㄴ/ETM
한국에서는	한국/NNP+에서/JKB+는/JX
현재	현재/MAG
온라인게임	온라인/NNG+게임/NNG
개발업체	개발업체/NNG
두	두/MMN
곳과	곳/NNG+과/JKB
사업	사업/NNG
제휴를	제휴/NNG+를/JKO
맺고	맺/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.57.6.5
지난해 엔씨소프트와 계약하고 신작 ‘블레이드 앤드 솔’ 오프닝 영상에 3차원(3D) 입체 음향 기술을 제공했다.

지난해	지난해/NNG
엔씨소프트와	엔씨소프트/NNP+와/JKB
계약하고	계약/NNG+하/XSV+고/EC
신작	신작/NNG
‘블레이드	‘/SS+블레이드/NNP
앤드	앤드/NNP
솔’	솔/NNP+’/SS
오프닝	오프닝/NNG
영상에	영상/NNG+에/JKB
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
입체	입체/NNG
음향	음향/NNG
기술을	기술/NNG+을/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.57.7.1
돌비는 소음감소 관련 기술을 개발하던 미국 물리학 박사 레이 돌비가 1965년 설립했다.

돌비는	돌비/NNP+는/JX
소음감소	소음/NNG+감소/NNG
관련	관련/NNG
기술을	기술/NNG+을/JKO
개발하던	개발/NNG+하/XSV+던/ETM
미국	미국/NNP
물리학	물리학/NNG
박사	박사/NNG
레이	레이/NNP
돌비가	돌비/NNP+가/JKS
1965년	1965/SN+년/NNB
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.57.7.2
아날로그 시절부터 자체 음향 기술을 개발해 유명해졌다.

아날로그	아날로그/NNG
시절부터	시절/NNG+부터/JX
자체	자체/NNG
음향	음향/NNG
기술을	기술/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
유명해졌다.	유명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.57.7.3
현재 12개국에 진출해 21개 지사를 두고 있다.

현재	현재/MAG
12개국에	12/SN+개국/NNB+에/JKB
