# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.335
metadata : {}


# id : NWRW1800000054.335.1.1
野 '사드 재협상' 주장에 안희정, 연일 소신 발언

野	野/SH
'사드	'/SS+사드/NNG
재협상'	재/XPN+협상/NNG+'/SS
주장에	주장/NNG+에/JKB
안희정,	안희정/NNP+,/SP
연일	연일/MAG
소신	소신/NNG
발언	발언/NNG


# id : NWRW1800000054.335.2.1
"정말 가까운 친구 美와의 약속… 지도자가 바로 뒤집어선 안돼"

"정말	"/SS+정말/MAG
가까운	가깝/VA+ㄴ/ETM
친구	친구/NNG
美와의	美/SH+와/JKB+의/JKG
약속…	약속/NNG+…/SE
지도자가	지도자/NNG+가/JKS
바로	바로/MAG
뒤집어선	뒤집/VV+어서/EC+ㄴ/JX
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000054.335.3.1
안희정 충남지사는 문재인 전 민주당 대표 등 일부 야권(野圈) 대선 주자들이 사드(고고도 미사일 방어 체계) 배치를 재검토하자는 주장과 관련, "전통적인 우방 관계는 그렇게 하면 안 된다. 정말 가까운 친구에게는 문제 제기하는 방식이 달라져야 한다"고 12일 말했다.

안희정	안희정/NNP
충남지사는	충남/NNP+지사/NNG+는/JX
문재인	문재인/NNP
전	전/MMD
민주당	민주당/NNP
대표	대표/NNG
등	등/NNB
일부	일부/NNG
야권(野圈)	야권/NNG+(/SS+野圈/SH+)/SS
대선	대선/NNG
주자들이	주자/NNG+들/XSN+이/JKS
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체계)	체계/NNG+)/SS
배치를	배치/NNG+를/JKO
재검토하자는	재/XPN+검토/NNG+하/XSV+자는/ETM
주장과	주장/NNG+과/JKB
관련,	관련/NNG+,/SP
"전통적인	"/SS+전통/NNG+적/XSN+이/VCP+ㄴ/ETM
우방	우방/NNG
관계는	관계/NNG+는/JX
그렇게	그렇/VA+게/EC
하면	하/VV+면/EC
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF
정말	정말/MAG
가까운	가깝/VA+ㄴ/ETM
친구에게는	친구/NNG+에게/JKB+는/JX
문제	문제/NNG
제기하는	제기/NNG+하/XSV+는/ETM
방식이	방식/NNG+이/JKS
달라져야	달라지/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
12일	12/SN+일/NNB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.335.3.2
그는 전날 외신기자 초청 간담회에서도 "박근혜 대통령이 한·미 정부 간 협상을 통해 결정한 것은 그것대로 존중하겠다"고 했었다.

그는	그/NP+는/JX
전날	전날/NNG
외신기자	외신/NNG+기자/NNG
초청	초청/NNG
간담회에서도	간담회/NNG+에서/JKB+도/JX
"박근혜	"/SS+박근혜/NNP
대통령이	대통령/NNG+이/JKS
한·미	한·미/NNP
정부	정부/NNG
간	간/NNB
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
그것대로	그것/NP+대로/JX
존중하겠다"고	존중/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.335.4.1
안 지사는 이날 국회에서 열린 '대학생 리더십 아카데미' 행사에서 "생면부지인 사람이 실수하면 휑하고 등을 돌릴 수 있지만 오래된 친구에게 그렇게 하면 친구가 하나도 안 남는다"며 "그런 측면에서 한국과 미국은 전략적 동맹 우방인데 정부가 협상한 것을 국가 지도자가 바로 뒤집겠다고 얘기하면 안 된다"고 했다.

안	안/MAG
지사는	지사/NNG+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
'대학생	'/SS+대학/NNG+생/XSN
리더십	리더십/NNG
아카데미'	아카데미/NNG+'/SS
행사에서	행사/NNG+에서/JKB
"생면부지인	"/SS+생면부지/NNG+이/VCP+ㄴ/ETM
사람이	사람/NNG+이/JKS
실수하면	실수/NNG+하/XSV+면/EC
휑하고	휑하/VA+고/EC
등을	등/NNG+을/JKO
돌릴	돌리/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
오래된	오래/MAG+되/XSA+ㄴ/ETM
친구에게	친구/NNG+에게/JKB
그렇게	그렇/VA+게/EC
하면	하/VV+면/EC
친구가	친구/NNG+가/JKS
하나도	하나/NR+도/JX
남는다"며	남/VV+는다/EF+"/SS+며/EC
"그런	"/SS+그런/MMD
측면에서	측면/NNG+에서/JKB
한국과	한국/NNP+과/JC
미국은	미국/NNP+은/JX
전략적	전략/NNG+적/XSN
동맹	동맹/NNG
우방인데	우방/NNG+이/VCP+ㄴ데/EC
정부가	정부/NNG+가/JKS
협상한	협상/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
국가	국가/NNG
지도자가	지도자/NNG+가/JKS
바로	바로/MAG
뒤집겠다고	뒤집/VV+겠/EP+다고/EC
얘기하면	얘기/NNG+하/XSV+면/EC
