# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.1
metadata : {}


# id : NWRW1800000046.1.1.1
1년새 261% 급등… 신세계건설 株價 연일'신세계'

1년새	1/SN+년/NNB+새/NNG
261%	261/SN+%/SW
급등…	급등/NNG+…/SE
신세계건설	신세계건설/NNP
株價	株價/SH
연일'신세계'	연일/MAG+'/SS+신/XPN+세계/NNG+'/SS


# id : NWRW1800000046.1.2.1
공격적 투자 나서는 그룹… 일감 몰아주기 후광 효과, 실적 호전… 올 株價 26%↑

공격적	공격/NNG+적/XSN
투자	투자/NNG
나서는	나서/VV+는/ETM
그룹…	그룹/NNG+…/SE
일감	일감/NNG
몰아주기	몰아주기/NNG
후광	후광/NNG
효과,	효과/NNG+,/SP
실적	실적/NNG
호전…	호전/NNG+…/SE
올	올/NNG
株價	株價/SH
26%↑	26/SN+%/SW+↑/SW


# id : NWRW1800000046.1.3.1
최근 대형 건설사들의 주가(株價)가 바닥권을 헤매는 가운데 신세계건설 주가가 연일 고공비행하고 있다.

최근	최근/MAG
대형	대형/NNG
건설사들의	건설사/NNG+들/XSN+의/JKG
주가(株價)가	주가/NNG+(/SS+株價/SH+)/SS+가/JKS
바닥권을	바닥/NNG+권/XSN+을/JKO
헤매는	헤매/VV+는/ETM
가운데	가운데/NNG
신세계건설	신세계건설/NNP
주가가	주가/NNG+가/JKS
연일	연일/MAG
고공비행하고	고공비행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.1.4.1
23일 신세계건설 주가는 전날보다 5.61% 오른 3만6700원에 장을 마치면서 52주 만에 최고치를 경신했다.

23일	23/SN+일/NNB
신세계건설	신세계건설/NNP
주가는	주가/NNG+는/JX
전날보다	전날/NNG+보다/JKB
5.61%	5/SN+./SP+61/SN+%/SW
오른	오르/VV+ㄴ/ETM
3만6700원에	3/SN+만/NR+6700/SN+원/NNB+에/JKB
장을	장/NNG+을/JKO
마치면서	마치/VV+면서/EC
52주	52/SN+주/NNB
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.1.4.2
올 들어 상승률만 26%이다.

올	올/NNG
들어	들/VV+어/EC
상승률만	상승/NNG+률/XSN+만/JX
26%이다.	26/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.4.3
1년 전 종가(1만1500원)와 비교하면 261% 정도 급등했다.

1년	1/SN+년/NNB
전	전/NNG
종가(1만1500원)와	종가/NNG+(/SS+1/SN+만/NR+1500/SN+원/NNB+)/SS+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
261%	261/SN+%/SW
정도	정도/NNG
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.1.4.4
대림산업·GS건설 등 대형 건설주 대부분이 이달에만 최대 20% 넘게 빠진 것과 대조적이다.

대림산업·GS건설	대림산업/NNP+·/SP+GS건설/NNP
등	등/NNB
대형	대형/NNG
건설주	건설주/NNG
대부분이	대/XPN+부분/NNG+이/JKS
이달에만	이달/NNG+에/JKB+만/JX
최대	최대/NNG
20%	20/SN+%/SW
넘게	넘/VV+게/EC
빠진	빠지/VV+ㄴ/ETM
것과	것/NNB+과/JKB
대조적이다.	대조/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.5.1
신세계건설은 1991년 출범한 신세계그룹 계열사로 이마트가 최대주주(32.4%)이며 이명희 회장과 정용진 부회장 지분은 각각 9.49%, 0.8%다.

신세계건설은	신세계건설/NNP+은/JX
1991년	1991/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
신세계그룹	신세계그룹/NNP
계열사로	계열사/NNG+로/JKB
이마트가	이마트/NNP+가/JKS
최대주주(32.4%)이며	최대/NNG+주주/NNG+(/SS+32/SN+./SP+4/SN+%/SW+)/SS+이/VCP+며/EC
이명희	이명희/NNP
회장과	회장/NNG+과/JC
정용진	정용진/NNP
부회장	부회장/NNG
지분은	지분/NNG+은/JX
각각	각각/MAG
9.49%,	9/SN+./SP+49/SN+%/SW+,/SP
0.8%다.	0/SN+./SP+8/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.5.2
백화점·할인점·아웃렛 등 그룹에서 발주하는 유통·상업시설 공사를 전담하며 경기도 여주에 골프장 2곳도 운영 중이다.

백화점·할인점·아웃렛	백화점/NNG+·/SP+할인점/NNG+·/SP+아웃렛/NNG
등	등/NNB
그룹에서	그룹/NNG+에서/JKB
발주하는	발주/NNG+하/XSV+는/ETM
유통·상업시설	유통/NNG+·/SP+상업/NNG+시설/NNG
공사를	공사/NNG+를/JKO
전담하며	전담/NNG+하/XSV+며/EC
경기도	경기도/NNP
여주에	여주/NNP+에/JKB
골프장	골프장/NNG
2곳도	2/SN+곳/NNG+도/JX
운영	운영/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.6.1
신세계건설 주가가 치솟는 이유는 실적이 호전되고 있기 때문이다.

신세계건설	신세계건설/NNP
주가가	주가/NNG+가/JKS
치솟는	치솟/VV+는/ETM
이유는	이유/NNG+는/JX
실적이	실적/NNG+이/JKS
호전되고	호전/NNG+되/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.6.2
할인점 출점 규제 여파 등으로 2013년엔 영업적자(202억원)를 냈지만 지난해 흑자 전환했다.

할인점	할인점/NNG
출점	출점/NNG
규제	규제/NNG
여파	여파/NNG
등으로	등/NNB+으로/JKB
2013년엔	2013/SN+년/NNB+에/JKB+ㄴ/JX
영업적자(202억원)를	영업/NNG+적자/NNG+(/SS+202/SN+억/NR+원/NNB+)/SS+를/JKO
냈지만	내/VV+었/EP+지만/EC
지난해	지난해/NNG
흑자	흑자/NNG
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.1.6.3
2010년 이후 연간 4000억~6000억원대이던 매출도 지난해 사상 첫 7000억원대를 넘어선 것으로 알려졌다.

2010년	2010/SN+년/NNB
이후	이후/NNG
연간	연간/NNG
4000억~6000억원대이던	4000/SN+억/NR+~/SO+6000/SN+억/NR+원/NNB+대/XSN+이/VCP+던/ETM
매출도	매출/NNG+도/JX
지난해	지난해/NNG
사상	사상/NNG
첫	첫/MMN
7000억원대를	7000/SN+억/NR+원/NNB+대/XSN+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.1.6.4
신세계건설 매출에서 그룹 발주 공사 비중은 70% 정도다.

신세계건설	신세계건설/NNP
매출에서	매출/NNG+에서/JKB
그룹	그룹/NNG
발주	발주/NNG
공사	공사/NNG
비중은	비중/NNG+은/JX
70%	70/SN+%/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.6.5
이 때문에 최근 공격적 투자에 나서는 그룹의 일감 몰아주기 후광(後光) 효과를 보고 있다는 분석이다.

이	이/MMD
때문에	때문/NNB+에/JKB
최근	최근/MAG
공격적	공격/NNG+적/XSN
투자에	투자/NNG+에/JKB
나서는	나서/VV+는/ETM
그룹의	그룹/NNG+의/JKG
일감	일감/NNG
몰아주기	몰아주기/NNG
후광(後光)	후광/NNG+(/SS+後光/SH+)/SS
효과를	효과/NNG+를/JKO
보고	보/VV+고/EC
있다는	있/VX+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.6.6
신세계는 2023년까지 31조4000억원을 투자해 이마트를 현재 148개에서 190개로, 백화점·아웃렛·복합쇼핑몰 등은 15개에서 45개로 늘릴 계획이다.

신세계는	신세계/NNP+는/JX
2023년까지	2023/SN+년/NNB+까지/JX
31조4000억원을	31/SN+조/NR+4000/SN+억/NR+원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
