# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.126
metadata : {}


# id : NWRW1800000024.126.1.1
“추경 반영때 성장률 -2.5%” /국회 예산정책처 효과분석

“추경	“/SS+추경/NNG
반영때	반영/NNG+때/NNG
성장률	성장/NNG+률/XSN
-2.5%”	-/SO+2/SN+./SP+5/SN+%/SW+”/SS
/국회	//SP+국회/NNG
예산정책처	예산/NNG+정책처/NNG
효과분석	효과/NNG+분석/NNG


# id : NWRW1800000024.126.2.1
국회 예산정책처가 13일 추가경정 예산안 효과가 반영될 경우 올해 경제성장률을 -2.5%로 예측했다.

국회	국회/NNG
예산정책처가	예산/NNG+정책처/NNG+가/JKS
13일	13/SN+일/NNB
추가경정	추가/NNG+경정/NNG
예산안	예산안/NNG
효과가	효과/NNG+가/JKS
반영될	반영/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
올해	올해/NNG
경제성장률을	경제/NNG+성장/NNG+률/XSN+을/JKO
-2.5%로	-/SO+2/SN+./SP+5/SN+%/SW+로/JKB
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.126.2.2
예산정책처는 이날 발간한 <2009년도 추가경정 예산안 분석> 보고서에서, 올해 경제성장률을 -3.1%로 예상하고 28조9천억원 규모의 추경안이 통과되면 성장률이 0.6%포인트 높아질 것으로 분석했다.

예산정책처는	예산/NNG+정책처/NNG+는/JX
이날	이날/NNG
발간한	발간/NNG+하/XSV+ㄴ/ETM
<2009년도	</SS+2009/SN+년도/NNB
추가경정	추가/NNG+경정/NNG
예산안	예산안/NNG
분석>	분석/NNG+>/SS
보고서에서,	보고서/NNG+에서/JKB+,/SP
올해	올해/NNG
경제성장률을	경제/NNG+성장/NNG+률/XSN+을/JKO
-3.1%로	-/SO+3/SN+./SP+1/SN+%/SW+로/JKB
예상하고	예상/NNG+하/XSV+고/EC
28조9천억원	28/SN+조/NR+9/SN+천억/NR+원/NNB
규모의	규모/NNG+의/JKG
추경안이	추경안/NNG+이/JKS
통과되면	통과/NNG+되/XSV+면/EC
성장률이	성장/NNG+률/XSN+이/JKS
0.6%포인트	0/SN+./SP+6/SN+%포인트/NNG
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.126.2.3
이는 정부가 애초 추경안을 편성할 때 성장률을 -2.7%로 예측하고, 추경예산을 집행하면 성장률이 0.8%포인트 올라 -2.0% 안팎에 이를 것으로 전망한 것보다 더 낮은 수준이다.

이는	이/NP+는/JX
정부가	정부/NNG+가/JKS
애초	애초/NNG
추경안을	추경안/NNG+을/JKO
편성할	편성/NNG+하/XSV+ㄹ/ETM
때	때/NNG
성장률을	성장/NNG+률/XSN+을/JKO
-2.7%로	-/SO+2/SN+./SP+7/SN+%/SW+로/JKB
예측하고,	예측/NNG+하/XSV+고/EC+,/SP
추경예산을	추경/NNG+예산/NNG+을/JKO
집행하면	집행/NNG+하/XSV+면/EC
성장률이	성장/NNG+률/XSN+이/JKS
0.8%포인트	0/SN+./SP+8/SN+%포인트/NNG
올라	오르/VV+아/EC
-2.0%	-/SO+2/SN+./SP+0/SN+%/SW
안팎에	안팎/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한	전망/NNG+하/XSV+ㄴ/ETM
것보다	것/NNB+보다/JKB
더	더/MAG
낮은	낮/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


