# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.327
metadata : {}


# id : NWRW1800000033.327.1.1
외교부, 中대사 불러 ‘김영환씨 신속-공정 처리’ 요구

외교부,	외교부/NNG+,/SP
中대사	中/SH+대사/NNG
불러	부르/VV+어/EC
‘김영환씨	‘/SS+김영환/NNP+씨/NNB
신속-공정	신속/NNG+-/SO+공정/NNG
처리’	처리/NNG+’/SS
요구	요구/NNG


# id : NWRW1800000033.327.2.1
中대사 “본국에 전달할 것”… 유럽의회 석방촉구 결의안

中대사	中/SH+대사/NNG
“본국에	“/SS+본국/NNG+에/JKB
전달할	전달/NNG+하/XSV+ㄹ/ETM
것”…	것/NNB+”/SS+…/SE
유럽의회	유럽의회/NNP
석방촉구	석방/NNG+촉구/NNG
결의안	결의안/NNG


# id : NWRW1800000033.327.3.1
외교통상부가 중국 랴오닝(遼寧) 성 국가안전청에 구금돼 있는 김영환 씨 등 4명에 대해 중국 당국의 신속하고 공정한 조치를 촉구했다.

외교통상부가	외교/NNG+통상부/NNG+가/JKS
중국	중국/NNP
랴오닝(遼寧)	랴오닝/NNP+(/SS+遼寧/SH+)/SS
성	성/NNG
국가안전청에	국가/NNG+안전청/NNG+에/JKB
구금돼	구금/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
김영환	김영환/NNP
씨	씨/NNB
등	등/NNB
4명에	4/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
당국의	당국/NNG+의/JKG
신속하고	신속/NNG+하/XSA+고/EC
공정한	공정/NNG+하/XSA+ㄴ/ETM
조치를	조치/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.3.2
김 씨의 조속한 석방을 촉구하는 국제사회의 움직임도 가시화되고 있다.

김	김/NNP
씨의	씨/NNB+의/JKG
조속한	조속하/VA+ㄴ/ETM
석방을	석방/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
움직임도	움직임/NNG+도/JX
