# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.227
metadata : {}


# id : NWRW1800000025.227.1.1
“盧 前대통령 투신은 차명계좌 발견때문” 조현오 경찰청장 내정자 3월 발언 파문

“盧	“/SS+盧/SH
前대통령	前/SH+대통령/NNG
투신은	투신/NNG+은/JX
차명계좌	차명/NNG+계좌/NNG
발견때문”	발견/NNG+때문/NNB+”/SS
조현오	조현오/NNP
경찰청장	경찰청장/NNG
내정자	내정자/NNG
3월	3/SN+월/NNB
발언	발언/NNG
파문	파문/NNG


# id : NWRW1800000025.227.2.1
조현오 경찰청장 내정자가 올해 3월 말 서울지방경찰청장 자격으로 경찰간부들을 대상으로 교육을 하는 과정에서 노무현 전 대통령이 차명계좌가 발견돼 자살했다는 취지의 발언을 한 사실이 13일 뒤늦게 알려졌다.

조현오	조현오/NNP
경찰청장	경찰청장/NNG
내정자가	내정자/NNG+가/JKS
올해	올해/NNG
3월	3/SN+월/NNB
말	말/NNB
서울지방경찰청장	서울지방경찰청장/NNG
자격으로	자격/NNG+으로/JKB
경찰간부들을	경찰/NNG+간부/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
교육을	교육/NNG+을/JKO
하는	하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
노무현	노무현/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
차명계좌가	차명/NNG+계좌/NNG+가/JKS
발견돼	발견/NNG+되/XSV+어/EC
자살했다는	자살/NNG+하/XSV+았/EP+다는/ETM
취지의	취지/NNG+의/JKG
발언을	발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
13일	13/SN+일/NNB
뒤늦게	뒤늦/VA+게/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.227.3.1
당시 교육 내용이 녹화된 동영상에 따르면 조 내정자는 “노무현 전 대통령이 무엇 때문에 사망했습니까, 뭣 때문에 뛰어내렸습니까”라면서 “뛰어내리기 바로 전날 거액의 차명계좌가 발견되지 않았습니까.

당시	당시/NNG
교육	교육/NNG
내용이	내용/NNG+이/JKS
녹화된	녹화/NNG+되/XSV+ㄴ/ETM
동영상에	동영상/NNG+에/JKB
따르면	따르/VV+면/EC
조	조/NNP
내정자는	내정자/NNG+는/JX
“노무현	“/SS+노무현/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
무엇	무엇/NP
때문에	때문/NNB+에/JKB
사망했습니까,	사망/NNG+하/XSV+았/EP+습니까/EF+,/SP
뭣	뭣/NP
뛰어내렸습니까”라면서	뛰어내리/VV+었/EP+습니까/EF+”/SS+이/VCP+라면서/EC
“뛰어내리기	“/SS+뛰어내리/VV+기/ETN
바로	바로/MAG
전날	전날/NNG
거액의	거액/NNG+의/JKG
차명계좌가	차명/NNG+계좌/NNG+가/JKS
발견되지	발견/NNG+되/XSV+지/EC
않았습니까.	않/VX+았/EP+습니까/EF+./SF


# id : NWRW1800000025.227.3.2
차명계좌가…10만 원짜리 수표가, 거액의 차명계좌가 발견됐는데”라고 말했다.

차명계좌가…10만	차명/NNG+계좌/NNG+가/JKS+…/SE+10/SN+만/NR
원짜리	원/NNB+짜리/XSN
수표가,	수표/NNG+가/JKS+,/SP
거액의	거액/NNG+의/JKG
차명계좌가	차명/NNG+계좌/NNG+가/JKS
발견됐는데”라고	발견/NNG+되/XSV+었/EP+는데/EC+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.227.3.3
또 조 내정자는 “그 당시 특검 이야기가 나와서 특검 하려고 하니까 (노 전 대통령의 부인인) 권양숙 여사가 민주당에 이야기해서 특검을 못하게 한 겁니다.

또	또/MAG
조	조/NNP
내정자는	내정자/NNG+는/JX
“그	“/SS+그/MMD
당시	당시/NNG
특검	특검/NNG
이야기가	이야기/NNG+가/JKS
나와서	나오/VV+아서/EC
