# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.195
metadata : {}


# id : NWRW1800000036.195.1.1
“원전중단에도 전력난 없는 이유”

“원전중단에도	“/SS+원전/NNG+중단/NNG+에/JKB+도/JX
전력난	전력난/NNG
없는	없/VA+는/ETM
이유”	이유/NNG+”/SS


# id : NWRW1800000036.195.2.1
[한겨레] 일본 태양광 시설 본 박원순 시장

[한겨레]	[/SS+한겨레/NNP+]/SS
일본	일본/NNP
태양광	태양광/NNG
시설	시설/NNG
본	보/VV+ㄴ/ETM
박원순	박원순/NNP
시장	시장/NNG


# id : NWRW1800000036.195.3.1
9일 오전 눈 쌓인 후지산을 배경으로 자리잡은 일본 요코하마시의 고스즈메 정수장.

9일	9/SN+일/NNB
오전	오전/NNG
눈	눈/NNG
쌓인	쌓이/VV+ㄴ/ETM
후지산을	후지산/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
자리잡은	자리/NNG+잡/VV+은/ETM
일본	일본/NNP
요코하마시의	요코하마시/NNP+의/JKG
고스즈메	고스즈메/NNP
정수장.	정수장/NNG+./SF


# id : NWRW1800000036.195.3.2
겨울볕을 받은 은빛 태양광 발전 패널이 반짝였다.

겨울볕을	겨울/NNG+볕/NNG+을/JKO
받은	받/VV+은/ETM
은빛	은빛/NNG
태양광	태양광/NNG
발전	발전/NNG
패널이	패널/NNG+이/JKS
반짝였다.	반짝이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.195.3.3
태양광 패널을 들어 올리자 염소 냄새가 훅 끼치며 아래쪽 정수시설이 드러났다.

태양광	태양광/NNG
패널을	패널/NNG+을/JKO
들어	들/VV+어/EC
올리자	올리/VV+자/EC
염소	염소/NNG
냄새가	냄새/NNG+가/JKS
훅	훅/MAG
끼치며	끼치/VV+며/EC
아래쪽	아래쪽/NNG
정수시설이	정수/NNG+시설/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.195.3.4
수돗물을 거르는 여과지의 지붕이 태양광 패널이었다.

수돗물을	수돗물/NNG+을/JKO
거르는	거르/VV+는/ETM
여과지의	여과지/NNG+의/JKG
지붕이	지붕/NNG+이/JKS
태양광	태양광/NNG
패널이었다.	패널/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.195.4.1
“여길 계속 보고 나면 서울의 모든 길과 지붕이 태양광 패널로 보이겠어요.”

“여길	“/SS+여기/NP+ㄹ/JKO
계속	계속/MAG
보고	보/VV+고/EC
나면	나/VX+면/EC
서울의	서울/NNP+의/JKG
모든	모든/MMN
길과	길/NNG+과/JC
지붕이	지붕/NNG+이/JKS
태양광	태양광/NNG
패널로	패널/NNG+로/JKB
보이겠어요.”	보이/VV+겠/EP+어요/EF+./SF+”/SS


# id : NWRW1800000036.195.4.2
2박3일간 일본 출장 둘째 날인 이날 오전 이곳을 찾은 박원순 서울시장이 여과지를 내려다보며 말했다.

2박3일간	2/SN+박/NNB+3/SN+일/NNB+간/XSN
일본	일본/NNP
출장	출장/NNG
둘째	둘째/NR
날인	날/NNG+이/VCP+ㄴ/ETM
이날	이날/NNG
오전	오전/NNG
이곳을	이곳/NP+을/JKO
찾은	찾/VV+은/ETM
박원순	박원순/NNP
서울시장이	서울시장/NNG+이/JKS
여과지를	여과지/NNG+를/JKO
내려다보며	내려다보/VV+며/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.195.4.3
이어 그는 “일본이 지난해 후쿠시마 원전사고 이후 원전 50기의 가동을 이미 중단했고 나머지 4기도 곧 중단한다는데도 에너지대란이 없는 것을 보며, 서울시민에게 임기내 원전 1기에 해당하는 전력량을 줄이겠다는 제 약속이 충분히 가능하다는 것을 확인했다”며 “지속가능한 사회를 위해 좀더 공세적으로 에너지정책을 만드는 것이 중요하다”고 강조했다.

이어	이어/MAG
그는	그/NP+는/JX
“일본이	“/SS+일본/NNP+이/JKS
지난해	지난해/NNG
후쿠시마	후쿠시마/NNP
원전사고	원전/NNG+사고/NNG
이후	이후/NNG
원전	원전/NNG
50기의	50/SN+기/NNB+의/JKG
가동을	가동/NNG+을/JKO
이미	이미/MAG
중단했고	중단/NNG+하/XSV+았/EP+고/EC
나머지	나머지/NNG
4기도	4/SN+기/NNB+도/JX
곧	곧/MAG
중단한다는데도	중단/NNG+하/XSV+ㄴ다는데/EC+도/JX
에너지대란이	에너지/NNG+대란/NNG+이/JKS
없는	없/VA+는/ETM
것을	것/NNB+을/JKO
보며,	보/VV+며/EC+,/SP
서울시민에게	서울/NNP+시민/NNG+에게/JKB
임기내	임기/NNG+내/NNB
1기에	1/SN+기/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
전력량을	전력량/NNG+을/JKO
줄이겠다는	줄이/VV+겠/EP+다는/ETM
제	저/NP+의/JKG
약속이	약속/NNG+이/JKS
충분히	충분히/MAG
가능하다는	가능/NNG+하/XSA+다는/ETM
확인했다”며	확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“지속가능한	“/SS+지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
사회를	사회/NNG+를/JKO
위해	위하/VV+아/EC
좀더	좀/MAG+더/MAG
공세적으로	공세/NNG+적/XSN+으로/JKB
에너지정책을	에너지/NNG+정책/NNG+을/JKO
만드는	만들/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.195.5.1
고스즈메 정수장이 여과지 위에 태양광 패널을 덮게 된 것은 정수장 직원의 아이디어였다.

고스즈메	고스즈메/NNP
정수장이	정수장/NNG+이/JKS
여과지	여과지/NNG
위에	위/NNG+에/JKB
태양광	태양광/NNG
패널을	패널/NNG+을/JKO
덮게	덮/VV+게/EC
