# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.367
metadata : {}


# id : NWRW1800000021.367.1.1
노총 “노조전임자 임금 금지법 OECD에 없다”

노총	노총/NNG
“노조전임자	“/SS+노조/NNG+전임자/NNG
임금	임금/NNG
금지법	금지법/NNG
OECD에	OECD/SL+에/JKB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000021.367.2.1
“법으로 노조전임자 임금 지급을 금지하는 나라는 한국밖에 없다.”(노동계)

“법으로	“/SS+법/NNG+으로/JKB
노조전임자	노조/NNG+전임자/NNG
임금	임금/NNG
지급을	지급/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
나라는	나라/NNG+는/JX
한국밖에	한국/NNP+밖에/JX
없다.”(노동계)	없/VA+다/EF+./SF+”/SS+(/SS+노동/NNG+계/XSN+)/SS


# id : NWRW1800000021.367.3.1
“외국에서는 전임자 활동에 대해서만 편의(비용 포함)를 제공하기 때문에 금지 규정 자체가 필요 없다.”(노동부)

“외국에서는	“/SS+외국/NNG+에서/JKB+는/JX
전임자	전임자/NNG
활동에	활동/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
편의(비용	편의/NNG+(/SS+비용/NNG
포함)를	포함/NNG+)/SS+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
금지	금지/NNG
규정	규정/NNG
자체가	자체/NNG+가/JKS
필요	필요/NNG
없다.”(노동부)	없/VA+다/EF+./SF+”/SS+(/SS+노동부/NNG+)/SS


# id : NWRW1800000021.367.4.1
한국노동조합총연맹(한국노총)과 전국민주노동조합총연맹(민주노총)은 이날 오후 서울 영등포구 여의도 CCMM빌딩에서 ‘노조전임자의 위상과 국제기준에 관한 국제세미나’를 공동개최했다.

한국노동조합총연맹(한국노총)과	한국노동조합총연맹/NNP+(/SS+한국노총/NNP+)/SS+과/JC
전국민주노동조합총연맹(민주노총)은	전국민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS+은/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
영등포구	영등포구/NNP
여의도	여의도/NNP
CCMM빌딩에서	CCMM/SL+빌딩/NNG+에서/JKB
‘노조전임자의	‘/SS+노조/NNG+전임자/NNG+의/JKG
위상과	위상/NNG+과/JC
국제기준에	국제/NNG+기준/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
국제세미나’를	국제/NNG+세미나/NNG+’/SS+를/JKO
공동개최했다.	공동/NNG+개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.367.5.1
○ 노동계 “노사 자율 사항”

○	○/SW
노동계	노동/NNG+계/XSN
“노사	“/SS+노사/NNG
자율	자율/NNG
사항”	사항/NNG+”/SS


# id : NWRW1800000021.367.6.1
양대 노총은 이 문제에 대해 현행 노동조합법에서 임금지급 금지 조항을 삭제하고 노사 자율로 결정할 것을 요구하고 있다.

양대	양대/MMA
노총은	노총/NNG+은/JX
이	이/MMD
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
현행	현행/NNG
노동조합법에서	노동조합법/NNG+에서/JKB
임금지급	임금/NNG+지급/NNG
금지	금지/NNG
조항을	조항/NNG+을/JKO
삭제하고	삭제/NNG+하/XSV+고/EC
노사	노사/NNG
자율로	자율/NNG+로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.367.7.1
김태현 민주노총 정책실장은 이날 세미나에서 “외국 어느 나라에도 법으로 전임자에 대한 임금지급을 금지하는 곳은 없다”며 “미국 영국 등 선진국들은 임금 지급문제를 노사 자율에 맡기고 있다”고 주장했다.

김태현	김태현/NNP
민주노총	민주노총/NNP
정책실장은	정책실장/NNG+은/JX
이날	이날/NNG
세미나에서	세미나/NNG+에서/JKB
“외국	“/SS+외국/NNG
어느	어느/MMD
나라에도	나라/NNG+에/JKB+도/JX
법으로	법/NNG+으로/JKB
전임자에	전임자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
임금지급을	임금/NNG+지급/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
곳은	곳/NNG+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“미국	“/SS+미국/NNP
영국	영국/NNP
등	등/NNB
선진국들은	선진국/NNG+들/XSN+은/JX
임금	임금/NNG
지급문제를	지급/NNG+문제/NNG+를/JKO
노사	노사/NNG
자율에	자율/NNG+에/JKB
맡기고	맡기/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.367.7.2
김종각 한국노총 정책본부장도 발제문에서 “국제노동기구(ILO)도 전임자 임금은 입법적 관여 대상이 아니라고 권고하고 있다”며 “경제협력개발기구(OECD) 국가 중 전임자 임금 지급을 입법으로 금지한 나라는 없다”고 밝혔다.

김종각	김종각/NNP
한국노총	한국노총/NNP
정책본부장도	정책/NNG+본부장/NNG+도/JX
발제문에서	발제문/NNG+에서/JKB
“국제노동기구(ILO)도	“/SS+국제노동기구/NNP+(/SS+ILO/SL+)/SS+도/JX
전임자	전임자/NNG
임금은	임금/NNG+은/JX
입법적	입법/NNG+적/XSN
관여	관여/NNG
대상이	대상/NNG+이/JKC
아니라고	아니/VCN+라고/EC
권고하고	권고/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“경제협력개발기구(OECD)	“/SS+경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
국가	국가/NNG
중	중/NNB
임금	임금/NNG
지급을	지급/NNG+을/JKO
입법으로	입법/NNG+으로/JKB
금지한	금지/NNG+하/XSV+ㄴ/ETM
나라는	나라/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.367.8.1
팀 드마이어 ILO 방콕사무소 노동기본권 담당자도 “전임자는 노사관계의 여러 측면에서 단체협상 이행 감시, 고충 처리 등 중요한 역할을 한다”며 “이런 기능을 수행하는 노조 간부는 직접 생산을 담당하지 않아도 생산성 향상에 기여하기 때문에 무노동 무임금 원칙은 쟁의행위에 대해서 적용돼야지, 노조 활동에 적용될 수 없다”고 밝혔다.

팀	팀/NNP
드마이어	드마이어/NNP
ILO	ILO/SL
방콕사무소	방콕/NNP+사무소/NNG
노동기본권	노동/NNG+기본/NNG+권/XSN
담당자도	담당자/NNG+도/JX
“전임자는	“/SS+전임자/NNG+는/JX
노사관계의	노사/NNG+관계/NNG+의/JKG
여러	여러/MMN
측면에서	측면/NNG+에서/JKB
단체협상	단체/NNG+협상/NNG
이행	이행/NNG
감시,	감시/NNG+,/SP
고충	고충/NNG
처리	처리/NNG
