# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.339
metadata : {}


# id : NWRW1800000040.339.1.1
[유레카] 베조스의 시간과 신문 / 구본권

[유레카]	[/SS+유레카/NNG+]/SS
베조스의	베조스/NNP+의/JKG
시간과	시간/NNG+과/JC
신문	신문/NNG
/	//SP
구본권	구본권/NNP


# id : NWRW1800000040.339.2.1
미국 텍사스 서부 산악 지역에서는 수년째 터널을 뚫고 대형 구조물을 만드는 공사가 진행중이다.

미국	미국/NNP
텍사스	텍사스/NNP
서부	서부/NNG
산악	산악/NNG
지역에서는	지역/NNG+에서/JKB+는/JX
수년째	수년/NNG+째/XSN
터널을	터널/NNG+을/JKO
뚫고	뚫/VV+고/EC
대형	대형/NNG
구조물을	구조물/NNG+을/JKO
만드는	만들/VV+는/ETM
공사가	공사/NNG+가/JKS
진행중이다.	진행/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.2.2
미국의 롱나우(Long Now)재단이 1996년 시작한 1만년 동안 멈추지 않는 시계를 만드는 공사다.

미국의	미국/NNP+의/JKG
롱나우(Long	롱나우/NNP+(/SS+Long/SL
Now)재단이	Now/SL+)/SS+재단/NNG+이/JKS
1996년	1996/SN+년/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
1만년	1/SN+만/NR+년/NNB
동안	동안/NNG
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
시계를	시계/NNG+를/JKO
만드는	만들/VV+는/ETM
공사다.	공사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.2.3
완공되면 ‘1만년 시계’는 1년, 10년, 100년, 1000년마다 다른 종소리를 내며 1만년 넘게 작동하게 된다.

완공되면	완공/NNG+되/XSV+면/EC
‘1만년	‘/SS+1/SN+만/NR+년/NNB
시계’는	시계/NNG+’/SS+는/JX
1년,	1/SN+년/NNB+,/SP
10년,	10/SN+년/NNB+,/SP
100년,	100/SN+년/NNB+,/SP
1000년마다	1000/SN+년/NNB+마다/JX
다른	다른/MMD
종소리를	종소리/NNG+를/JKO
내며	내/VV+며/EC
1만년	1/SN+만/NR+년/NNB
넘게	넘/VV+게/EC
작동하게	작동/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.339.2.4
다양한 파괴 시도와 노후, 고장에 대한 대비는 기본이다.

다양한	다양/NNG+하/XSA+ㄴ/ETM
파괴	파괴/NNG
시도와	시도/NNG+와/JC
노후,	노후/NNG+,/SP
고장에	고장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비는	대비/NNG+는/JX
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.2.5
시계를 찾은 방문객들은 삶의 유한성, 후대의 삶, 지속가능한 가치 등 장구한 시간이 던지는 숱한 상념을 만날 것이다.

시계를	시계/NNG+를/JKO
찾은	찾/VV+은/ETM
방문객들은	방문객/NNG+들/XSN+은/JX
삶의	삶/NNG+의/JKG
유한성,	유한/NNG+성/XSN+,/SP
후대의	후대/NNG+의/JKG
삶,	삶/NNG+,/SP
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
가치	가치/NNG
등	등/NNB
장구한	장구하/VA+ㄴ/ETM
시간이	시간/NNG+이/JKS
던지는	던지/VV+는/ETM
숱한	숱하/VA+ㄴ/ETM
상념을	상념/NNG+을/JKO
만날	만나/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.2.6
케빈 켈리 등 디지털문화 전문가들이 설립한 롱나우재단은 장기적 관점의 사유를 키우기 위해 첫 사업으로 1만년 시계를 선택했다.

케빈	케빈/NNP
켈리	켈리/NNP
등	등/NNB
디지털문화	디지털/NNG+문화/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
롱나우재단은	롱나우재단/NNP+은/JX
장기적	장기/NNG+적/XSN
관점의	관점/NNG+의/JKG
사유를	사유/NNG+를/JKO
키우기	키우/VV+기/ETN
위해	위하/VV+아/EC
첫	첫/MMN
사업으로	사업/NNG+으로/JKB
1만년	1/SN+만/NR+년/NNB
시계를	시계/NNG+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.339.3.1
최근 미국 <워싱턴 포스트> 신문을 인수한 아마존닷컴의 창업주 제프 베조스가 1만년 시계 제작에 470억원을 지원한 사실이 새삼 주목받고 있다.

최근	최근/MAG
미국	미국/NNP
<워싱턴	</SS+워싱턴/NNP
포스트>	포스트/NNG+>/SS
신문을	신문/NNG+을/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
아마존닷컴의	아마존닷컴/NNP+의/JKG
창업주	창업주/NNG
제프	제프/NNP
베조스가	베조스/NNP+가/JKS
1만년	1/SN+만/NR+년/NNB
시계	시계/NNG
제작에	제작/NNG+에/JKB
470억원을	470/SN+억/NR+원/NNB+을/JKO
지원한	지원/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
새삼	새삼/MAG
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.339.3.2
앞선 판단과 발 빠른 진입을 통한 선발 효과가 중시되는 정보기술 분야에서 베조스는 정반대의 투자로 유명하다.

앞선	앞서/VV+ㄴ/ETM
판단과	판단/NNG+과/JC
발	발/NNG
빠른	빠르/VA+ㄴ/ETM
진입을	진입/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
선발	선발/NNG
효과가	효과/NNG+가/JKS
중시되는	중시/NNG+되/XSV+는/ETM
정보기술	정보/NNG+기술/NNG
분야에서	분야/NNG+에서/JKB
베조스는	베조스/NNP+는/JX
정반대의	정반대/NNG+의/JKG
투자로	투자/NNG+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.339.3.3
디지털 시대에 온라인으로 기껏 종이책을 팔려 한다는 시장의 조롱을 받으며 아마존닷컴은 수년간 엄청난 규모의 적자에 시달렸다.

디지털	디지털/NNG
시대에	시대/NNG+에/JKB
온라인으로	온라인/NNG+으로/JKB
기껏	기껏/MAG
종이책을	종이책/NNG+을/JKO
팔려	팔/VV+려/EC
한다는	하/VX+ㄴ다는/ETM
시장의	시장/NNG+의/JKG
조롱을	조롱/NNG+을/JKO
받으며	받/VV+으며/EC
아마존닷컴은	아마존닷컴/NNP+은/JX
수년간	수년/NNG+간/XSN
엄청난	엄청나/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
적자에	적자/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.339.3.4
닷컴 거품이 꺼지면서 아마존닷컴의 장기적 전략은 빛을 발했다.

닷컴	닷컴/NNG
거품이	거품/NNG+이/JKS
꺼지면서	꺼지/VV+면서/EC
아마존닷컴의	아마존닷컴/NNP+의/JKG
장기적	장기/NNG+적/XSN
전략은	전략/NNG+은/JX
빛을	빛/NNG+을/JKO
발했다.	발하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.339.3.5
베조스는 전자책 판매를 위해 단말기 킨들을 출시하고, 아마존닷컴의 판매물품도 다양화했다.

베조스는	베조스/NNP+는/JX
전자책	전자책/NNG
판매를	판매/NNG+를/JKO
위해	위하/VV+아/EC
단말기	단말기/NNG
킨들을	킨들/NNP+을/JKO
출시하고,	출시/NNG+하/XSV+고/EC+,/SP
아마존닷컴의	아마존닷컴/NNP+의/JKG
판매물품도	판매/NNG+물품/NNG+도/JX
다양화했다.	다양/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.339.3.6
아마존닷컴의 사업 방식 자체가 ‘롱테일’이라는 신규 사업모델로 각광받았다.

아마존닷컴의	아마존닷컴/NNP+의/JKG
사업	사업/NNG
방식	방식/NNG
자체가	자체/NNG+가/JKS
‘롱테일’이라는	‘/SS+롱테일/NNG+’/SS+이/VCP+라는/ETM
신규	신규/NNG
사업모델로	사업/NNG+모델/NNG+로/JKB
각광받았다.	각광/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.339.4.1
베조스는 1997년 아마존닷컴 기업공개 때 투자자에게 발송한 편지를 지금도 매년 반복해 보내고 있다.

베조스는	베조스/NNP+는/JX
1997년	1997/SN+년/NNB
아마존닷컴	아마존닷컴/NNP
기업공개	기업/NNG+공개/NNG
때	때/NNG
투자자에게	투자자/NNG+에게/JKB
발송한	발송/NNG+하/XSV+ㄴ/ETM
편지를	편지/NNG+를/JKO
지금도	지금/NNG+도/JX
매년	매년/MAG
반복해	반복/NNG+하/XSV+아/EC
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.339.4.2
핵심 내용은 장기적 관점의 전략과 고객 우선이다.

핵심	핵심/NNG
내용은	내용/NNG+은/JX
장기적	장기/NNG+적/XSN
관점의	관점/NNG+의/JKG
전략과	전략/NNG+과/JC
고객	고객/NNG
우선이다.	우선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.4.3
지속가능한 가치를 발견하고 오랜 기간 확고한 투자를 통해, 경쟁자들이 넘보지 못할 사업을 만들어내는 구조다.

지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
가치를	가치/NNG+를/JKO
발견하고	발견/NNG+하/XSV+고/EC
오랜	오랜/MMA
기간	기간/NNG
확고한	확고하/VA+ㄴ/ETM
투자를	투자/NNG+를/JKO
통해,	통하/VV+아/EC+,/SP
경쟁자들이	경쟁자/NNG+들/XSN+이/JKS
넘보지	넘보/VV+지/EC
못할	못하/VX+ㄹ/ETM
사업을	사업/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
구조다.	구조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.4.4
막대한 규모의 투자와 소비자 신뢰가 필수적인 아마존 웹서비스도 클라우드 환경을 예견한 결과다.

막대한	막대하/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
투자와	투자/NNG+와/JC
소비자	소비자/NNG
신뢰가	신뢰/NNG+가/JKS
필수적인	필수/NNG+적/XSN+이/VCP+ㄴ/ETM
아마존	아마존/NNP
웹서비스도	웹/NNG+서비스/NNG+도/JX
클라우드	클라우드/NNG
환경을	환경/NNG+을/JKO
예견한	예견/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.339.4.5
종이책, 전자책으로 발을 넓혀오던 디지털 전략가가 장기적 관점을 강조하면서 신문사업에 뛰어들었다.

종이책,	종이책/NNG+,/SP
전자책으로	전자책/NNG+으로/JKB
발을	발/NNG+을/JKO
넓혀오던	넓히/VV+어/EC+오/VX+던/ETM
디지털	디지털/NNG
전략가가	전략가/NNG+가/JKS
장기적	장기/NNG+적/XSN
관점을	관점/NNG+을/JKO
강조하면서	강조/NNG+하/XSV+면서/EC
신문사업에	신문/NNG+사업/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.339.4.6
주목할 이유다.

주목할	주목/NNG+하/XSV+ㄹ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


