# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.373
metadata : {}


# id : NWRW1800000052.373.1.1
6개월동안 이마트서만 9만명 이상 가습기 살균제 구매

6개월동안	6/SN+개월/NNB+동안/NNG
이마트서만	이마트/NNP+서/JKB+만/JX
9만명	9/SN+만/NR+명/NNB
이상	이상/NNG
가습기	가습기/NNG
살균제	살균제/NNG
구매	구매/NNG


# id : NWRW1800000052.373.2.1
이훈 더민주 의원 기자회견

이훈	이훈/NNP
더민주	더민주/NNP
의원	의원/NNG
기자회견	기자/NNG+회견/NNG


# id : NWRW1800000052.373.3.1
피해 접수자 고작 4050명

피해	피해/NNG
접수자	접수자/NNG
고작	고작/MAG
4050명	4050/SN+명/NNB


# id : NWRW1800000052.373.4.1
롯데마트·홈플러스에도 자료 요청중

롯데마트·홈플러스에도	롯데마트/NNP+·/SP+홈플러스/NNP+에/JKB+도/JX
자료	자료/NNG
요청중	요청/NNG+중/NNB


# id : NWRW1800000052.373.5.1
“전체 피해 규모 가늠 안돼”

“전체	“/SS+전체/NNG
피해	피해/NNG
규모	규모/NNG
가늠	가늠/NNG
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000052.373.6.1
2010년 10월부터 6개월 동안 전국 이마트 144개 지점에서 가습기 살균제 13만1238개가 9만1466명에게 팔려나간 것으로 확인됐다.

2010년	2010/SN+년/NNB
10월부터	10/SN+월/NNB+부터/JX
6개월	6/SN+개월/NNB
동안	동안/NNG
전국	전국/NNG
이마트	이마트/NNP
144개	144/SN+개/NNB
지점에서	지점/NNG+에서/JKB
가습기	가습기/NNG
살균제	살균제/NNG
13만1238개가	13/SN+만/NR+1238/SN+개/NNB+가/JKS
9만1466명에게	9/SN+만/NR+1466/SN+명/NNB+에게/JKB
팔려나간	팔리/VV+어/EC+나가/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.373.6.2
폐손상 유발 제품을 산 사람이 7만6081명, 인과관계 조사 중인 제품 구매자가 1만5385명이다.

폐손상	폐/NNG+손상/NNG
유발	유발/NNG
제품을	제품/NNG+을/JKO
산	사/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
7만6081명,	7/SN+만/NR+6081/SN+명/NNB+,/SP
인과관계	인과/NNG+관계/NNG
조사	조사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
제품	제품/NNG
구매자가	구매자/NNG+가/JKS
1만5385명이다.	1/SN+만/NR+5385/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.373.6.3
지난 7월까지 정부가 접수 받은 피해자는 4050명에 불과하다.

지난	지나/VV+ㄴ/ETM
7월까지	7/SN+월/NNB+까지/JX
정부가	정부/NNG+가/JKS
접수	접수/NNG
받은	받/VV+은/ETM
피해자는	피해자/NNG+는/JX
4050명에	4050/SN+명/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000052.373.7.1
국회 ‘가습기살균제 국정조사특별위원회’ 소속 이훈 더불어민주당 의원은 21일 국회 정론관에서 기자회견을 열고 “가습기 살균제 피해를 확인했던 2011년, 정부가 대형마트 등을 상대로 구매내역을 조사했다면 더 많은 피해자를 확인할 수 있었다”며 이렇게 말했다.

국회	국회/NNG
‘가습기살균제	‘/SS+가습기/NNG+살균제/NNG
국정조사특별위원회’	국정/NNG+조사/NNG+특별/NNG+위원회/NNG+’/SS
소속	소속/NNG
이훈	이훈/NNP
더불어민주당	더불어민주당/NNP
의원은	의원/NNG+은/JX
21일	21/SN+일/NNB
정론관에서	정론관/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
“가습기	“/SS+가습기/NNG
살균제	살균제/NNG
피해를	피해/NNG+를/JKO
확인했던	확인/NNG+하/XSV+았/EP+던/ETM
2011년,	2011/SN+년/NNB+,/SP
정부가	정부/NNG+가/JKS
대형마트	대형/NNG+마트/NNG
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
구매내역을	구매/NNG+내역/NNG+을/JKO
조사했다면	조사/NNG+하/XSV+았/EP+다면/EC
더	더/MAG
많은	많/VA+은/ETM
피해자를	피해자/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.373.7.2
대형마트는 구매 이력을 6년 정도만 보관하는 것으로 알려졌다.

대형마트는	대형/NNG+마트/NNG+는/JX
구매	구매/NNG
이력을	이력/NNG+을/JKO
6년	6/SN+년/NNB
정도만	정도/NNG+만/JX
보관하는	보관/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.373.8.1
이 의원은 “대형마트 구매 내역이 워낙 방대해 우선 이마트를 상대로 특정 기간의 내역만 조사했는데도 구매자가 9만명이 넘었다.

이	이/NNP
의원은	의원/NNG+은/JX
“대형마트	“/SS+대형/NNG+마트/NNG
구매	구매/NNG
