# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.223
metadata : {}


# id : NWRW1800000052.223.1.1
신임 대법관 또 ‘그 나물에 그 밥’ 되나

신임	신임/NNG
대법관	대/XPN+법관/NNG
또	또/MAG
‘그	‘/SS+그/MMD
나물에	나물/NNG+에/JKB
그	그/MMD
밥’	밥/NNG+’/SS
되나	되/VV+나/EF


# id : NWRW1800000052.223.2.1
9월 퇴임 이인복 대법관 후임 후보자 34명 확정

9월	9/SN+월/NNB
퇴임	퇴임/NNG
이인복	이인복/NNP
대법관	대/XPN+법관/NNG
후임	후임/NNG
후보자	후보자/NNG
34명	34/SN+명/NNB
확정	확정/NNG


# id : NWRW1800000052.223.3.1
서울대·50대·보수 성향 압도적

서울대·50대·보수	서울대/NNP+·/SP+50/SN+대/NNB+·/SP+보수/NNG
성향	성향/NNG
압도적	압도/NNG+적/XSN


# id : NWRW1800000052.223.4.1
오는 9월 퇴임하는 이인복 대법관의 후임 대법관 후보로 천거된 34명의 법조인 대다수가 보수 성향의 서울대 법대 출신 50대 남성인 것으로 나타났다.

오는	오/VV+는/ETM
9월	9/SN+월/NNB
퇴임하는	퇴임/NNG+하/XSV+는/ETM
이인복	이인복/NNP
대법관의	대/XPN+법관/NNG+의/JKG
후임	후임/NNG
대법관	대/XPN+법관/NNG
후보로	후보/NNG+로/JKB
천거된	천거/NNG+되/XSV+ㄴ/ETM
34명의	34/SN+명/NNB+의/JKG
법조인	법조인/NNG
대다수가	대/XPN+다수/NNG+가/JKS
보수	보수/NNG
성향의	성향/NNG+의/JKG
서울대	서울대/NNP
법대	법대/NNG
출신	출신/NNG
50대	50/SN+대/NNB
남성인	남성/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.223.4.2
진보?중도 성향으로 분류될 만한 후보는 2~3명에 불과했다.

진보?중도	진보/NNG+?/SF+중도/NNG
성향으로	성향/NNG+으로/JKB
분류될	분류/NNG+되/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
후보는	후보/NNG+는/JX
2~3명에	2/SN+~/SO+3/SN+명/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000052.223.4.3
현재 대법원은 이상훈 대법관을 제외한 13명의 대법관들이 모두 보수로 분류돼 ‘대법원 구성 다양화’를 위해서는 진보 성향의 대법관이 필요하다는 지적이 나오고 있다.

현재	현재/MAG
대법원은	대/XPN+법원/NNG+은/JX
이상훈	이상훈/NNP
대법관을	대/XPN+법관/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
13명의	13/SN+명/NNB+의/JKG
대법관들이	대/XPN+법관/NNG+들/XSN+이/JKS
모두	모두/MAG
보수로	보수/NNG+로/JKB
분류돼	분류/NNG+되/XSV+어/EC
‘대법원	‘/SS+대/XPN+법원/NNG
구성	구성/NNG
다양화’를	다양/NNG+화/XSN+’/SS+를/JKO
위해서는	위하/VV+아서/EC+는/JX
진보	진보/NNG
성향의	성향/NNG+의/JKG
대법관이	대/XPN+법관/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.223.5.1
24일 대법원이 발표한 후임 대법관 피천거인 심사동의자 34명의 명단을 보면, 서울대 법대 출신이 24명으로 전체의 70.6%였다.

24일	24/SN+일/NNB
대법원이	대/XPN+법원/NNG+이/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
후임	후임/NNG
대법관	대/XPN+법관/NNG
피천거인	피/XPN+천거인/NNG
심사동의자	심사/NNG+동의자/NNG
34명의	34/SN+명/NNB+의/JKG
명단을	명단/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
서울대	서울대/NNP
법대	법대/NNG
출신이	출신/NNG+이/JKS
24명으로	24/SN+명/NNB+으로/JKB
전체의	전체/NNG+의/JKG
70.6%였다.	70/SN+./SP+6/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.223.5.2
평균연령은 56.4살, 평균 재산은 약 24억원이었다.

평균연령은	평균/NNG+연령/NNG+은/JX
56.4살,	56/SN+./SP+4/SN+살/NNB+,/SP
평균	평균/NNG
재산은	재산/NNG+은/JX
약	약/MMA
24억원이었다.	24/SN+억/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.223.5.3
여성은 이은애(50) 서울고법 부장판사 1명뿐이었다.

여성은	여성/NNG+은/JX
이은애(50)	이은애/NNP+(/SS+50/SN+)/SS
서울고법	서울고법/NNP
부장판사	부장/NNG+판사/NNG
1명뿐이었다.	1/SN+명/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.223.5.4
직군별로는 법관 26명, 변호사 4명, 교수 4명이다.

직군별로는	직군/NNG+별/XSN+로/JKB+는/JX
법관	법관/NNG
26명,	26/SN+명/NNB+,/SP
변호사	변호사/NNG
4명,	4/SN+명/NNB+,/SP
교수	교수/NNG
4명이다.	4/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.223.6.1
이념적으로는 보수 성향이 압도적이다.

이념적으로는	이념/NNG+적/XSN+으로/JKB+는/JX
보수	보수/NNG
성향이	성향/NNG+이/JKS
압도적이다.	압도/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.223.6.2
교육부 사학분쟁조정위원으로 활동하면서 비리 사학재단 일가에 복귀의 길을 터준 강민구(57) 부산지법원장과 이마트 등 대형마트의 영업시간 제한 조례가 위법하다는 판결을 내려 논란을 일으킨 장석조(55) 전주지방법원장 등 법원의 보수화를 주도한 고위법관 출신들이 많다.

교육부	교육부/NNG
사학분쟁조정위원으로	사학/NNG+분쟁/NNG+조정/NNG+위원/NNG+으로/JKB
활동하면서	활동/NNG+하/XSV+면서/EC
비리	비리/NNG
사학재단	사학/NNG+재단/NNG
일가에	일가/NNG+에/JKB
복귀의	복귀/NNG+의/JKG
길을	길/NNG+을/JKO
터준	터주/VV+ㄴ/ETM
강민구(57)	강민구/NNP+(/SS+57/SN+)/SS
부산지법원장과	부산지법원장/NNG+과/JC
이마트	이마트/NNP
등	등/NNB
대형마트의	대형/NNG+마트/NNG+의/JKG
영업시간	영업시간/NNG
제한	제한/NNG
조례가	조례/NNG+가/JKS
위법하다는	위법/NNG+하/XSV+다는/ETM
판결을	판결/NNG+을/JKO
내려	내리/VV+어/EC
논란을	논란/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
장석조(55)	장석조/NNP+(/SS+55/SN+)/SS
전주지방법원장	전주지방법원장/NNG
법원의	법원/NNG+의/JKG
보수화를	보수/NNG+화/XSN+를/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
고위법관	고위/NNG+법관/NNG
출신들이	출신/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000052.223.7.1
중도, 진보 성향의 후보는 극소수다.

중도,	중도/NNG+,/SP
진보	진보/NNG
성향의	성향/NNG+의/JKG
후보는	후보/NNG+는/JX
극소수다.	극소수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.223.7.2
김선수(55) 변호사는 '민주사회를 위한변호사모임(민변)' 회장 출신의 노동법 전문가다.

김선수(55)	김선수/NNP+(/SS+55/SN+)/SS
변호사는	변호사/NNG+는/JX
'민주사회를	'/SS+민주/NNG+사회/NNG+를/JKO
위한변호사모임(민변)'	위하/VV+ㄴ/ETM+변호사/NNG+모임/NNG+(/SS+민변/NNP+)/SS+'/SS
회장	회장/NNG
출신의	출신/NNG+의/JKG
노동법	노동법/NNG
전문가다.	전문가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.223.7.3
지난해 민일영 대법관 후임 인선 때도 추천됐으나, 헌법재판소 정당해산 재판의 통합진보당 쪽 변호인을 맡았던 일로 후보에 오르지 못했다.

지난해	지난해/NNG
민일영	민일영/NNP
대법관	대/XPN+법관/NNG
후임	후임/NNG
인선	인선/NNG
때도	때/NNG+도/JX
추천됐으나,	추천/NNG+되/XSV+었/EP+으나/EC+,/SP
헌법재판소	헌법/NNG+재판소/NNG
정당해산	정당/NNG+해산/NNG
재판의	재판/NNG+의/JKG
통합진보당	통합진보당/NNP
쪽	쪽/NNB
변호인을	변호인/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
일로	일/NNG+로/JKB
후보에	후보/NNG+에/JKB
오르지	오르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.223.7.4
김명수(56) 춘천지방법원장은 지난해 11월 전교조의 청구를 받아들여 법외노조 효력을 정지시키는 결정을 내렸다.

김명수(56)	김명수/NNP+(/SS+56/SN+)/SS
춘천지방법원장은	춘천지방법원장/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
전교조의	전교조/NNP+의/JKG
청구를	청구/NNG+를/JKO
받아들여	받아들이/VV+어/EC
법외노조	법외/NNG+노조/NNG
효력을	효력/NNG+을/JKO
정지시키는	정지/NNG+시키/XSV+는/ETM
결정을	결정/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.223.8.1
학자 출신 가운데는 김재형(51) 서울대 법학전문대학원 교수가 눈에 띈다.

학자	학자/NNG
출신	출신/NNG
가운데는	가운데/NNG+는/JX
김재형(51)	김재형/NNP+(/SS+51/SN+)/SS
서울대	서울대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수가	교수/NNG+가/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.223.8.2
민법 전문가로 알려진 그는 소수자와 사회적 약자의 권리 보호에 관심이 많은 것으로 알려져 있다.

민법	민법/NNG
전문가로	전문가/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
그는	그/NP+는/JX
소수자와	소수자/NNG+와/JC
사회적	사회/NNG+적/XSN
약자의	약자/NNG+의/JKG
권리	권리/NNG
보호에	보호/NNG+에/JKB
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.223.8.3
서울대 법대 교수 출신의 양창수 대법관이 2014년 퇴임한 뒤론 학자 출신 대법관이 나오지 않고 있다.

서울대	서울대/NNP
법대	법대/NNG
교수	교수/NNG
출신의	출신/NNG+의/JKG
양창수	양창수/NNP
대법관이	대/XPN+법관/NNG+이/JKS
2014년	2014/SN+년/NNB
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
뒤론	뒤/NNG+로/JKB+ㄴ/JX
학자	학자/NNG
출신	출신/NNG
나오지	나오/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.223.9.1
대법관 후보추천위원회는 27일부터 7월6일까지 이들 피천거인들에 대한 의견을 수렴한 뒤 3명의 후보자를 대법원장에게 추천하게 된다.

대법관	대/XPN+법관/NNG
후보추천위원회는	후보/NNG+추천/NNG+위원회/NNG+는/JX
27일부터	27/SN+일/NNB+부터/JX
7월6일까지	7/SN+월/NNB+6/SN+일/NNB+까지/JX
이들	이/NP+들/XSN
피천거인들에	피/XPN+천거인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴한	수렴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
3명의	3/SN+명/NNB+의/JKG
후보자를	후보자/NNG+를/JKO
대법원장에게	대법원장/NNG+에게/JKB
추천하게	추천/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.223.9.2
대법원장이 이 중 1명을 임명제청하면 국회 동의절차를 거쳐 대통령이 임명하게 된다.

대법원장이	대법원장/NNG+이/JKS
이	이/MMD
중	중/NNB
1명을	1/SN+명/NNB+을/JKO
임명제청하면	임명/NNG+제청/NNG+하/XSV+면/EC
국회	국회/NNG
동의절차를	동의/NNG+절차/NNG+를/JKO
거쳐	거치/VV+어/EC
대통령이	대통령/NNG+이/JKS
임명하게	임명/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


