# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.119
metadata : {}


# id : NWRW1800000026.119.1.1
"김수환 추기경 나눔 정신 잇자";'바보의 나눔' 창립식

"김수환	"/SS+김수환/NNP
추기경	추기경/NNG
나눔	나누/VV+ㅁ/ETN
정신	정신/NNG
잇자";'바보의	잇/VV+자/EF+"/SS+;/SW+'/SS+바보/NNG+의/JKG
나눔'	나누/VV+ㅁ/ETN+'/SS
창립식	창립식/NNG


# id : NWRW1800000026.119.2.1
지난해 2월 선종(善終)한 고(故) 김수환 추기경의 나눔 정신을 이을 재단법인 '바보의 나눔' 창립식이 7일 오후 2시 서울 명동성당 꼬스트홀에서 열렸다.

지난해	지난해/NNG
2월	2/SN+월/NNB
선종(善終)한	선종/NNG+(/SS+善終/SH+)/SS+하/VV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
김수환	김수환/NNP
추기경의	추기경/NNG+의/JKG
나눔	나누/VV+ㅁ/ETN
정신을	정신/NNG+을/JKO
이을	잇/VV+을/ETM
재단법인	재단/NNG+법인/NNG
'바보의	'/SS+바보/NNG+의/JKG
나눔'	나누/VV+ㅁ/ETN+'/SS
창립식이	창립식/NNG+이/JKS
7일	7/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울	서울/NNP
명동성당	명동성당/NNP
꼬스트홀에서	꼬스트홀/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.119.2.2
<사진>

<사진>	</SS+사진/NNG+>/SS


# id : NWRW1800000026.119.3.1
창립식에는 천주교 서울대교구장 정진석 추기경과 '바보의 나눔' 재단 이사장인 염수정 주교, 한승수 전 국무총리, 정몽준 한나라당 대표, 정세균 민주당 대표, 노회찬 진보신당 대표, 정정길 대통령실장 등 500여명이 참석했다.

창립식에는	창립식/NNG+에/JKB+는/JX
천주교	천주교/NNG
서울대교구장	서울/NNP+대교구장/NNG
정진석	정진석/NNP
추기경과	추기경/NNG+과/JC
'바보의	'/SS+바보/NNG+의/JKG
나눔'	나누/VV+ㅁ/ETN+'/SS
재단	재단/NNG
이사장인	이사장/NNG+이/VCP+ㄴ/ETM
염수정	염수정/NNP
주교,	주교/NNG+,/SP
한승수	한승수/NNP
전	전/MMD
국무총리,	국무총리/NNG+,/SP
정몽준	정몽준/NNP
한나라당	한나라당/NNP
대표,	대표/NNG+,/SP
정세균	정세균/NNP
민주당	민주당/NNP
노회찬	노회찬/NNP
진보신당	진보신당/NNP
정정길	정정길/NNP
대통령실장	대통령실장/NNG
등	등/NNB
500여명이	500/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.119.4.1
이 자리에서는 김연아(스텔라) 선수에 대한 홍보대사 임명장 수여도 있었다.

이	이/MMD
자리에서는	자리/NNG+에서/JKB+는/JX
김연아(스텔라)	김연아/NNP+(/SS+스텔라/NNP+)/SS
선수에	선수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
홍보대사	홍보/NNG+대사/NNG
임명장	임명장/NNG
수여도	수여/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000026.119.4.2
재단 이사장 염수정 주교는 "재단법인 '바보의 나눔'은 이 시대를 살아가는 모든 이들을 나눔의 현장으로 초대하고자 한다"고 말했다.

재단	재단/NNG
이사장	이사장/NNG
염수정	염수정/NNP
주교는	주교/NNG+는/JX
"재단법인	"/SS+재단/NNG+법인/NNG
'바보의	'/SS+바보/NNG+의/JKG
나눔'은	나누/VV+ㅁ/ETN+'/SS+은/JX
이	이/MMD
시대를	시대/NNG+를/JKO
살아가는	살아가/VV+는/ETM
모든	모든/MMN
이들을	이/NNB+들/XSN+을/JKO
나눔의	나누/VV+ㅁ/ETN+의/JKG
현장으로	현장/NNG+으로/JKB
초대하고자	초대/NNG+하/XSV+고자/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.119.5.1
정진석 추기경은 "우리에게 나눔은 더 이상 선택이 아니라 당위이자 의무"라며 "자신이 가진 것을 사랑으로 기꺼이 나누는 바보들이 더 많아질 때 이 세상은 사랑이 흘러넘치는 더 행복한 사회가 될 것"이라고 말했다.

정진석	정진석/NNP
추기경은	추기경/NNG+은/JX
"우리에게	"/SS+우리/NP+에게/JKB
나눔은	나누/VV+ㅁ/ETN+은/JX
더	더/MAG
이상	이상/NNG
선택이	선택/NNG+이/JKC
아니라	아니/VCN+라/EC
당위이자	당위/NNG+이/VCP+자/EC
의무"라며	의무/NNG+"/SS+이/VCP+라며/EC
"자신이	"/SS+자신/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
것을	것/NNB+을/JKO
사랑으로	사랑/NNG+으로/JKB
기꺼이	기꺼이/MAG
나누는	나누/VV+는/ETM
바보들이	바보/NNG+들/XSN+이/JKS
많아질	많아지/VV+ㄹ/ETM
때	때/NNG
이	이/MMD
세상은	세상/NNG+은/JX
사랑이	사랑/NNG+이/JKS
흘러넘치는	흘러넘치/VV+는/ETM
행복한	행복/NNG+하/XSA+ㄴ/ETM
사회가	사회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


