# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.50
metadata : {}


# id : NWRW1800000022.50.1.1
[도서]리얼 아틀라스 리얼 월드

[도서]리얼	[/SS+도서/NNG+]/SS+리얼/NNP
아틀라스	아틀라스/NNP
리얼	리얼/NNP
월드	월드/NNP


# id : NWRW1800000022.50.2.1
◆다니엘 돌링 외 지음|김화경 옮김|디자인하우스|400쪽|5만원

◆다니엘	◆/SW+다니엘/NNP
돌링	돌링/NNP
외	외/NNB
지음|김화경	짓/VV+음/ETN+|/SW+김화경/NNP
옮김|디자인하우스|400쪽|5만원	옮기/VV+ㅁ/ETN+|/SW+디자인하우스/NNP+|/SW+400/SN+쪽/NNG+|/SW+5/SN+만/NR+원/NNB


# id : NWRW1800000022.50.3.1
지금까지 못 보던 형태의 책이 나왔다.

지금까지	지금/NNG+까지/JX
못	못/MAG
보던	보/VV+던/ETM
형태의	형태/NNG+의/JKG
책이	책/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.50.3.2
지도(아틀라스)와 통계 또는 도표가 맞물린 책은 적잖이 출간돼 왔다.

지도(아틀라스)와	지도/NNG+(/SS+아틀라스/NNP+)/SS+와/JC
통계	통계/NNG
또는	또는/MAG
도표가	도표/NNG+가/JKS
맞물린	맞물리/VV+ㄴ/ETM
책은	책/NNG+은/JX
적잖이	적잖이/MAG
출간돼	출간/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.50.3.3
이 책의 독특함은 '지도'에 있다.

이	이/MMD
책의	책/NNG+의/JKG
독특함은	독특/NNG+하/XSA+ㅁ/ETN+은/JX
'지도'에	'/SS+지도/NNG+'/SS+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.50.3.4
일반적인 세계 지도는 땅덩어리의 크기·모양을 있는 그대로 보여주는 것을 목표로 한다.

