# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.346
metadata : {}


# id : NWRW1800000030.346.1.1
손학규, 모든 일정 취소하고 집에만

손학규,	손학규/NNP+,/SP
모든	모든/MMN
일정	일정/NNG
취소하고	취소/NNG+하/XSV+고/EC
집에만	집/NNG+에/JKB+만/JX


# id : NWRW1800000030.346.2.1
•FTA 못 막았다고 비난받고 야권 통합도 승인 못 받아

•FTA	•/SW+FTA/SL
못	못/MAG
막았다고	막/VV+았/EP+다고/EC
비난받고	비난/NNG+받/XSV+고/EC
야권	야권/NNG
통합도	통합/NNG+도/JX
승인	승인/NNG
받아	받/VV+아/EF


# id : NWRW1800000030.346.3.1
손학규 민주당 대표가 24일 사전에 잡혀 있던 일정들을 모두 취소한 채 경기도 분당 자택에서 두문불출했다.

손학규	손학규/NNP
민주당	민주당/NNP
대표가	대표/NNG+가/JKS
24일	24/SN+일/NNB
사전에	사전/NNG+에/JKB
잡혀	잡히/VV+어/EC
있던	있/VX+던/ETM
일정들을	일정/NNG+들/XSN+을/JKO
모두	모두/MAG
취소한	취소/NNG+하/XSV+ㄴ/ETM
채	채/NNB
경기도	경기도/NNP
분당	분당/NNP
자택에서	자택/NNG+에서/JKB
두문불출했다.	두문불출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.346.3.2
작년 10월 당 대표가 되고 난 후 처음 있는 일이다.

작년	작년/NNG
10월	10/SN+월/NNB
당	당/NNG
대표가	대표/NNG+가/JKC
되고	되/VV+고/EC
난	나/VX+ㄴ/ETM
후	후/NNG
처음	처음/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.346.3.3
손 대표는 전날 당 중앙위원회에서 야권 통합을 승인받으려다 실패했고, 전전날에는 한나라당의 한·미 FTA 단독처리를 막지 못했다는 비판을 들었다.

손	손/NNP
대표는	대표/NNG+는/JX
전날	전날/NNG
당	당/NNG
중앙위원회에서	중앙/NNG+위원회/NNG+에서/JKB
야권	야권/NNG
통합을	통합/NNG+을/JKO
승인받으려다	승인/NNG+받/XSV+으려다/EC
실패했고,	실패/NNG+하/XSV+았/EP+고/EC+,/SP
전전날에는	전전날/NNG+에/JKB+는/JX
