# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.201
metadata : {}


# id : NWRW1800000054.201.1.1
빈곤층 1년새 27만명 줄어

빈곤층	빈곤/NNG+층/XSN
1년새	1/SN+년/NNB+새/NNG
27만명	27/SN+만/NR+명/NNB
줄어	줄/VV+어/EF


# id : NWRW1800000054.201.2.1
복지부 기초생활보장 조사 "기초연금·맞춤형급여 효과"

복지부	복지부/NNG
기초생활보장	기초/NNG+생활/NNG+보장/NNG
조사	조사/NNG
"기초연금·맞춤형급여	"/SS+기초/NNG+연금/NNG+·/SP+맞춤/NNG+형/XSN+급여/NNG
효과"	효과/NNG+"/SS


# id : NWRW1800000054.201.3.1
기초연금, 기초생활보장제도 맞춤형 급여가 도입되면서 우리나라 빈곤층이 27만명 줄어든 것으로 나타났다.

기초연금,	기초/NNG+연금/NNG+,/SP
기초생활보장제도	기초/NNG+생활/NNG+보장/NNG+제도/NNG
맞춤형	맞춤/NNG+형/XSN
급여가	급여/NNG+가/JKS
도입되면서	도입/NNG+되/XSV+면서/EC
우리나라	우리나라/NNG
빈곤층이	빈곤/NNG+층/XSN+이/JKS
27만명	27/SN+만/NR+명/NNB
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.201.4.1
보건복지부는 31일 공개한 기초생활보장제도 실태조사 결과에 따르면, 중위소득 50% 이하 빈곤층이 2014년 336만명에서 2015년 309만명으로 27만명 줄어들었다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
31일	31/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
기초생활보장제도	기초/NNG+생활/NNG+보장/NNG+제도/NNG
실태조사	실태/NNG+조사/NNG
결과에	결과/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
중위소득	중위/NNG+소득/NNG
50%	50/SN+%/SW
이하	이하/NNG
빈곤층이	빈곤/NNG+층/XSN+이/JKS
2014년	2014/SN+년/NNB
336만명에서	336/SN+만/NR+명/NNB+에서/JKB
2015년	2015/SN+년/NNB
309만명으로	309/SN+만/NR+명/NNB+으로/JKB
27만명	27/SN+만/NR+명/NNB
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.201.4.2
빈곤층은 2006년 323만명, 2010년 340만명 등으로 늘어나다 2014년 336만명으로 감소세로 돌아섰고 2015년 309만명으로 크게 줄었다.

빈곤층은	빈곤/NNG+층/XSN+은/JX
2006년	2006/SN+년/NNB
323만명,	323/SN+만/NR+명/NNB+,/SP
2010년	2010/SN+년/NNB
340만명	340/SN+만/NR+명/NNB
등으로	등/NNB+으로/JKB
늘어나다	늘어나/VV+다/EC
2014년	2014/SN+년/NNB
336만명으로	336/SN+만/NR+명/NNB+으로/JKB
감소세로	감소세/NNG+로/JKB
돌아섰고	돌아서/VV+었/EP+고/EC
2015년	2015/SN+년/NNB
309만명으로	309/SN+만/NR+명/NNB+으로/JKB
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.201.5.1
특히 소득 수준은 기초수급 대상자에 해당하지만, 부양의무자 기준 등으로 정작 수급을 받지 못하는 '비수급 빈곤층'이 2014년 118만명에서 2015년 93만명으로 25만명 줄었다.

특히	특히/MAG
소득	소득/NNG
수준은	수준/NNG+은/JX
기초수급	기초/NNG+수급/NNG
대상자에	대상자/NNG+에/JKB
해당하지만,	해당/NNG+하/XSV+지만/EC+,/SP
부양의무자	부양/NNG+의무자/NNG
기준	기준/NNG
등으로	등/NNB+으로/JKB
정작	정작/MAG
수급을	수급/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
'비수급	'/SS+비/XPN+수급/NNG
빈곤층'이	빈곤/NNG+층/XSN+'/SS+이/JKS
2014년	2014/SN+년/NNB
118만명에서	118/SN+만/NR+명/NNB+에서/JKB
2015년	2015/SN+년/NNB
93만명으로	93/SN+만/NR+명/NNB+으로/JKB
25만명	25/SN+만/NR+명/NNB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.201.6.1
조사에 참여한 김태완 보건사회연구원 연구위원은 "2014년 7월 도입한 기초연금, 2015년 7월 도입한 맞춤형 급여의 효과로 복지 사각지대에 처한 빈곤층이 많이 줄어든 것으로 보인다"고 말했다.

조사에	조사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
김태완	김태완/NNP
보건사회연구원	보건/NNG+사회/NNG+연구원/NNG
연구위원은	연구/NNG+위원/NNG+은/JX
"2014년	"/SS+2014/SN+년/NNB
7월	7/SN+월/NNB
도입한	도입/NNG+하/XSV+ㄴ/ETM
기초연금,	기초/NNG+연금/NNG+,/SP
2015년	2015/SN+년/NNB
맞춤형	맞춤/NNG+형/XSN
급여의	급여/NNG+의/JKG
효과로	효과/NNG+로/JKB
복지	복지/NNG
사각지대에	사각지대/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
빈곤층이	빈곤/NNG+층/XSN+이/JKS
많이	많이/MAG
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.201.6.2
맞춤형 급여에 따라 대상자를 확대하면서 수급자 수는 2014년 133만명에서 2015년 165만명으로 32만명 늘어났다.

맞춤형	맞춤/NNG+형/XSN
급여에	급여/NNG+에/JKB
따라	따르/VV+아/EC
대상자를	대상자/NNG+를/JKO
확대하면서	확대/NNG+하/XSV+면서/EC
수급자	수급자/NNG
수는	수/NNG+는/JX
2014년	2014/SN+년/NNB
133만명에서	133/SN+만/NR+명/NNB+에서/JKB
2015년	2015/SN+년/NNB
165만명으로	165/SN+만/NR+명/NNB+으로/JKB
32만명	32/SN+만/NR+명/NNB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.201.7.1
복지부는 이날 중앙생활보장위원회를 열고 2018년 중위소득을 4인 가구 기준 451만9000원으로 정했다.

복지부는	복지부/NNG+는/JX
이날	이날/NNG
중앙생활보장위원회를	중앙/NNG+생활/NNG+보장/NNG+위원회/NNG+를/JKO
열고	열/VV+고/EC
2018년	2018/SN+년/NNB
중위소득을	중위/NNG+소득/NNG+을/JKO
4인	4/SN+인/NNG
가구	가구/NNG
기준	기준/NNG
451만9000원으로	451/SN+만/NR+9000/SN+원/NNB+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.201.7.2
2017년 446만7000원보다 5만2000원(1.16%) 인상됐다.

2017년	2017/SN+년/NNB
446만7000원보다	446/SN+만/NR+7000/SN+원/NNB+보다/JKB
5만2000원(1.16%)	5/SN+만/NR+2000/SN+원/NNB+(/SS+1/SN+./SP+16/SN+%/SW+)/SS
인상됐다.	인상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.201.8.1
