# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.321
metadata : {}


# id : NWRW1800000033.321.1.1
“北로켓, 2009년 쏜 것과 제원 같아… 3단 추진체 성능 높인듯”

“北로켓,	“/SS+北/SH+로켓/NNG+,/SP
2009년	2009/SN+년/NNB
쏜	쏘/VV+ㄴ/ETM
것과	것/NNB+과/JKB
제원	제원/NNG
같아…	같/VA+아/EF+…/SE
3단	3/SN+단/NNG
추진체	추진체/NNG
성능	성능/NNG
높인듯”	높이/VV+ㄴ/ETM+듯/NNB+”/SS


# id : NWRW1800000033.321.2.1
■ ‘광명성 3호’ 실어 쏜다는 장거리로켓, 전문가들 분석은

■	■/SW
‘광명성	‘/SS+광명성/NNP
3호’	3/SN+호/NNB+’/SS
실어	싣/VV+어/EC
쏜다는	쏘/VV+ㄴ다는/ETM
장거리로켓,	장거리/NNG+로켓/NNG+,/SP
전문가들	전문가/NNG+들/XSN
분석은	분석/NNG+은/JX


# id : NWRW1800000033.321.3.1
북한이 최근 평안북도 철산군 동창리 기지에서 외신 기자들에게 공개한 장거리로켓은 2009년 4월 함경북도 무수단리 기지에서 쏴 올린 장거리로켓과 외관상 거의 차이가 없는 것으로 나타났다.

북한이	북한/NNP+이/JKS
최근	최근/MAG
평안북도	평안북도/NNP
철산군	철산군/NNP
동창리	동창리/NNP
기지에서	기지/NNG+에서/JKB
외신	외신/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
장거리로켓은	장거리/NNG+로켓/NNG+은/JX
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
함경북도	함경북도/NNP
무수단리	무수단리/NNP
쏴	쏘/VV+아/EC
올린	올리/VV+ㄴ/ETM
장거리로켓과	장거리/NNG+로켓/NNG+과/JKB
외관상	외관/NNG+상/XSN
거의	거의/MAG
차이가	차이/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.321.4.1
개량형 노동미사일 4개를 결합한 1단 추진체와 독자적으로 개량한 노동미사일을 활용한 2단 추진체, 그 위에 실용위성을 탑재한다고 주장하는 3단 추진체까지 전형적인 3단 로켓의 외양이었다.

개량형	개량/NNG+형/XSN
노동미사일	노동/NNG+미사일/NNG
4개를	4/SN+개/NNB+를/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
1단	1/SN+단/NNG
추진체와	추진체/NNG+와/JC
독자적으로	독자/NNG+적/XSN+으로/JKB
개량한	개량/NNG+하/XSV+ㄴ/ETM
노동미사일을	노동/NNG+미사일/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
2단	2/SN+단/NNG
추진체,	추진체/NNG+,/SP
그	그/MMD
위에	위/NNG+에/JKB
실용위성을	실용/NNG+위성/NNG+을/JKO
탑재한다고	탑재/NNG+하/XSV+ㄴ다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
3단	3/SN+단/NNG
추진체까지	추진체/NNG+까지/JX
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
로켓의	로켓/NNG+의/JKG
외양이었다.	외양/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.321.5.1
북한이 공개한 장거리로켓의 1단 추진체에 파란색 페인트로 ‘은하 3’이라는 글자를 써넣은 것은 눈길을 끄는 대목이다.

북한이	북한/NNP+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
장거리로켓의	장거리/NNG+로켓/NNG+의/JKG
1단	1/SN+단/NNG
추진체에	추진체/NNG+에/JKB
파란색	파란색/NNG
페인트로	페인트/NNG+로/JKB
‘은하	‘/SS+은하/NNG
3’이라는	3/SN+’/SS+이/VCP+라는/ETM
글자를	글자/NNG+를/JKO
써넣은	쓰/VV+어/EC+넣/VV+은/ETM
것은	것/NNB+은/JX
눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.321.5.2
1998년 8월 ‘광명성 1호’, 2009년 4월 ‘광명성 2호’ 발사 때 각각 쏴 올린 장거리로켓의 1단 추진체엔 붉은색 페인트로 ‘조선’이라는 글자가 쓰여 있었다.

1998년	1998/SN+년/NNB
8월	8/SN+월/NNB
‘광명성	‘/SS+광명성/NNP
1호’,	1/SN+호/NNB+’/SS+,/SP
2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
2호’	2/SN+호/NNB+’/SS
발사	발사/NNG
때	때/NNG
각각	각각/MAG
쏴	쏘/VV+아/EC
올린	올리/VV+ㄴ/ETM
장거리로켓의	장거리/NNG+로켓/NNG+의/JKG
1단	1/SN+단/NNG
추진체엔	추진체/NNG+에/JKB+ㄴ/JX
붉은색	붉은색/NNG
페인트로	페인트/NNG+로/JKB
‘조선’이라는	‘/SS+조선/NNP+’/SS+이/VCP+라는/ETM
글자가	글자/NNG+가/JKS
쓰여	쓰이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.321.5.3
군 당국자는 “이번에 발사할 로켓이 핵탄두를 탑재할 수 있는 탄도미사일이 아니라 실용위성을 올리는 우주발사체라는 점을 대외적으로 부각시키려는 의도”라고 분석했다.

군	군/NNG
당국자는	당국자/NNG+는/JX
“이번에	“/SS+이번/NNG+에/JKB
발사할	발사/NNG+하/XSV+ㄹ/ETM
로켓이	로켓/NNG+이/JKS
핵탄두를	핵탄두/NNG+를/JKO
탑재할	탑재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
탄도미사일이	탄도/NNG+미사일/NNG+이/JKC
아니라	아니/VCN+라/EC
실용위성을	실용/NNG+위성/NNG+을/JKO
올리는	올리/VV+는/ETM
우주발사체라는	우주/NNG+발사체/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
대외적으로	대외/NNG+적/XSN+으로/JKB
부각시키려는	부각/NNG+시키/XSV+려는/ETM
의도”라고	의도/NNG+”/SS+라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.321.6.1
