# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.194
metadata : {}


# id : NWRW1800000024.194.1.1
군산 앞바다 고려청자 대량 발굴

군산	군산/NNP
앞바다	앞바다/NNG
고려청자	고려청자/NNG
대량	대량/NNG
발굴	발굴/NNG


# id : NWRW1800000024.194.2.1
새만금 사업지구인 전북 군산시 야미도 앞 바다에서 고려 청자를 비롯한 각종 옛 도자기들이 무더기로 나왔다.

새만금	새만금/NNP
사업지구인	사업/NNG+지구/NNG+이/VCP+ㄴ/ETM
전북	전북/NNP
군산시	군산시/NNP
야미도	야미도/NNP
앞	앞/NNG
바다에서	바다/NNG+에서/JKB
고려	고려/NNP
청자를	청자/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
각종	각종/NNG
옛	옛/MMA
도자기들이	도자기/NNG+들/XSN+이/JKS
무더기로	무더기/NNG+로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.194.2.2
국립해양문화재연구소는 지난해 9월 이후 야미도 해역에 대한 수중발굴 조사 결과, 옛 도자기 2293점을 찾아내 건져올렸다고 4일 밝혔다.

국립해양문화재연구소는	국립해양문화재연구소/NNP+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
이후	이후/NNG
야미도	야미도/NNP
해역에	해역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수중발굴	수중/NNG+발굴/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
옛	옛/MMA
도자기	도자기/NNG
2293점을	2293/SN+점/NNB+을/JKO
찾아내	찾아내/VV+어/EC
건져올렸다고	건지/VV+어/EC+올리/VV+었/EP+다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.194.2.3
연구소는 “새만금 방조제가 완공된 뒤 조류가 변하면서 해저 지형이 바뀌어 개펄에 묻혔던 유물들이 드러난 것으로 보인다”고 밝혔다.

연구소는	연구소/NNG+는/JX
“새만금	“/SS+새만금/NNP
방조제가	방조제/NNG+가/JKS
완공된	완공/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
조류가	조류/NNG+가/JKS
변하면서	변하/VV+면서/EC
해저	해저/NNG
지형이	지형/NNG+이/JKS
바뀌어	바뀌/VV+어/EC
개펄에	개펄/NNG+에/JKB
묻혔던	묻히/VV+었/EP+던/ETM
유물들이	유물/NNG+들/XSN+이/JKS
드러난	드러나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.194.2.4
인양된 도자기들은 품질이 다소 떨어지는 청자 대접과 접시 등 민간 생활용품들이다.

인양된	인양/NNG+되/XSV+ㄴ/ETM
도자기들은	도자기/NNG+들/XSN+은/JX
품질이	품질/NNG+이/JKS
다소	다소/MAG
떨어지는	떨어지/VV+는/ETM
청자	청자/NNG
대접과	대접/NNG+과/JC
접시	접시/NNG
등	등/NNB
민간	민간/NNG
생활용품들이다.	생활용품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.194.2.5
연구소는 “12세기께 서남해안에 가까운 가마에서 만든 것으로 추정된다”고 말했다.

연구소는	연구소/NNG+는/JX
“12세기께	“/SS+12/SN+세기/NNG+께/XSN
서남해안에	서남/NNG+해안/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
가마에서	가마/NNG+에서/JKB
만든	만들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된다”고	추정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


