# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.301
metadata : {}


# id : NWRW1800000053.301.1.1
현충원 찾은 이재명 “이승만-박정희 참배 못해”

현충원	현충원/NNP
찾은	찾/VV+은/ETM
이재명	이재명/NNP
“이승만-박정희	“/SS+이승만/NNP+-/SO+박정희/NNP
참배	참배/NNG
못해”	못/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000053.301.2.1
[대선 정국]“朴대통령 靑 나오는 순간 구속을”… 강성 발언으로 문재인과 차별화 행보

[대선	[/SS+대선/NNG
정국]“朴대통령	정국/NNG+]/SS+“/SS+朴/SH+대통령/NNG
靑	靑/SH
나오는	나오/VV+는/ETM
순간	순간/NNG
구속을”…	구속/NNG+을/JKO+”/SS+…/SE
강성	강성/NNG
발언으로	발언/NNG+으로/JKB
문재인과	문재인/NNP+과/JKB
차별화	차별/NNG+화/XSN
행보	행보/NNG


# id : NWRW1800000053.301.3.1
더불어민주당 대선 후보 경선에 예비 후보로 등록한 이재명 경기 성남시장은 후보로서의 첫 일정으로 31일 서울 동작구 국립서울현충원을 찾았다.

더불어민주당	더불어민주당/NNP
대선	대선/NNG
후보	후보/NNG
경선에	경선/NNG+에/JKB
예비	예비/NNG
후보로	후보/NNG+로/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
이재명	이재명/NNP
경기	경기/NNP
성남시장은	성남시장/NNG+은/JX
후보로서의	후보/NNG+로서/JKB+의/JKG
첫	첫/MMN
일정으로	일정/NNG+으로/JKB
31일	31/SN+일/NNB
서울	서울/NNP
동작구	동작구/NNP
국립서울현충원을	국립서울현충원/NNP+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.301.3.2
이 시장은 이 자리에서 “이승만 전 대통령은 친일 매국 세력의 아버지고 박정희 전 대통령은 군사 쿠데타로 국정을 파괴하고 인권을 침해했던 그야말로 독재자”라며 “전두환 전 대통령이 이곳에 묻혀 있다고 한들 광주 학살을 자행한 그를 추모할 수 없는 것처럼 친일 매국 세력의 아버지, 인권 침해 독재자에게 고개를 숙일 수는 없다”고 목소리를 높였다.

이	이/MMD
시장은	시장/NNG+은/JX
자리에서	자리/NNG+에서/JKB
“이승만	“/SS+이승만/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
친일	친일/NNG
매국	매국/NNG
세력의	세력/NNG+의/JKG
아버지고	아버지/NNG+이/VCP+고/EC
박정희	박정희/NNP
군사	군사/NNG
쿠데타로	쿠데타/NNG+로/JKB
국정을	국정/NNG+을/JKO
파괴하고	파괴/NNG+하/XSV+고/EC
인권을	인권/NNG+을/JKO
침해했던	침해/NNG+하/XSV+았/EP+던/ETM
그야말로	그야말로/MAG
독재자”라며	독재자/NNG+”/SS+이/VCP+라며/EC
“전두환	“/SS+전두환/NNP
대통령이	대통령/NNG+이/JKS
이곳에	이곳/NP+에/JKB
묻혀	묻히/VV+어/EC
있다고	있/VX+다고/EC
한들	하/VV+ㄴ들/EC
광주	광주/NNP
학살을	학살/NNG+을/JKO
자행한	자행/NNG+하/XSV+ㄴ/ETM
그를	그/NP+를/JKO
추모할	추모/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것처럼	것/NNB+처럼/JKB
아버지,	아버지/NNG+,/SP
인권	인권/NNG
침해	침해/NNG
독재자에게	독재자/NNG+에게/JKB
고개를	고개/NNG+를/JKO
숙일	숙이/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.301.3.3
이 시장은 김대중, 김영삼 전 대통령의 묘소만 참배했다.

이	이/NNP
시장은	시장/NNG+은/JX
김대중,	김대중/NNP+,/SP
김영삼	김영삼/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
묘소만	묘소/NNG+만/JX
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.301.4.1
이 시장은 나아가 보수 정권의 대통령 모두를 ‘불의한 기득권자’로 규정했다.

이	이/NNP
시장은	시장/NNG+은/JX
나아가	나아가/VV+아/EC
보수	보수/NNG
정권의	정권/NNG+의/JKG
대통령	대통령/NNG
모두를	모두/NNG+를/JKO
‘불의한	‘/SS+불의/NNG+하/XSA+ㄴ/ETM
기득권자’로	기득권자/NNG+’/SS+로/JKB
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.301.4.2
그는 “이승만, 박정희, 전두환, 노태우, 이명박, 박근혜로 이어지는 친일 독재 매국 세력이 이 나라 다수 국민을 힘들게 하고 있다”며 “소수의 불의한 기득권자들로부터 다수의 약자들이 지켜지도록 몫을 다할 것”이라고 말했다.

그는	그/NP+는/JX
“이승만,	“/SS+이승만/NNP+,/SP
박정희,	박정희/NNP+,/SP
전두환,	전두환/NNP+,/SP
노태우,	노태우/NNP+,/SP
이명박,	이명박/NNP+,/SP
박근혜로	박근혜/NNP+로/JKB
이어지는	이어지/VV+는/ETM
친일	친일/NNG
독재	독재/NNG
매국	매국/NNG
세력이	세력/NNG+이/JKS
이	이/MMD
나라	나라/NNG
다수	다수/NNG
국민을	국민/NNG+을/JKO
힘들게	힘들/VA+게/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“소수의	“/SS+소수/NNG+의/JKG
불의한	불의/NNG+하/XSA+ㄴ/ETM
기득권자들로부터	기득권자/NNG+들/XSN+로부터/JKB
다수의	다수/NNG+의/JKG
약자들이	약자/NNG+들/XSN+이/JKS
지켜지도록	지키/VV+어/EC+지/VX+도록/EC
몫을	몫/NNG+을/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.301.4.3
문재인 전 대표가 중도 보수 성향 유권자를 끌어들이기 위한 통합 행보에 나서는 것과 달리 선명성을 더욱 강조하겠다는 전략으로 보인다.

문재인	문재인/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
중도	중도/NNG
보수	보수/NNG
성향	성향/NNG
유권자를	유권자/NNG+를/JKO
끌어들이기	끌어들이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
통합	통합/NNG
행보에	행보/NNG+에/JKB
나서는	나서/VV+는/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
선명성을	선명/NNG+성/XSN+을/JKO
더욱	더욱/MAG
강조하겠다는	강조/NNG+하/XSV+겠/EP+다는/ETM
전략으로	전략/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.301.5.1
문 전 대표가 박근혜 대통령 구속 여부에 관해 “정치권이 주문할 상황이 아닌 것 같다”고 한 것에 대해서도 이 시장은 이날 동아일보와의 통화에서 “사회 정의가 살아있다는 것을 보여주기 위해서라도 박 대통령은 청와대를 나오는 순간 당연히 구속시켜야 한다”고 각을 세웠다.

문	문/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
박근혜	박근혜/NNP
대통령	대통령/NNG
구속	구속/NNG
여부에	여부/NNG+에/JKB
관해	관하/VV+아/EC
“정치권이	“/SS+정치/NNG+권/XSN+이/JKS
주문할	주문/NNG+하/XSV+ㄹ/ETM
상황이	상황/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
