# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.36
metadata : {}


# id : NWRW1800000038.36.1.1
"오바마·시진핑 머릿속 최우선 과제는 北韓"

"오바마·시진핑	"/SS+오바마/NNP+·/SP+시진핑/NNP
머릿속	머릿속/NNG
최우선	최/XPN+우선/NNG
과제는	과제/NNG+는/JX
北韓"	北韓/SH+"/SS


# id : NWRW1800000038.36.2.1
백악관 관계자 밝혀… 내일부터 이틀간 정상회담, 7시간 동안 격식 없는 대화

백악관	백악관/NNP
관계자	관계자/NNG
밝혀…	밝히/VV+어/EF+…/SE
내일부터	내일/NNG+부터/JX
이틀간	이틀/NNG+간/XSN
정상회담,	정상/NNG+회담/NNG+,/SP
7시간	7/SN+시간/NNB
동안	동안/NNG
격식	격식/NNG
없는	없/VA+는/ETM
대화	대화/NNG


# id : NWRW1800000038.36.3.1
오는 7~8일 미국 캘리포니아 란초미라지의 휴양지 서니랜즈에서 열리는 미·중 정상회담에서 버락 오바마 미 대통령과 시진핑(習近平) 중국 국가주석이 북한 문제를 최우선 의제 중 하나로 다룰 것으로 알려졌다.

오는	오/VV+는/ETM
7~8일	7/SN+~/SO+8/SN+일/NNB
미국	미국/NNP
캘리포니아	캘리포니아/NNP
란초미라지의	란초미라지/NNP+의/JKG
휴양지	휴양지/NNG
서니랜즈에서	서니랜즈/NNP+에서/JKB
열리는	열리/VV+는/ETM
미·중	미/NNP+·/SP+중/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령과	대통령/NNG+과/JC
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석이	국가주석/NNG+이/JKS
북한	북한/NNP
문제를	문제/NNG+를/JKO
최우선	최/XPN+우선/NNG
의제	의제/NNG
중	중/NNB
하나로	하나/NR+로/JKB
다룰	다루/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.36.3.2
백악관 고위 관계자는 4일(현지 시각) 기자들과의 콘퍼런스콜(전화 브리핑)에서 "양 정상의 머릿속에 '북한'이 가장 앞부분에 있는 것은 의심할 여지가 없다"며 "북한 비핵화에 대한 미·중의 일치된 메시지가 나오는 것이 중요하다"고 했다.

백악관	백악관/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
4일(현지	4/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
기자들과의	기자/NNG+들/XSN+과/JKB+의/JKG
콘퍼런스콜(전화	콘퍼런스콜/NNG+(/SS+전화/NNG
브리핑)에서	브리핑/NNG+)/SS+에서/JKB
"양	"/SS+양/MMN
정상의	정상/NNG+의/JKG
머릿속에	머릿속/NNG+에/JKB
'북한'이	'/SS+북한/NNP+'/SS+이/JKS
가장	가장/MAG
앞부분에	앞부분/NNG+에/JKB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
의심할	의심/NNG+하/XSV+ㄹ/ETM
여지가	여지/NNB+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"북한	"/SS+북한/NNP
비핵화에	비핵/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
미·중의	미/NNP+·/SP+중/NNP+의/JKG
