# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.199
metadata : {}


# id : NWRW1800000030.199.1.1
다저스, 중고 소방차로 이적의 불씨 껐다

다저스,	다저스/NNP+,/SP
중고	중고/NNG
소방차로	소방차/NNG+로/JKB
이적의	이적/NNG+의/JKG
불씨	불씨/NNG
껐다	끄/VV+었/EP+다/EF


# id : NWRW1800000030.199.2.1
•2008년 떠나려던 퍼칼 잡아고향 도미니카의 마을에 '소방시설 지원' 제안 통해

•2008년	•/SW+2008/SN+년/NNB
떠나려던	떠나/VV+려던/ETM
퍼칼	퍼칼/NNP
잡아고향	잡/VV+아/EC+고향/NNG
도미니카의	도미니카/NNP+의/JKG
마을에	마을/NNG+에/JKB
'소방시설	'/SS+소방/NNG+시설/NNG
지원'	지원/NNG+'/SS
제안	제안/NNG
통해	통하/VV+아/EF


# id : NWRW1800000030.199.3.1
LA 다저스의 유격수 라파엘 퍼칼(33)은 2008시즌 후 자신이 처음으로 몸담았던 애틀랜타 브레이브스로 옮길 예정이었다.

LA	LA/SL
다저스의	다저스/NNP+의/JKG
유격수	유격수/NNG
라파엘	라파엘/NNP
퍼칼(33)은	퍼칼/NNP+(/SS+33/SN+)/SS+은/JX
2008시즌	2008/SN+시즌/NNG
후	후/NNG
자신이	자신/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
몸담았던	몸담/VV+았/EP+던/ETM
애틀랜타	애틀랜타/NNP
브레이브스로	브레이브스/NNP+로/JKB
옮길	옮기/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.199.3.2
하지만 계약 직전에 진로를 틀었다.

하지만	하지만/MAJ
계약	계약/NNG
직전에	직전/NNG+에/JKB
진로를	진로/NNG+를/JKO
틀었다.	틀/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.199.3.3
당시 브레이브스는 퍼칼을 영입한다고 서둘러 발표까지 했지만 그의 서명이 새겨진 것은 다저스 계약서였다.

당시	당시/NNG
브레이브스는	브레이브스/NNP+는/JX
퍼칼을	퍼칼/NNP+을/JKO
영입한다고	영입/NNG+하/XSV+ㄴ다고/EC
서둘러	서두르/VV+어/EC
발표까지	발표/NNG+까지/JX
했지만	하/VV+았/EP+지만/EC
그의	그/NP+의/JKG
서명이	서명/NNG+이/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
것은	것/NNB+은/JX
다저스	다저스/NNP
계약서였다.	계약서/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.199.4.1
그가 다저스에 남은 이유가 최근 밝혀졌다.

그가	그/NP+가/JKS
다저스에	다저스/NNP+에/JKB
남은	남/VV+은/ETM
이유가	이유/NNG+가/JKS
최근	최근/NNG
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.199.4.2
미 인터넷 사이트 '야후 스포츠'는 "퍼칼이 다저스와 재계약한 것은 바로 낡은 소방차 한 대 때문이었다"고 전했다.

미	미/NNP
인터넷	인터넷/NNG
사이트	사이트/NNG
'야후	'/SS+야후/NNP
스포츠'는	스포츠/NNG+'/SS+는/JX
"퍼칼이	"/SS+퍼칼/NNP+이/JKS
다저스와	다저스/NNP+와/JKB
재계약한	재/XPN+계약/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
바로	바로/MAG
낡은	낡/VV+은/ETM
소방차	소방차/NNG
한	한/MMN
대	대/NNB
때문이었다"고	때문/NNB+이/VCP+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.5.1
퍼칼의 고향은 도미니카공화국의 로마 데 카브레라(Loma de Cabrera)다.

퍼칼의	퍼칼/NNP+의/JKG
고향은	고향/NNG+은/JX
도미니카공화국의	도미니카공화국/NNP+의/JKG
로마	로마/NNP
데	데/NNP
카브레라(Loma	카브레라/NNP+(/SS+Loma/SL
de	de/SL
Cabrera)다.	Cabrera/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.199.5.2
아이티에 인접한 이 작은 마을의 인구는 6000명 정도.

아이티에	아이티/NNP+에/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
이	이/MMD
작은	작/VA+은/ETM
마을의	마을/NNG+의/JKG
인구는	인구/NNG+는/JX
6000명	6000/SN+명/NNB
정도.	정도/NNG+./SF


# id : NWRW1800000030.199.5.3
퍼칼의 친척과 친구들이 아직 그곳에서 산다.

퍼칼의	퍼칼/NNP+의/JKG
친척과	친척/NNG+과/JC
친구들이	친구/NNG+들/XSN+이/JKS
아직	아직/MAG
그곳에서	그곳/NP+에서/JKB
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.199.6.1
11년 동안 메이저리그에서 방망이 하나로 6700만달러를 벌어들인 그는 혼자 로마 데 카브레라를 먹여 살린다.

11년	11/SN+년/NNB
동안	동안/NNG
메이저리그에서	메이저리그/NNG+에서/JKB
방망이	방망이/NNG
하나로	하나/NR+로/JKB
6700만달러를	6700/SN+만/NR+달러/NNB+를/JKO
벌어들인	벌어들이/VV+ㄴ/ETM
그는	그/NP+는/JX
혼자	혼자/NNG
로마	로마/NNP
데	데/NNP
카브레라를	카브레라/NNP+를/JKO
먹여	먹이/VV+어/EC
살린다.	살리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.199.6.2
고향 사람들이 아파 병원에 입원하면 기꺼이 지갑을 연다.

고향	고향/NNG
사람들이	사람/NNG+들/XSN+이/JKS
아파	아프/VA+아/EC
병원에	병원/NNG+에/JKB
입원하면	입원/NNG+하/XSV+면/EC
기꺼이	기꺼이/MAG
지갑을	지갑/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.199.7.1
퍼칼은 지난해 6월 아버지 실비오가 말에 치여 죽자 고향으로 부랴부랴 달려갔다.

퍼칼은	퍼칼/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
아버지	아버지/NNG
실비오가	실비오/NNP+가/JKS
말에	말/NNG+에/JKB
치여	치이/VV+어/EC
죽자	죽/VV+자/EC
고향으로	고향/NNG+으로/JKB
부랴부랴	부랴부랴/MAG
달려갔다.	달려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.7.2
장례식을 치른 그는 의용소방대원들이 소방차 대신 픽업트럭에 물통을 싣고 출동해 위험을 무릅쓰고 불타는 건물이나 땅콩밭에 다가가 불을 끄는 모습을 보곤 충격을 받았다.

장례식을	장례식/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
그는	그/NP+는/JX
의용소방대원들이	의용/NNG+소방대원/NNG+들/XSN+이/JKS
소방차	소방차/NNG
대신	대신/NNG
픽업트럭에	픽업트럭/NNG+에/JKB
물통을	물통/NNG+을/JKO
싣고	싣/VV+고/EC
출동해	출동/NNG+하/XSV+아/EC
위험을	위험/NNG+을/JKO
무릅쓰고	무릅쓰/VV+고/EC
불타는	불타/VV+는/ETM
건물이나	건물/NNG+이나/JC
땅콩밭에	땅콩/NNG+밭/NNG+에/JKB
다가가	다가가/VV+아/EC
불을	불/NNG+을/JKO
끄는	끄/VV+는/ETM
모습을	모습/NNG+을/JKO
보곤	보/VV+곤/EC
충격을	충격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.7.3
퍼칼은 "내 고향에선 많은 사람이 화재로 죽는다. 그곳엔 소방차가 한 대도 없다"고 말했다.

퍼칼은	퍼칼/NNP+은/JX
"내	"/SS+나/NP+의/JKG
고향에선	고향/NNG+에서/JKB+ㄴ/JX
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
화재로	화재/NNG+로/JKB
죽는다.	죽/VV+는다/EF+./SF
그곳엔	그곳/NP+에/JKB+ㄴ/JX
소방차가	소방차/NNG+가/JKS
한	한/MMN
대도	대/NNB+도/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.8.1
2008시즌을 끝내고 자유계약선수가 된 퍼칼은 자신이 처음 메이저리그 생활을 시작한 애틀랜타 브레이브스의 강한 러브콜을 받았다.

2008시즌을	2008/SN+시즌/NNG+을/JKO
끝내고	끝내/VV+고/EC
자유계약선수가	자유/NNG+계약/NNG+선수/NNG+가/JKC
된	되/VV+ㄴ/ETM
퍼칼은	퍼칼/NNP+은/JX
자신이	자신/NNG+이/JKS
처음	처음/NNG
메이저리그	메이저리그/NNG
생활을	생활/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
애틀랜타	애틀랜타/NNP
브레이브스의	브레이브스/NNP+의/JKG
강한	강하/VA+ㄴ/ETM
러브콜을	러브콜/NNG+을/JKO
