# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.97
metadata : {}


# id : NWRW1800000028.97.1.1
행안부, 스마트폰 공인인증서 밀어붙여

행안부,	행안부/NNG+,/SP
스마트폰	스마트폰/NNG
공인인증서	공인/NNG+인증서/NNG
밀어붙여	밀어붙이/VV+어/EF


# id : NWRW1800000028.97.2.1
행정안전부가 스마트폰을 통한 금융거래에서 공인인증서 사용을 계속 의무화하기로 해, 국내 전자상거래 시장의 국제적 고립이 심화할 것으로 우려된다.

행정안전부가	행정/NNG+안전부/NNG+가/JKS
스마트폰을	스마트폰/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
금융거래에서	금융/NNG+거래/NNG+에서/JKB
공인인증서	공인/NNG+인증서/NNG
사용을	사용/NNG+을/JKO
계속	계속/MAG
의무화하기로	의무/NNG+화/XSN+하/XSV+기/ETN+로/JKB
해,	하/VV+아/EC+,/SP
국내	국내/NNG
전자상거래	전자/NNG+상거래/NNG
시장의	시장/NNG+의/JKG
국제적	국제/NNG+적/XSN
고립이	고립/NNG+이/JKS
심화할	심화/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.97.3.1
행안부는 21일 “공인인증서만이 거래내역을 확인하는 ‘부인방지 기능’이 있다”며 “다음달부터 아이폰에서 공인인증서를 사용할 수 있도록 하는 공용 소프트웨어를 배포할 계획”이라고 밝혔다.

행안부는	행안부/NNG+는/JX
21일	21/SN+일/NNB
“공인인증서만이	“/SS+공인/NNG+인증서/NNG+만/JX+이/JKS
거래내역을	거래/NNG+내역/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
‘부인방지	‘/SS+부인/NNG+방지/NNG
기능’이	기능/NNG+’/SS+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“다음달부터	“/SS+다음/NNG+달/NNG+부터/JX
아이폰에서	아이폰/NNP+에서/JKB
공인인증서를	공인/NNG+인증서/NNG+를/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
공용	공용/NNG
소프트웨어를	소프트웨어/NNG+를/JKO
배포할	배포/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.97.3.2
부인방지는 거래자가 전자서명으로 거래내역을 확인하는 기능으로, 분쟁 때 사용자 책임 입증용으로 활용된다.

부인방지는	부인/NNG+방지/NNG+는/JX
거래자가	거래자/NNG+가/JKS
전자서명으로	전자/NNG+서명/NNG+으로/JKB
거래내역을	거래/NNG+내역/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
기능으로,	기능/NNG+으로/JKB+,/SP
분쟁	분쟁/NNG
때	때/NNG
사용자	사용자/NNG
책임	책임/NNG
입증용으로	입증/NNG+용/XSN+으로/JKB
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.97.3.3
행안부는 “미국과 유럽에서 쓰는 보안접속(SSL)과 일회용 비밀번호(OTP)만으로는 현행 공인인증서 기능을 대체할 수 없고, 은행 계좌이체에도 2~3일이 걸리기 때문에 실시간 전자결제를 하기 어렵다”며 공인인증서 사용 의무화의 배경을 설명했다.

행안부는	행안부/NNG+는/JX
“미국과	“/SS+미국/NNP+과/JC
유럽에서	유럽/NNP+에서/JKB
쓰는	쓰/VV+는/ETM
보안접속(SSL)과	보안/NNG+접속/NNG+(/SS+SSL/SL+)/SS+과/JC
일회용	일회/NNG+용/XSN
비밀번호(OTP)만으로는	비밀번호/NNG+(/SS+OTP/SL+)/SS+만/JX+으로/JKB+는/JX
현행	현행/NNG
공인인증서	공인/NNG+인증서/NNG
기능을	기능/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
은행	은행/NNG
계좌이체에도	계좌/NNG+이체/NNG+에/JKB+도/JX
2~3일이	2/SN+~/SO+3/SN+일/NNB+이/JKS
걸리기	걸리/VV+기/ETN
때문에	때문/NNB+에/JKB
실시간	실시간/NNG
전자결제를	전자/NNG+결제/NNG+를/JKO
하기	하/VV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
사용	사용/NNG
의무화의	의무/NNG+화/XSN+의/JKG
