# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.366
metadata : {}


# id : NWRW1800000046.366.1.1
與 "대통령의 '거부권(국회법 개정안)'에 맞서면 곤란" 공감대 확산

與	與/SH
"대통령의	"/SS+대통령/NNG+의/JKG
'거부권(국회법	'/SS+거부/NNG+권/XSN+(/SS+국회법/NNG
개정안)'에	개정안/NNG+)/SS+'/SS+에/JKB
맞서면	맞서/VV+면/EC
곤란"	곤란/NNG+"/SS
공감대	공감대/NNG
확산	확산/NNG


# id : NWRW1800000046.366.2.1
非朴 일부도 "대통령과 여당이 싸우면 자멸"

非朴	非朴/SH
일부도	일부/NNG+도/JX
"대통령과	"/SS+대통령/NNG+과/JKB
여당이	여당/NNG+이/JKS
싸우면	싸우/VV+면/EC
자멸"	자멸/NNG+"/SS


# id : NWRW1800000046.366.3.1
국회의 정부 시행령 수정 권한을 강화한 국회법 개정안에 대해 청와대가 거부권 행사를 시사한 가운데 새누리당에서는 "대통령이 거부권을 행사하면 받아들여야 한다"는 여론이 커지고 있다.

국회의	국회/NNG+의/JKG
정부	정부/NNG
시행령	시행령/NNG
수정	수정/NNG
권한을	권한/NNG+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
국회법	국회법/NNG
개정안에	개정안/NNG+에/JKB
대해	대하/VV+아/EC
청와대가	청와대/NNP+가/JKS
거부권	거부/NNG+권/XSN
행사를	행사/NNG+를/JKO
시사한	시사/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
새누리당에서는	새누리당/NNP+에서/JKB+는/JX
"대통령이	"/SS+대통령/NNG+이/JKS
거부권을	거부/NNG+권/XSN+을/JKO
행사하면	행사/NNG+하/XSV+면/EC
받아들여야	받아들이/VV+어야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
여론이	여론/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.366.3.2
"여당(與黨)이 대통령과 맞서는 모습을 보여서는 곤란하다"는 것이다.

"여당(與黨)이	"/SS+여당/NNG+(/SS+與黨/SH+)/SS+이/JKS
대통령과	대통령/NNG+과/JKB
맞서는	맞서/VV+는/ETM
모습을	모습/NNG+을/JKO
보여서는	보이/VV+어서/EC+는/JX
곤란하다"는	곤란/NNG+하/XSA+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.366.4.1
