# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.371
metadata : {}


# id : NWRW1800000045.371.1.1
‘사모님 車’ 회사 비용처리 못한다

‘사모님	‘/SS+사모/NNG+님/XSN
車’	車/SH+’/SS
회사	회사/NNG
비용처리	비용/NNG+처리/NNG
못한다	못하/VX+ㄴ다/EF


# id : NWRW1800000045.371.2.1
[2015 세법 개정안]업무용車 사적 사용땐 稅혜택 안줘 기재부 “세금 年5500억 더 걷힐것”

[2015	[/SS+2015/SN
세법	세법/NNG
개정안]업무용車	개정안/NNG+]/SS+업무/NNG+용/XSN+車/SH
사적	사/NNG+적/XSN
사용땐	사용/NNG+때/NNG+ㄴ/JX
稅혜택	稅/SH+혜택/NNG
안줘	안/MAG+주/VV+어/EF
기재부	기재부/NNG
“세금	“/SS+세금/NNG
年5500억	年/SH+5500/SN+억/NR
더	더/MAG
걷힐것”	걷히/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000045.371.3.1
내년부터는 업무용 승용차를 개인적인 용도로 사용했다면 세금을 내야 한다.

내년부터는	내년/NNG+부터/JX+는/JX
업무용	업무/NNG+용/XSN
승용차를	승용차/NNG+를/JKO
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
용도로	용도/NNG+로/JKB
사용했다면	사용/NNG+하/XSV+았/EP+다면/EC
세금을	세금/NNG+을/JKO
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.371.3.2
또 최근 10년 이내 적자를 낸 기업이 일단 흑자로 전환됐다면 해당 연도 이익의 최소 20%에 대해서는 법인세가 부과된다.

또	또/MAG
최근	최근/MAG
10년	10/SN+년/NNB
이내	이내/NNG
적자를	적자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
기업이	기업/NNG+이/JKS
일단	일단/MAG
흑자로	흑자/NNG+로/JKB
전환됐다면	전환/NNG+되/XSV+었/EP+다면/EC
해당	해당/NNG
연도	연도/NNG
이익의	이익/NNG+의/JKG
최소	최소/NNG
20%에	20/SN+%/SW+에/JKB
대해서는	대하/VV+아서/EC+는/JX
법인세가	법인세/NNG+가/JKS
부과된다.	부과/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.371.3.3
정부는 6일 발표한 세법 개정안에서 그동안 대기업과 사업자에 대한 ‘세금 특혜’라는 지적을 받았던 제도들을 손질했다.

정부는	정부/NNG+는/JX
6일	6/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
세법	세법/NNG
개정안에서	개정안/NNG+에서/JKB
그동안	그동안/NNG
대기업과	대/XPN+기업/NNG+과/JC
사업자에	사업자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘세금	‘/SS+세금/NNG
특혜’라는	특혜/NNG+’/SS+이/VCP+라는/ETM
지적을	지적/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
제도들을	제도/NNG+들/XSN+을/JKO
손질했다.	손질/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.371.4.1
정부는 지금까지 업무용 차량에 대해 임차료와 유류비, 보험료, 수선비, 통행료 등 모든 운영비를 비용으로 인정해 세금에서 깎아줬다.

정부는	정부/NNG+는/JX
지금까지	지금/NNG+까지/JX
업무용	업무/NNG+용/XSN
차량에	차량/NNG+에/JKB
대해	대하/VV+아/EC
임차료와	임차료/NNG+와/JC
유류비,	유류비/NNG+,/SP
보험료,	보험료/NNG+,/SP
수선비,	수선비/NNG+,/SP
통행료	통행료/NNG
등	등/NNB
모든	모든/MMN
운영비를	운영비/NNG+를/JKO
비용으로	비용/NNG+으로/JKB
인정해	인정/NNG+하/XSV+아/EC
세금에서	세금/NNG+에서/JKB
깎아줬다.	깎/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.371.4.2
이 때문에 업무용으로 구입하거나 리스한 고가의 외제차를 경영자나 그 가족이 개인 용도로 사용하는 경우가 많아 세금 탈루의 온상이라는 지적이 끊이지 않았다.

이	이/NP
때문에	때문/NNB+에/JKB
