# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.275
metadata : {}


# id : NWRW1800000030.275.1.1
[조선데스크] '정권 교체론자'의 선택

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
'정권	'/SS+정권/NNG
교체론자'의	교체론자/NNG+'/SS+의/JKG
선택	선택/NNG


# id : NWRW1800000030.275.2.1
최근 미디어리서치 조사에서 우리 국민의 56%가 "내년 대선에서 정권이 교체되어야 한다"고 대답했다.

최근	최근/MAG
미디어리서치	미디어리서치/NNP
조사에서	조사/NNG+에서/JKB
우리	우리/NP
국민의	국민/NNG+의/JKG
56%가	56/SN+%/SW+가/JKS
"내년	"/SS+내년/NNG
대선에서	대선/NNG+에서/JKB
정권이	정권/NNG+이/JKS
교체되어야	교체/NNG+되/XSV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.275.2.2
이런 분위기가 내년 말까지 이어진다면 2012년 대선 결과는 국민의 절반 이상인 '정권 교체론자'의 손에 달려 있게 된다.

이런	이런/MMD
분위기가	분위기/NNG+가/JKS
내년	내년/NNG
말까지	말/NNB+까지/JX
이어진다면	이어지/VV+ㄴ다면/EC
2012년	2012/SN+년/NNB
대선	대선/NNG
결과는	결과/NNG+는/JX
국민의	국민/NNG+의/JKG
절반	절반/NNG
이상인	이상/NNG+이/VCP+ㄴ/ETM
'정권	'/SS+정권/NNG
교체론자'의	교체론자/NNG+'/SS+의/JKG
손에	손/NNG+에/JKB
달려	달리/VV+어/EC
있게	있/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.275.3.1
정권 교체론자가 국민의 과반수인 것은 지난 대선 때에도 비슷했다.

정권	정권/NNG
교체론자가	교체론자/NNG+가/JKS
국민의	국민/NNG+의/JKG
과반수인	과반수/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
대선	대선/NNG
때에도	때/NNG+에/JKB+도/JX
비슷했다.	비슷하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.275.3.2
2007년 대선을 6개월가량 앞두고 실시한 TNS코리아 조사에서도 "정권 교체가 이뤄져야 한다"는 국민이 57%였다.

2007년	2007/SN+년/NNB
대선을	대선/NNG+을/JKO
6개월가량	6/SN+개월/NNB+가량/XSN
앞두고	앞두/VV+고/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
TNS코리아	TNS코리아/NNP
조사에서도	조사/NNG+에서/JKB+도/JX
"정권	"/SS+정권/NNG
교체가	교체/NNG+가/JKS
이뤄져야	이뤄지/VV+어야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
국민이	국민/NNG+이/JKS
57%였다.	57/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.275.3.3
하지만 그때는 지금과 다른 점이 있었다.

하지만	하지만/MAJ
그때는	그때/NNG+는/JX
지금과	지금/NNG+과/JKB
다른	다른/MMD
점이	점/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.275.3.4
2007년에는 정권 교체론자의 90% 이상이 당시 야당이던 한나라당 소속인 이명박·박근혜 후보에게 지지를 보냈다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
정권	정권/NNG
교체론자의	교체론자/NNG+의/JKG
90%	90/SN+%/SW
이상이	이상/NNG+이/JKS
당시	당시/NNG
야당이던	야당/NNG+이/VCP+던/ETM
한나라당	한나라당/NNP
소속인	소속/NNG+이/VCP+ㄴ/ETM
이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
후보에게	후보/NNG+에게/JKB
지지를	지지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.275.3.5
