# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.18
metadata : {}


# id : NWRW1800000053.18.1.1
“940조 水처리 시장 잡아라”

“940조	“/SS+940/SN+조/NR
水처리	水/SH+처리/NNG
시장	시장/NNG
잡아라”	잡/VV+아라/EF+”/SS


# id : NWRW1800000053.18.2.1
국내외 업계 ‘물 정화 사업’ 경쟁 가열

국내외	국내외/NNG
업계	업계/NNG
‘물	‘/SS+물/NNG
정화	정화/NNG
사업’	사업/NNG+’/SS
경쟁	경쟁/NNG
가열	가열/NNG


# id : NWRW1800000053.18.3.1
머리카락 두께 ‘10만분의 1’ 구멍에서 벌어지는 블루 골드(푸른 황금) 경쟁.

머리카락	머리카락/NNG
두께	두께/NNG
‘10만분의	‘/SS+10/SN+만/NR+분/XSN+의/JKG
1’	1/SN+’/SS
구멍에서	구멍/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
블루	블루/NNG
골드(푸른	골드/NNG+(/SS+푸르/VA+ㄴ/ETM
황금)	황금/NNG+)/SS
경쟁.	경쟁/NNG+./SF


# id : NWRW1800000053.18.4.1
‘수(水)처리’라고 불리는 물 정화 사업을 최근 화학업계가 일컫는 말이다.

‘수(水)처리’라고	‘/SS+수/NF+(/SS+水/SH+)/SS+처리/NNG+’/SS+라고/JKQ
불리는	불리/VV+는/ETM
물	물/NNG
정화	정화/NNG
사업을	사업/NNG+을/JKO
최근	최근/NNG
화학업계가	화학업/NNG+계/XSN+가/JKS
일컫는	일컫/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.18.4.2
세계적인 물 부족 현상과 첨단기술 분야에 물 수요 증가로 수처리 시장은 새로운 미래 먹거리 산업으로 떠오르고 있다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
물	물/NNG
부족	부족/NNG
현상과	현상/NNG+과/JC
첨단기술	첨단/NNG+기술/NNG
분야에	분야/NNG+에/JKB
수요	수요/NNG
증가로	증가/NNG+로/JKB
수처리	수처리/NNG
시장은	시장/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
미래	미래/NNG
먹거리	먹거리/NNG
산업으로	산업/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.18.4.3
