# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.249
metadata : {}


# id : NWRW1800000029.249.1.1
‘영구’ 심형래 끝모를 추락

‘영구’	‘/SS+영구/NNP+’/SS
심형래	심형래/NNP
끝모를	끝/NNG+모르/VV+ㄹ/ETM
추락	추락/NNG


# id : NWRW1800000029.249.2.1
부도-체불-횡령의혹 이어 ‘5억 투자금 반환’ 피소...집까지 경매

부도-체불-횡령의혹	부도/NNG+-/SO+체불/NNG+-/SO+횡령/NNG+의혹/NNG
이어	잇/VV+어/EC
‘5억	‘/SS+5/SN+억/NR
투자금	투자금/NNG
반환’	반환/NNG+’/SS
피소...집까지	피소/NNG+.../SE+집/NNG+까지/JX
경매	경매/NNG


# id : NWRW1800000029.249.3.1
‘회사는 부도, 직원 임금은 체불, 회삿돈 횡령 의혹, 집은 경매, 영화투자금 반환 소송….’

‘회사는	‘/SS+회사/NNG+는/JX
부도,	부도/NNG+,/SP
직원	직원/NNG
임금은	임금/NNG+은/JX
체불,	체불/NNG+,/SP
회삿돈	회삿돈/NNG
횡령	횡령/NNG
의혹,	의혹/NNG+,/SP
집은	집/NNG+은/JX
경매,	경매/NNG+,/SP
영화투자금	영화/NNG+투자금/NNG
반환	반환/NNG
소송….’	소송/NNG+…/SE+./SF+’/SS


# id : NWRW1800000029.249.4.1
신지식인 1호 심형래 ㈜영구아트 대표(사진)의 ‘날개 없는 추락’이 계속되고 있다.

신지식인	신/XPN+지식인/NNG
1호	1/SN+호/NNB
심형래	심형래/NNP
㈜영구아트	㈜/SW+영구아트/NNP
대표(사진)의	대표/NNG+(/SS+사진/NNG+)/SS+의/JKG
‘날개	‘/SS+날개/NNG
없는	없/VA+는/ETM
추락’이	추락/NNG+’/SS+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.249.4.2
횡령과 임금체불 등으로 검찰과 경찰 수사를 받은 데 이어 영화 투자금을 돌려 달라는 소송까지 당했다.

횡령과	횡령/NNG+과/JC
임금체불	임금/NNG+체불/NNG
등으로	등/NNB+으로/JKB
검찰과	검찰/NNG+과/JC
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
