# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.54
metadata : {}


# id : NWRW1800000041.54.1.1
中 “동부연안 원전 28기 건설”… 인천서 400km 떨어진 곳도

中	中/SH
“동부연안	“/SS+동부/NNG+연안/NNG
원전	원전/NNG
28기	28/SN+기/NNB
건설”…	건설/NNG+”/SS+…/SE
인천서	인천/NNP+서/JKB
400km	400/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
곳도	곳/NNG+도/JX


# id : NWRW1800000041.54.2.1
리커창 “대기오염 개선 차원”… 후쿠시마 사고이후 중단했다 재개

리커창	리커창/NNP
“대기오염	“/SS+대기/NNG+오염/NNG
개선	개선/NNG
차원”…	차원/NNG+”/SS+…/SE
후쿠시마	후쿠시마/NNP
사고이후	사고/NNG+이후/NNG
중단했다	중단/NNG+하/XSV+았/EP+다/EC
재개	재개/NNG


# id : NWRW1800000041.54.3.1
중국이 일본 후쿠시마(福島) 원전 참사 이후 잠정 중단했던 원자력발전소 건설을 본격 재개하기로 했다.

중국이	중국/NNP+이/JKS
일본	일본/NNP
후쿠시마(福島)	후쿠시마/NNP+(/SS+福島/SH+)/SS
원전	원전/NNG
참사	참사/NNG
이후	이후/NNG
잠정	잠정/NNG
중단했던	중단/NNG+하/XSV+았/EP+던/ETM
원자력발전소	원자력/NNG+발전소/NNG
건설을	건설/NNG+을/JKO
본격	본격/NNG
재개하기로	재개/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.54.3.2
신규 원전이 동부 해안에 몰려 있어 안전사고가 발생했을 때 한국 등 주변국이 피해를 볼 가능성이 제기되고 있다.

신규	신규/NNG
원전이	원전/NNG+이/JKS
동부	동부/NNG
해안에	해안/NNG+에/JKB
몰려	몰리/VV+어/EC
있어	있/VX+어/EC
안전사고가	안전사고/NNG+가/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
한국	한국/NNP
등	등/NNB
주변국이	주변국/NNG+이/JKS
피해를	피해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.54.3.3
여기에 더해 일본 한국 등도 원전 부활에 시동을 걸고 있어 동북아 일대가 대규모 원전 밀집지역으로 변하고 있다.

여기에	여기/NP+에/JKB
더해	더/MAG+하/XSV+아/EC
일본	일본/NNP
한국	한국/NNP
등도	등/NNB+도/JX
원전	원전/NNG
부활에	부활/NNG+에/JKB
시동을	시동/NNG+을/JKO
걸고	걸/VV+고/EC
있어	있/VX+어/EC
동북아	동북아/NNP
일대가	일대/NNG+가/JKS
대규모	대/XPN+규모/NNG
밀집지역으로	밀집/NNG+지역/NNG+으로/JKB
변하고	변하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.54.4.1
21일 중국 관영 신화(新華)통신에 따르면 리커창(李克强) 총리는 18일 국가에너지위원회 제1차 회의를 주재한 자리에서 “대기 질 개선을 추진하고 고효율의 안전한 에너지원을 개발함으로써 경제의 지속적인 성장을 떠받칠 것”이라고 강조했다.

21일	21/SN+일/NNB
중국	중국/NNP
관영	관영/NNG
신화(新華)통신에	신화/NNP+(/SS+新華/SH+)/SS+통신/NNG+에/JKB
따르면	따르/VV+면/EC
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
총리는	총리/NNG+는/JX
18일	18/SN+일/NNB
국가에너지위원회	국가/NNG+에너지/NNG+위원회/NNG
제1차	제/XPN+1/SN+차/NNB
회의를	회의/NNG+를/JKO
주재한	주재/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“대기	“/SS+대기/NNG
질	질/NNG
개선을	개선/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
고효율의	고/XPN+효율/NNG+의/JKG
안전한	안전/NNG+하/XSA+ㄴ/ETM
에너지원을	에너지원/NNG+을/JKO
개발함으로써	개발/NNG+하/XSV+ㅁ/ETN+으로써/JKB
경제의	경제/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
성장을	성장/NNG+을/JKO
떠받칠	떠받치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.54.4.2
이어 그는 “개발도상국인 중국은 에너지 수요가 증가할 수밖에 없다”며 “안전을 확보한다는 전제 아래 적절한 시점에 동부 연해 지역에 새로운 원전 건설을 시작할 것”이라고 밝혔다.

이어	이어/MAG
그는	그/NP+는/JX
“개발도상국인	“/SS+개발/NNG+도상국/NNG+이/VCP+ㄴ/ETM
중국은	중국/NNP+은/JX
에너지	에너지/NNG
수요가	수요/NNG+가/JKS
증가할	증가/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“안전을	“/SS+안전/NNG+을/JKO
확보한다는	확보/NNG+하/XSV+ㄴ다는/ETM
전제	전제/NNG
아래	아래/NNG
적절한	적절하/VA+ㄴ/ETM
시점에	시점/NNG+에/JKB
동부	동부/NNG
연해	연해/NNG
지역에	지역/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
원전	원전/NNG
건설을	건설/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.54.5.1
중국은 당초 2020년까지 세계 최대 원전 국가에 진입한다는 목표를 세웠지만 2011년 후쿠시마 사고로 신규 건설 승인을 전면 중단했다.

중국은	중국/NNP+은/JX
당초	당초/NNG
2020년까지	2020/SN+년/NNB+까지/JX
세계	세계/NNG
최대	최대/NNG
원전	원전/NNG
국가에	국가/NNG+에/JKB
