# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.194
metadata : {}


# id : NWRW1800000041.194.1.1
[단독]대법, 모든 재판과정 녹음 추진

[단독]대법,	[/SS+단독/NNG+]/SS+대법/NNG+,/SP
모든	모든/MMN
재판과정	재판/NNG+과정/NNG
녹음	녹음/NNG
추진	추진/NNG


# id : NWRW1800000041.194.2.1
사법부 신뢰회복 방안… 부적절한 언행 등 사전예방 목적 판결문 개인정보 유출 대책도 강구

사법부	사법부/NNG
신뢰회복	신뢰/NNG+회복/NNG
방안…	방안/NNG+…/SE
부적절한	부적절하/VA+ㄴ/ETM
언행	언행/NNG
등	등/NNB
사전예방	사전/NNG+예방/NNG
목적	목적/NNG
판결문	판결문/NNG
개인정보	개인/NNG+정보/NNG
유출	유출/NNG
대책도	대책/NNG+도/JX
강구	강구/NNG


# id : NWRW1800000041.194.3.1
대법원이 앞으로 전국 법원의 모든 재판 과정을 녹음하도록 하는 법정녹음제도를 전면 실시하기로 했다.

대법원이	대/XPN+법원/NNG+이/JKS
앞으로	앞/NNG+으로/JKB
전국	전국/NNG
법원의	법원/NNG+의/JKG
모든	모든/MMN
재판	재판/NNG
과정을	과정/NNG+을/JKO
녹음하도록	녹음/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
법정녹음제도를	법정/NNG+녹음/NNG+제도/NNG+를/JKO
전면	전면/NNG
실시하기로	실시/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.194.3.2
대법원은 최근 내부적으로 이 같은 방침을 정하고 시행 시기를 논의하고 있는 것으로 알려졌다.

대법원은	대/XPN+법원/NNG+은/JX
최근	최근/MAG
내부적으로	내부/NNG+적/XSN+으로/JKB
이	이/NP
같은	같/VA+은/ETM
방침을	방침/NNG+을/JKO
정하고	정하/VV+고/EC
시행	시행/NNG
시기를	시기/NNG+를/JKO
논의하고	논의/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.194.4.1
대법원 관계자는 “재판의 독립성을 해칠 수 있다는 일부 반대 의견도 있지만 법정 녹음을 통해 재판 과정에 대한 국민의 불신을 원천적으로 차단하는 것이 필요하다고 본다”며 “조만간 법정에 녹음 시설 설치 등 준비작업에 착수할 것”이라고 밝혔다.

대법원	대/XPN+법원/NNG
관계자는	관계자/NNG+는/JX
“재판의	“/SS+재판/NNG+의/JKG
독립성을	독립/NNG+성/XSN+을/JKO
해칠	해치/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
일부	일부/NNG
반대	반대/NNG
의견도	의견/NNG+도/JX
있지만	있/VA+지만/EC
법정	법정/NNG
녹음을	녹음/NNG+을/JKO
통해	통하/VV+아/EC
재판	재판/NNG
과정에	과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
불신을	불신/NNG+을/JKO
원천적으로	원천/NNG+적/XSN+으로/JKB
차단하는	차단/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“조만간	“/SS+조만간/MAG
법정에	법정/NNG+에/JKB
녹음	녹음/NNG
시설	시설/NNG
설치	설치/NNG
등	등/NNB
준비작업에	준비/NNG+작업/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.194.5.1
청주지법 등 일부 지방법원에서 시범 실시 중인 법정녹음제도는 증인신문과 증거조사 등 모든 재판과정을 속기록 대신 녹취해 보존하는 것을 말한다.

청주지법	청주지법/NNP
등	등/NNB
일부	일부/NNG
지방법원에서	지방/NNG+법원/NNG+에서/JKB
시범	시범/NNG
실시	실시/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
법정녹음제도는	법정/NNG+녹음/NNG+제도/NNG+는/JX
증인신문과	증인/NNG+신문/NNG+과/JC
증거조사	증거/NNG+조사/NNG
모든	모든/MMN
재판과정을	재판/NNG+과정/NNG+을/JKO
속기록	속기록/NNG
대신	대신/NNG
녹취해	녹취/NNG+하/XSV+아/EC
보존하는	보존/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.194.5.2
현행 형사소송법 56조의 2는 법정녹음을 하고 싶으면 재판장에게 녹음을 신청해 허락을 받도록 돼있다.

현행	현행/NNG
형사소송법	형사/NNG+소송법/NNG
56조의	56/SN+조/NNB+의/JKG
2는	2/SN+는/JX
법정녹음을	법정/NNG+녹음/NNG+을/JKO
하고	하/VV+고/EC
싶으면	싶/VX+으면/EC
재판장에게	재판장/NNG+에게/JKB
녹음을	녹음/NNG+을/JKO
신청해	신청/NNG+하/XSV+아/EC
허락을	허락/NNG+을/JKO
받도록	받/VV+도록/EC
돼있다.	되/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000041.194.5.3
하지만 앞으론 재판장의 허락과 관계없이 의무적으로 녹음을 하는 것이다.

하지만	하지만/MAJ
앞으론	앞/NNG+으로/JKB+ㄴ/JX
재판장의	재판장/NNG+의/JKG
허락과	허락/NNG+과/JKB
관계없이	관계없이/MAG
의무적으로	의무/NNG+적/XSN+으로/JKB
녹음을	녹음/NNG+을/JKO
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.194.6.1
법정녹음제도의 전면 도입은 최근 서울지방변호사회 등이 법관의 막말 등을 지적하며 하위 법관 평가를 공개하려고 한 데 대해 대법원이 보완책으로 내놓은 것이다.

법정녹음제도의	법정/NNG+녹음/NNG+제도/NNG+의/JKG
전면	전면/NNG
도입은	도입/NNG+은/JX
최근	최근/MAG
서울지방변호사회	서울지방변호사회/NNP
등이	등/NNB+이/JKS
법관의	법관/NNG+의/JKG
막말	막말/NNG
등을	등/NNB+을/JKO
지적하며	지적/NNG+하/XSV+며/EC
하위	하위/NNG
법관	법관/NNG
평가를	평가/NNG+를/JKO
공개하려고	공개/NNG+하/XSV+려고/EC
한	하/VX+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
대법원이	대/XPN+법원/NNG+이/JKS
보완책으로	보완책/NNG+으로/JKB
내놓은	내놓/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.194.6.2
법정녹음제도가 시행되면 법관의 부적절한 언행을 방지하고 공판조서에 남길 말을 확인하는 등의 절차를 줄여 재판에 집중할 수 있는 장점이 있다.

법정녹음제도가	법정/NNG+녹음/NNG+제도/NNG+가/JKS
시행되면	시행/NNG+되/XSV+면/EC
법관의	법관/NNG+의/JKG
부적절한	부적절하/VA+ㄴ/ETM
언행을	언행/NNG+을/JKO
방지하고	방지/NNG+하/XSV+고/EC
공판조서에	공판/NNG+조서/NNG+에/JKB
남길	남기/VV+ㄹ/ETM
말을	말/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
절차를	절차/NNG+를/JKO
줄여	줄이/VV+어/EC
재판에	재판/NNG+에/JKB
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.194.6.3
영미법계 국가와 일본에서 시행하고 있고, 독일에서는 재판장이 각각의 발언을 정리하도록 한 뒤 녹음하고 있다.

영미법계	영미법/NNG+계/XSN
국가와	국가/NNG+와/JC
일본에서	일본/NNP+에서/JKB
시행하고	시행/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
독일에서는	독일/NNP+에서/JKB+는/JX
재판장이	재판장/NNG+이/JKS
각각의	각각/NNG+의/JKG
발언을	발언/NNG+을/JKO
정리하도록	정리/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
뒤	뒤/NNG
녹음하고	녹음/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.194.7.1
한편 대법원은 판결문이나 결정문을 통해 피해자의 개인정보가 가해자에게 유출돼 보복 범죄 등 2차 피해가 일어날 수 있는 문제도 개선할 계획이다.

한편	한편/MAG
대법원은	대/XPN+법원/NNG+은/JX
판결문이나	판결문/NNG+이나/JC
결정문을	결정문/NNG+을/JKO
통해	통하/VV+아/EC
피해자의	피해자/NNG+의/JKG
개인정보가	개인/NNG+정보/NNG+가/JKS
가해자에게	가해자/NNG+에게/JKB
유출돼	유출/NNG+되/XSV+어/EC
보복	보복/NNG
범죄	범죄/NNG
등	등/NNB
2차	2/SN+차/NNB
피해가	피해/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제도	문제/NNG+도/JX
개선할	개선/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.194.7.2
지난달 28일 열린 전국 수석부장판사회의에서는 성폭력 범죄 가해자에게 피해 여성의 주소 등 신상정보가 담긴 형사배상명령 각하 결정문이 전달된 사례가 언급된 것으로 알려졌다.

지난달	지난달/NNG
28일	28/SN+일/NNB
열린	열리/VV+ㄴ/ETM
전국	전국/NNG
수석부장판사회의에서는	수석/NNG+부장/NNG+판사/NNG+회의/NNG+에서/JKB+는/JX
성폭력	성폭력/NNG
범죄	범죄/NNG
가해자에게	가해자/NNG+에게/JKB
피해	피해/NNG
여성의	여성/NNG+의/JKG
주소	주소/NNG
등	등/NNB
신상정보가	신상/NNG+정보/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
형사배상명령	형사/NNG+배상/NNG+명령/NNG
각하	각하/NNG
결정문이	결정문/NNG+이/JKS
전달된	전달/NNG+되/XSV+ㄴ/ETM
사례가	사례/NNG+가/JKS
언급된	언급/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.194.8.1
