# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.255
metadata : {}


# id : NWRW1800000028.255.1.1
장관들 너도나도 ‘대기업 때리기’

장관들	장관/NNG+들/XSN
너도나도	너도나도/MAG
‘대기업	‘/SS+대/XPN+기업/NNG
때리기’	때리/VV+기/ETN+’/SS


# id : NWRW1800000028.255.2.1
주요 경제부처 장관들이 너도나도 ‘대기업 때리기’ 발언을 쏟아내고 있다.

주요	주요/NNG
경제부처	경제/NNG+부처/NNG
장관들이	장관/NNG+들/XSN+이/JKS
너도나도	너도나도/MAG
‘대기업	‘/SS+대/XPN+기업/NNG
때리기’	때리/VV+기/ETN+’/SS
발언을	발언/NNG+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.255.3.1
최경환 지식경제부 장관은 28일 시화공단의 전자부품 생산업체와 반월공단 염색공장을 방문한 자리에서 “납품 중소 협력업체들은 원자재 가격이 인상되고 있는데도, (대기업으로부터) 납품단가 인상은커녕 인하 요구를 받고 있는 상황”이라고 비판했다.

최경환	최경환/NNP
지식경제부	지식/NNG+경제부/NNG
장관은	장관/NNG+은/JX
28일	28/SN+일/NNB
시화공단의	시화공단/NNP+의/JKG
전자부품	전자/NNG+부품/NNG
생산업체와	생산업체/NNG+와/JC
반월공단	반월공단/NNP
염색공장을	염색/NNG+공장/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“납품	“/SS+납품/NNG
중소	중소/NNG
협력업체들은	협력/NNG+업체/NNG+들/XSN+은/JX
원자재	원자재/NNG
가격이	가격/NNG+이/JKS
인상되고	인상/NNG+되/XSV+고/EC
있는데도,	있/VX+는데/EC+도/JX+,/SP
(대기업으로부터)	(/SS+대/XPN+기업/NNG+으로부터/JKB+)/SS
납품단가	납품/NNG+단가/NNG
인상은커녕	인상/NNG+은커녕/JX
인하	인하/NNG
요구를	요구/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.3.2
그는 “막말로 매년 5%씩 납품단가를 깎으라면, 10년이 지나면 거저 납품하라는 것밖에 안 된다”며 “매년 5%씩 깎으라는 것은 상식적으로 말이 안 되고 법적으로도 못 하게 돼 있지만, 계약을 서류로 안 하고 구두로 하다 보니 그런 게 많다”고 지적했다.

그는	그/NP+는/JX
“막말로	“/SS+막말/NNG+로/JKB
매년	매년/MAG
5%씩	5/SN+%/SW+씩/XSN
납품단가를	납품/NNG+단가/NNG+를/JKO
깎으라면,	깎/VV+으라면/EC+,/SP
10년이	10/SN+년/NNB+이/JKS
지나면	지나/VV+면/EC
거저	거저/MAG
납품하라는	납품/NNG+하/XSV+라는/ETM
것밖에	것/NNB+밖에/JX
안	안/MAG
된다”며	되/VV+ㄴ다/EF+”/SS+며/EC
“매년	“/SS+매년/MAG
깎으라는	깎/VV+으라는/ETM
것은	것/NNB+은/JX
상식적으로	상식/NNG+적/XSN+으로/JKB
말이	말/NNG+이/JKS
되고	되/VV+고/EC
법적으로도	법/NNG+적/XSN+으로/JKB+도/JX
못	못/MAG
하게	하/VV+게/EC
돼	되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
계약을	계약/NNG+을/JKO
서류로	서류/NNG+로/JKB
하고	하/VV+고/EC
구두로	구두/NNG+로/JKB
하다	하/VV+다/EC
보니	보/VX+니/EC
그런	그런/MMD
게	거/NNB+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.4.1
윤증현 기획재정부 장관도 이날 위기관리대책회의에서 “대기업이 견인하고 있는 경기회복의 혜택을 모든 계층이 골고루 누릴 수 있어야 한다”고 말했다.

윤증현	윤증현/NNP
기획재정부	기획/NNG+재정부/NNG
장관도	장관/NNG+도/JX
이날	이날/NNG
위기관리대책회의에서	위기관리/NNG+대책/NNG+회의/NNG+에서/JKB
“대기업이	“/SS+대/XPN+기업/NNG+이/JKS
견인하고	견인/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경기회복의	경기/NNG+회복/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
모든	모든/MMN
계층이	계층/NNG+이/JKS
골고루	골고루/MAG
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


