# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.202
metadata : {}


# id : NWRW1800000024.202.1.1
금리냐 서비스냐…CMA 고르는 재미 ‘쏠쏠’

금리냐	금리/NNG+이/VCP+냐/EF
서비스냐…CMA	서비스/NNG+이/VCP+냐/EF+…/SE+CMA/SL
고르는	고르/VV+는/ETM
재미	재미/NNG
‘쏠쏠’	‘/SS+쏠쏠/XR+’/SS


# id : NWRW1800000024.202.2.1
증권사들이 종합자산관리계좌(CMA) 시장을 놓고 치열한 경쟁을 벌이고 있다.

증권사들이	증권사/NNG+들/XSN+이/JKS
종합자산관리계좌(CMA)	종합/NNG+자산/NNG+관리/NNG+계좌/NNG+(/SS+CMA/SL+)/SS
시장을	시장/NNG+을/JKO
놓고	놓/VV+고/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.2.2
특히 지난 2월 자본시장법 시행 이후 시엠에이를 기반으로 한 서비스가 한층 다양해져 각 증권사들은 기능을 높인 새 상품으로 고객 잡기에 앞다퉈 나서고 있다.

특히	특히/MAG
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
자본시장법	자본/NNG+시장법/NNG
시행	시행/NNG
이후	이후/NNG
시엠에이를	시엠에이/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
서비스가	서비스/NNG+가/JKS
한층	한층/MAG
다양해져	다양/NNG+하/XSA+아/EC+지/VX+어/EC
각	각/MMD
증권사들은	증권사/NNG+들/XSN+은/JX
기능을	기능/NNG+을/JKO
높인	높이/VV+ㄴ/ETM
새	새/MMA
상품으로	상품/NNG+으로/JKB
고객	고객/NNG
잡기에	잡/VV+기/ETN+에/JKB
앞다퉈	앞다투/VV+어/EC
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.2.3
고객 처지에선 한층 개선된 신종 시엠에이가 반갑지만, 자신에게 적합한 상품을 골라내는 일은 더 복잡해지고 있다.

고객	고객/NNG
처지에선	처지/NNG+에서/JKB+ㄴ/JX
한층	한층/MAG
개선된	개선/NNG+되/XSV+ㄴ/ETM
