# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.413
metadata : {}


# id : NWRW1800000038.413.1.1
月소득인정액 83만원(부부는 132만8000원) 넘는 상위 30% 기초연금 못받아

月소득인정액	月/SH+소득/NNG+인정액/NNG
83만원(부부는	83/SN+만/NR+원/NNB+(/SS+부부/NNG+는/JX
132만8000원)	132/SN+만/NR+8000/SN+원/NNB+)/SS
넘는	넘/VV+는/ETM
상위	상위/NNG
30%	30/SN+%/SW
기초연금	기초/NNG+연금/NNG
못받아	못/MAG+받/VV+아/EF


# id : NWRW1800000038.413.2.1
기초연금 정부안 확정 "국민연금 성실 가입자들만 손해" 시민단체들 반발

기초연금	기초/NNG+연금/NNG
정부안	정부안/NNG
확정	확정/NNG
"국민연금	"/SS+국민연금/NNG
성실	성실/NNG
가입자들만	가입자/NNG+들/XSN+만/JX
손해"	손해/NNG+"/SS
시민단체들	시민/NNG+단체/NNG+들/XSN
반발	반발/NNG


# id : NWRW1800000038.413.3.1
내년 7월부터 기초연금이 도입되면 65세 이상 고령자들은 기초연금을 얼마나 받게 될까.

내년	내년/NNG
7월부터	7/SN+월/NNB+부터/JX
기초연금이	기초/NNG+연금/NNG+이/JKS
도입되면	도입/NNG+되/XSV+면/EC
65세	65/SN+세/NNB
이상	이상/NNG
고령자들은	고령자/NNG+들/XSN+은/JX
기초연금을	기초/NNG+연금/NNG+을/JKO
얼마나	얼마나/MAG
받게	받/VV+게/EC
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000038.413.3.2
보건복지부는 기초연금 차등 지급 방식을 국민연금과 연계하겠다고 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
기초연금	기초/NNG+연금/NNG
차등	차등/NNG
지급	지급/NNG
방식을	방식/NNG+을/JKO
국민연금과	국민연금/NNG+과/JKB
연계하겠다고	연계/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.413.3.3
국민연금의 소득재분배 부분을 따져 20만원의 차액을 지급하는 방식이다.

국민연금의	국민연금/NNG+의/JKG
소득재분배	소득/NNG+재/XPN+분배/NNG
부분을	부분/NNG+을/JKO
따져	따지/VV+어/EC
20만원의	20/SN+만/NR+원/NNB+의/JKG
차액을	차액/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.4.1
국민연금의 소득재분배 부분 액수는 가입 기간에 따라 결정된다.

국민연금의	국민연금/NNG+의/JKG
소득재분배	소득/NNG+재/XPN+분배/NNG
부분	부분/NNG
액수는	액수/NNG+는/JX
가입	가입/NNG
기간에	기간/NNG+에/JKB
따라	따르/VV+아/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.4.2
가입 기간이 11년 이하면 기초연금 전액(월 20만원)을 받지만, 그 이상 가입자들은 20만원보다 적은 액수의 기초연금을 받게 된다.

가입	가입/NNG
기간이	기간/NNG+이/JKS
11년	11/SN+년/NNB
이하면	이하/NNG+이/VCP+면/EC
기초연금	기초/NNG+연금/NNG
전액(월	전액/NNG+(/SS+월/NNG
20만원)을	20/SN+만/NR+원/NNB+)/SS+을/JKO
받지만,	받/VV+지만/EC+,/SP
그	그/MMD
이상	이상/NNG
가입자들은	가입자/NNG+들/XSN+은/JX
20만원보다	20/SN+만/NR+원/NNB+보다/JKB
적은	적/VA+은/ETM
액수의	액수/NNG+의/JKG
기초연금을	기초/NNG+연금/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.4.3
이 때문에 국민연금 성실 가입자들이 손해 본다는 불만도 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
국민연금	국민연금/NNG
성실	성실/NNG
가입자들이	가입자/NNG+들/XSN+이/JKS
손해	손해/NNG
본다는	보/VV+ㄴ다는/ETM
불만도	불만/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.4.4
하지만 정부는 "기초연금 재정의 지속 가능성을 위해서는 국민연금과 연계하지 않을 수 없다"는 입장이다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
"기초연금	"/SS+기초/NNG+연금/NNG
재정의	재정/NNG+의/JKG
지속	지속/NNG
가능성을	가능/NNG+성/XSN+을/JKO
위해서는	위하/VV+아서/EC+는/JX
국민연금과	국민연금/NNG+과/JKB
연계하지	연계/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다"는	없/VA+다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.5.1
◇소득 상위 30% 노인은 제외

◇소득	◇/SW+소득/NNG
상위	상위/NNG
30%	30/SN+%/SW
노인은	노인/NNG+은/JX
제외	제외/NNG


# id : NWRW1800000038.413.6.1
기초연금은 우선 소득인정액(소득+재산을 소득으로 환산한 액수)을 따져 대상자를 가른다.

기초연금은	기초/NNG+연금/NNG+은/JX
우선	우선/MAG
소득인정액(소득+재산을	소득/NNG+인정액/NNG+(/SS+소득/NNG++/SW+재산/NNG+을/JKO
소득으로	소득/NNG+으로/JKB
환산한	환산/NNG+하/XSV+ㄴ/ETM
액수)을	액수/NNG+)/SS+을/JKO
따져	따지/VV+어/EC
대상자를	대상자/NNG+를/JKO
가른다.	가르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.6.2
소득 상위 30%는 현행 기초노령연금처럼 기초연금 지급 대상에서 제외된다.

소득	소득/NNG
상위	상위/NNG
30%는	30/SN+%/SW+는/JX
현행	현행/NNG
기초노령연금처럼	기초/NNG+노령/NNG+연금/NNG+처럼/JKB
기초연금	기초/NNG+연금/NNG
지급	지급/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.6.3
이들은 월 소득인정액이 83만원(부부는 132만8000원)이 넘는 경우다.

이들은	이/NP+들/XSN+은/JX
월	월/NNG
소득인정액이	소득/NNG+인정액/NNG+이/JKS
83만원(부부는	83/SN+만/NR+원/NNB+(/SS+부부/NNG+는/JX
132만8000원)이	132/SN+만/NR+8000/SN+원/NNB+)/SS+이/JKS
넘는	넘/VV+는/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.6.4
소득은 근로·사업·연금 소득이 포함된다.

소득은	소득/NNG+은/JX
근로·사업·연금	근로/NNG+·/SP+사업/NNG+·/SP+연금/NNG
소득이	소득/NNG+이/JKS
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.7.1
단 근로소득의 경우, 월급에서 45만원을 뺀 액수를 소득으로 인정한다.

단	단/MAJ
근로소득의	근로/NNG+소득/NNG+의/JKG
경우,	경우/NNG+,/SP
월급에서	월급/NNG+에서/JKB
45만원을	45/SN+만/NR+원/NNB+을/JKO
뺀	빼/VV+ㄴ/ETM
액수를	액수/NNG+를/JKO
소득으로	소득/NNG+으로/JKB
인정한다.	인정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.7.2
노인들의 근로 의욕을 북돋우기 위한 조치다.

노인들의	노인/NNG+들/XSN+의/JKG
근로	근로/NNG
의욕을	의욕/NNG+을/JKO
북돋우기	북돋우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.7.3
소득은 없고 재산만 있는 경우, 서울에서 부동산이 4억6000만원(공시지가)을 넘으면 고소득층으로 인정돼 지급 대상에서 제외된다.

소득은	소득/NNG+은/JX
없고	없/VA+고/EC
재산만	재산/NNG+만/JX
있는	있/VA+는/ETM
경우,	경우/NNG+,/SP
서울에서	서울/NNP+에서/JKB
부동산이	부동산/NNG+이/JKS
4억6000만원(공시지가)을	4/SN+억/NR+6000/SN+만/NR+원/NNB+(/SS+공시/NNG+지가/NNG+)/SS+을/JKO
넘으면	넘/VV+으면/EC
고소득층으로	고/XPN+소득/NNG+층/XSN+으로/JKB
인정돼	인정/NNG+되/XSV+어/EC
지급	지급/NNG
대상에서	대상/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.8.1
◇가입 기간 11년 이내면 20만원

◇가입	◇/SW+가입/NNG
기간	기간/NNG
11년	11/SN+년/NNB
이내면	이내/NNG+이/VCP+면/EC
20만원	20/SN+만/NR+원/NNB


# id : NWRW1800000038.413.9.1
기초연금은 국민연금과 연계해 차등 지급된다.

기초연금은	기초/NNG+연금/NNG+은/JX
국민연금과	국민연금/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
차등	차등/NNG
지급된다.	지급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.9.2
가령 국민연금에 10년간 가입해 월 21만5900원(소득재분배 부분 15만원+소득비례 6만5900원)을 받는 박모(66)씨의 경우를 보자.

가령	가령/MAG
국민연금에	국민연금/NNG+에/JKB
10년간	10/SN+년/NNB+간/XSN
가입해	가입/NNG+하/XSV+아/EC
월	월/NNG
21만5900원(소득재분배	21/SN+만/NR+5900/SN+원/NNB+(/SS+소득/NNG+재/XPN+분배/NNG
부분	부분/NNG
15만원+소득비례	15/SN+만/NR+원/NNB++/SW+소득/NNG+비례/NNG
6만5900원)을	6/SN+만/NR+5900/SN+원/NNB+)/SS+을/JKO
받는	받/VV+는/ETM
박모(66)씨의	박/NNP+모/NP+(/SS+66/SN+)/SS+씨/NNB+의/JKG
경우를	경우/NNG+를/JKO
보자.	보/VV+자/EF+./SF


# id : NWRW1800000038.413.9.3
박씨는 소득 하위 70%에 포함돼 현재 기초노령연금으로 월 9만6800원을 받고 있다.

박씨는	박/NNP+씨/NNB+는/JX
소득	소득/NNG
하위	하위/NNG
70%에	70/SN+%/SW+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
현재	현재/MAG
기초노령연금으로	기초/NNG+노령/NNG+연금/NNG+으로/JKB
월	월/NNG
9만6800원을	9/SN+만/NR+6800/SN+원/NNB+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.413.9.4
기초연금이 도입되면 박씨는 20만원에서 소득재분배 부분(15만원×2/3=10만원)을 뺀 액수에 10만원을 더한 액수를 받게 된다.

기초연금이	기초/NNG+연금/NNG+이/JKS
도입되면	도입/NNG+되/XSV+면/EC
박씨는	박/NNP+씨/NNB+는/JX
20만원에서	20/SN+만/NR+원/NNB+에서/JKB
소득재분배	소득/NNG+재/XPN+분배/NNG
부분(15만원×2/3=10만원)을	부분/NNG+(/SS+15/SN+만/NR+원/NNB+×/SW+2/SN+//SP+3/SN+=/SW+10/SN+만/NR+원/NNB+)/SS+을/JKO
뺀	빼/VV+ㄴ/ETM
액수에	액수/NNG+에/JKB
10만원을	10/SN+만/NR+원/NNB+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
액수를	액수/NNG+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.9.5
그래서 그가 받는 기초연금액은 월 20만원이 된다.

그래서	그래서/MAJ
그가	그/NP+가/JKS
받는	받/VV+는/ETM
기초연금액은	기초/NNG+연금액/NNG+은/JX
월	월/NNG
20만원이	20/SN+만/NR+원/NNB+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.10.1
반면 국민연금 가입 기간이 12년 넘는 사람은 기초연금을 덜 받게 된다.

반면	반면/NNG
국민연금	국민연금/NNG
가입	가입/NNG
기간이	기간/NNG+이/JKS
12년	12/SN+년/NNB
넘는	넘/VV+는/ETM
사람은	사람/NNG+은/JX
기초연금을	기초/NNG+연금/NNG+을/JKO
덜	덜/MAG
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.10.2
국민연금에 13년간 가입해 월 49만9120원(소득재분배 21만원+소득비례 28만9120원)을 받고 있는 김모(67)씨는 박씨보다 적은 16만원의 기초연금을 받게 된다.

국민연금에	국민연금/NNG+에/JKB
13년간	13/SN+년/NNB+간/XSN
가입해	가입/NNG+하/XSV+아/EC
월	월/NNG
49만9120원(소득재분배	49/SN+만/NR+9120/SN+원/NNB+(/SS+소득/NNG+재/XPN+분배/NNG
21만원+소득비례	21/SN+만/NR+원/NNB++/SW+소득/NNG+비례/NNG
28만9120원)을	28/SN+만/NR+9120/SN+원/NNB+)/SS+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김모(67)씨는	김/NNP+모/NP+(/SS+67/SN+)/SS+씨/NNB+는/JX
박씨보다	박/NNP+씨/NNB+보다/JKB
적은	적/VA+은/ETM
16만원의	16/SN+만/NR+원/NNB+의/JKG
기초연금을	기초/NNG+연금/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.413.10.3
20만원에서 그의 소득재분배 부분(21만원×2/3) 액수를 빼고 10만원을 더한 결과다.

20만원에서	20/SN+만/NR+원/NNB+에서/JKB
그의	그/NP+의/JKG
소득재분배	소득/NNG+재/XPN+분배/NNG
부분(21만원×2/3)	부분/NNG+(/SS+21/SN+만/NR+원/NNB+×/SW+2/SN+//SP+3/SN+)/SS
액수를	액수/NNG+를/JKO
빼고	빼/VV+고/EC
10만원을	10/SN+만/NR+원/NNB+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.11.1
이처럼 국민연금과 연계하는 방안은 국민연금에 오래 가입한 사람들이 많아질수록 기초연금 재정이 덜 들어 재정 안정을 확보할 수 있다는 장점이 있다.

이처럼	이/NP+처럼/JKB
국민연금과	국민연금/NNG+과/JKB
연계하는	연계/NNG+하/XSV+는/ETM
방안은	방안/NNG+은/JX
국민연금에	국민연금/NNG+에/JKB
오래	오래/MAG
가입한	가입/NNG+하/XSV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
많아질수록	많아지/VV+ㄹ수록/EC
기초연금	기초/NNG+연금/NNG
재정이	재정/NNG+이/JKS
덜	덜/MAG
들어	들/VV+어/EC
재정	재정/NNG
안정을	안정/NNG+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.413.11.2
반면 국민연금과 연계로 손해 본다는 국민연금 가입자들의 반발이 터져나올 수밖에 없다.

반면	반면/NNG
국민연금과	국민연금/NNG+과/JKB
연계로	연계/NNG+로/JKB
손해	손해/NNG
본다는	보/VV+ㄴ다는/ETM
국민연금	국민연금/NNG
가입자들의	가입자/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
터져나올	터지/VV+어/EC+나오/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.413.12.1
◇시민단체 "공약 후퇴" 반발

◇시민단체	◇/SW+시민/NNG+단체/NNG
"공약	"/SS+공약/NNG
후퇴"	후퇴/NNG+"/SS
반발	반발/NNG


# id : NWRW1800000038.413.13.1
하지만 40~50대들은 불만이 많다.

하지만	하지만/MAJ
40~50대들은	40/SN+~/SO+50/SN+대/NNB+들/XSN+은/JX
불만이	불만/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.413.13.2
현행 기초노령연금법은 2028년까지 월 20만원을 주기로 돼 있는데, 이들은 오히려 국민연금과 연계한 기초연금법 제정으로 받을 돈만 줄게 됐다는 불만이다.

현행	현행/NNG
기초노령연금법은	기초/NNG+노령/NNG+연금법/NNG+은/JX
2028년까지	2028/SN+년/NNB+까지/JX
월	월/NNG
20만원을	20/SN+만/NR+원/NNB+을/JKO
주기로	주/VV+기/ETN+로/JKB
돼	되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
이들은	이/NP+들/XSN+은/JX
오히려	오히려/MAG
국민연금과	국민연금/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
기초연금법	기초/NNG+연금법/NNG
제정으로	제정/NNG+으로/JKB
받을	받/VV+을/ETM
돈만	돈/NNG+만/JX
줄게	줄/VV+게/EC
됐다는	되/VV+었/EP+다는/ETM
불만이다.	불만/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.14.1
지급 대상을 소득 하위 70%로 고정한 것도 문제다.

지급	지급/NNG
대상을	대상/NNG+을/JKO
소득	소득/NNG
하위	하위/NNG
70%로	70/SN+%/SW+로/JKB
고정한	고정/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.14.2
자산을 가진 노인이 늘어나면서, 앞으로 베이비부머 등이 노인이 되는 2030년이 되면 9억원대 재산을 가진 노인들도 소득 하위 70%에 포함될 전망이다.

자산을	자산/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
노인이	노인/NNG+이/JKC
늘어나면서,	늘어나/VV+면서/EC+,/SP
앞으로	앞/NNG+으로/JKB
베이비부머	베이비부머/NNG
등이	등/NNB+이/JKS
되는	되/VV+는/ETM
