# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.19
metadata : {}


# id : NWRW1800000021.19.1.1
산은-한화 ‘대우조선 신경전’ 팽팽

산은-한화	산은/NNP+-/SO+한화/NNP
‘대우조선	‘/SS+대우조선/NNP
신경전’	신경전/NNG+’/SS
팽팽	팽팽/XR


# id : NWRW1800000021.19.2.1
“대우조선해양 인수대금 조달 계획 수정안 다시 제출하라.”(산업은행)

“대우조선해양	“/SS+대우조선해양/NNP
인수대금	인수/NNG+대금/NNG
조달	조달/NNG
계획	계획/NNG
수정안	수정안/NNG
다시	다시/MAG
제출하라.”(산업은행)	제출/NNG+하/XSV+라/EF+./SF+”/SS+(/SS+산업은행/NNP+)/SS


# id : NWRW1800000021.19.3.1
“현재로서는 수정안을 제출할 수 없다.

“현재로서는	“/SS+현재/NNG+로서/JKB+는/JX
수정안을	수정안/NNG+을/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.19.3.2
인수대금 나눠 내겠다.”(한화)

인수대금	인수/NNG+대금/NNG
나눠	나누/VV+어/EC
내겠다.”(한화)	내/VV+겠/EP+다/EF+./SF+”/SS+(/SS+한화/NNP+)/SS


# id : NWRW1800000021.19.4.1
대우조선해양 최대 주주이자 매각 주간사회사인 산업은행과 대우조선 우선협상대상자인 한화가 매각 방안을 두고 팽팽하게 맞서고 있다.

대우조선해양	대우조선해양/NNP
최대	최대/NNG
주주이자	주주/NNG+이/VCP+자/EC
매각	매각/NNG
주간사회사인	주간사/NNG+회사/NNG+이/VCP+ㄴ/ETM
산업은행과	산업은행/NNP+과/JC
대우조선	대우조선/NNP
우선협상대상자인	우선/NNG+협상/NNG+대상자/NNG+이/VCP+ㄴ/ETM
한화가	한화/NNP+가/JKS
방안을	방안/NNG+을/JKO
두고	두/VV+고/EC
팽팽하게	팽팽하/VA+게/EC
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.19.5.1
14일 산업계에 따르면 한화는 대우조선 인수대금 조달계획서를 제출하라는 산은의 요구에 자산 매각 등으로 3조8000억 원을 조달해 인수대금(약 6조4000억 원)의 60%를 우선 납부해 대우조선의 경영권을 확보하고 나머지 40%는 2, 3년에 걸쳐 순차적으로 사겠다는 분할 매입 방안을 제시했다.

14일	14/SN+일/NNB
산업계에	산업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
한화는	한화/NNP+는/JX
대우조선	대우조선/NNP
인수대금	인수/NNG+대금/NNG
조달계획서를	조달/NNG+계획서/NNG+를/JKO
제출하라는	제출/NNG+하/XSV+라는/ETM
산은의	산은/NNP+의/JKG
요구에	요구/NNG+에/JKB
자산	자산/NNG
매각	매각/NNG
등으로	등/NNB+으로/JKB
3조8000억	3/SN+조/NR+8000/SN+억/NR
원을	원/NNB+을/JKO
조달해	조달/NNG+하/XSV+아/EC
인수대금(약	인수/NNG+대금/NNG+(/SS+약/MMA
6조4000억	6/SN+조/NR+4000/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
60%를	60/SN+%/SW+를/JKO
우선	우선/MAG
납부해	납부/NNG+하/XSV+아/EC
대우조선의	대우조선/NNP+의/JKG
경영권을	경영/NNG+권/XSN+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
나머지	나머지/NNG
40%는	40/SN+%/SW+는/JX
2,	2/SN+,/SP
3년에	3/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
순차적으로	순차/NNG+적/XSN+으로/JKB
사겠다는	사/VV+겠/EP+다는/ETM
분할	분할/NNG
매입	매입/NNG
방안을	방안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.19.6.1
한화는 보유하고 있는 현금과 △대한생명 지분 21% △갤러리아백화점 △서울 장교동·소공동 사옥 매각 등으로 4조5000억 원을 마련하는 것이 가능할 것으로 보고 있으며 매각 자산의 가격이 줄더라도 최소 3조8000억 원은 될 것이라는 설명이다.

한화는	한화/NNP+는/JX
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
현금과	현금/NNG+과/JC
△대한생명	△/SW+대한생명/NNP
지분	지분/NNG
21%	21/SN+%/SW
△갤러리아백화점	△/SW+갤러리아백화점/NNP
△서울	△/SW+서울/NNP
장교동·소공동	장교동/NNP+·/SP+소공동/NNP
사옥	사옥/NNG
매각	매각/NNG
등으로	등/NNB+으로/JKB
4조5000억	4/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있으며	있/VX+으며/EC
자산의	자산/NNG+의/JKG
가격이	가격/NNG+이/JKS
줄더라도	줄/VV+더라도/EC
최소	최소/NNG
3조8000억	3/SN+조/NR+8000/SN+억/NR
원은	원/NNB+은/JX
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.19.7.1
실제로 자산관리공사와 예금보험공사는 각각 대우캐피탈과 예금보험공사를 분할 매각한 선례가 있다.

실제로	실제로/MAG
자산관리공사와	자산관리공사/NNP+와/JC
예금보험공사는	예금보험공사/NNP+는/JX
각각	각각/MAG
대우캐피탈과	대우캐피탈/NNP+과/JC
예금보험공사를	예금보험공사/NNP+를/JKO
분할	분할/NNG
매각한	매각/NNG+하/XSV+ㄴ/ETM
선례가	선례/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.19.7.2
이에 대해 산은은 12일 한화 측에 e메일로 보낸 공문을 통해 “자금 분납은 3월 말까지 인수대금을 완납한다는 양해각서(MOU)를 수정해야 하기 때문에 불가능하다. 자금 조달 방안이 만족스럽지 않다”며 한화의 제안을 사실상 거절했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
산은은	산은/NNP+은/JX
12일	12/SN+일/NNB
한화	한화/NNP
측에	측/NNB+에/JKB
e메일로	e/SL+메일/NNG+로/JKB
보낸	보내/VV+ㄴ/ETM
공문을	공문/NNG+을/JKO
통해	통하/VV+아/EC
“자금	“/SS+자금/NNG
분납은	분납/NNG+은/JX
3월	3/SN+월/NNB
말까지	말/NNB+까지/JX
인수대금을	인수/NNG+대금/NNG+을/JKO
완납한다는	완납/NNG+하/XSV+ㄴ다는/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
수정해야	수정/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF
자금	자금/NNG
조달	조달/NNG
방안이	방안/NNG+이/JKS
만족스럽지	만족/NNG+스럽/XSA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
한화의	한화/NNP+의/JKG
제안을	제안/NNG+을/JKO
사실상	사실/NNG+상/XSN
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.19.8.1
한화 측은 “자금 조달 계획에 최대한 성의를 보였는데 산은은 수정안에 대해 자산가격을 조정하는 등의 협상도 하지 않은 채 일방적으로 공문만 보냈다”며 “과연 산은이 대우조선을 팔 의지가 있는지 의심스럽다”고 말했다.

한화	한화/NNP
측은	측/NNB+은/JX
“자금	“/SS+자금/NNG
조달	조달/NNG
계획에	계획/NNG+에/JKB
최대한	최대한/MAG
성의를	성의/NNG+를/JKO
보였는데	보이/VV+었/EP+는데/EC
산은은	산은/NNP+은/JX
수정안에	수정안/NNG+에/JKB
대해	대하/VV+아/EC
자산가격을	자산/NNG+가격/NNG+을/JKO
조정하는	조정/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
협상도	협상/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
일방적으로	일방/NNG+적/XSN+으로/JKB
공문만	공문/NNG+만/JX
보냈다”며	보내/VV+었/EP+다/EF+”/SS+며/EC
“과연	“/SS+과연/MAG
산은이	산은/NNP+이/JKS
대우조선을	대우조선/NNP+을/JKO
팔	팔/VV+ㄹ/ETM
의지가	의지/NNG+가/JKS
있는지	있/VA+는지/EF
의심스럽다”고	의심/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.19.9.1
이에 따라 이달 30일로 본계약 마감 시한이 다가온 가운데 양측이 합의점을 찾지 못하면 한화는 이행보증금으로 납부한 3000억 원을 몰취(沒取) 당하고 인수계약이 파기될 가능성도 배제할 수 없다는 전망도 나오고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이달	이달/NNG
30일로	30/SN+일/NNB+로/JKB
본계약	본계약/NNG
마감	마감/NNG
시한이	시한/NNG+이/JKS
다가온	다가오/VV+ㄴ/ETM
가운데	가운데/NNG
양측이	양측/NNG+이/JKS
합의점을	합의점/NNG+을/JKO
찾지	찾/VV+지/EC
못하면	못하/VX+면/EC
한화는	한화/NNP+는/JX
이행보증금으로	이행/NNG+보증금/NNG+으로/JKB
납부한	납부/NNG+하/XSV+ㄴ/ETM
3000억	3000/SN+억/NR
원을	원/NNB+을/JKO
몰취(沒取)	몰취/NNG+(/SS+沒取/SH+)/SS
당하고	당하/VV+고/EC
인수계약이	인수/NNG+계약/NNG+이/JKS
파기될	파기/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.19.10.1
양측이 인수대금 납부 방안에 대해 합의를 해도 현재 노조의 반대로 진행되지 않고 있는 대우조선 실사문제와 대우조선 추가 부실 가능성 등 난관도 적지 않은 상황이어서 협상을 더욱 어렵게 하고 있다.

양측이	양측/NNG+이/JKS
인수대금	인수/NNG+대금/NNG
납부	납부/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
합의를	합의/NNG+를/JKO
해도	하/VV+아도/EC
현재	현재/MAG
노조의	노조/NNG+의/JKG
반대로	반대/NNG+로/JKB
진행되지	진행/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
대우조선	대우조선/NNP
실사문제와	실사/NNG+문제/NNG+와/JC
추가	추가/NNG
부실	부실/NNG
가능성	가능/NNG+성/XSN
등	등/NNB
난관도	난관/NNG+도/JX
적지	적/VA+지/EC
않은	않/VX+은/ETM
