# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.327
metadata : {}


# id : NWRW1800000046.327.1.1
사드(高고도 미사일 방어체계) 배치땐 평택에 1개 포대 유력… "구매 아니라 주한미군用"

사드(高고도	사드/NNG+(/SS+高/SH+고도/NNG
미사일	미사일/NNG
방어체계)	방어/NNG+체계/NNG+)/SS
배치땐	배치/NNG+때/NNG+ㄴ/JX
평택에	평택/NNP+에/JKB
1개	1/SN+개/NNB
포대	포대/NNG
유력…	유력/NNG+…/SE
"구매	"/SS+구매/NNG
아니라	아니/VCN+라/EC
주한미군用"	주한/NNG+미군/NNG+用/SH+"/SS


# id : NWRW1800000046.327.2.1
韓美, 내달 논의 가능성, 용산기지 이전될 평택 1순위… 1개 포대에 1조~2조원

韓美,	韓美/SH+,/SP
내달	내달/NNG
논의	논의/NNG
가능성,	가능/NNG+성/XSN+,/SP
용산기지	용산기지/NNP
이전될	이전/NNG+되/XSV+ㄹ/ETM
평택	평택/NNP
1순위…	1/SN+순위/NNG+…/SE
1개	1/SN+개/NNB
포대에	포대/NNG+에/JKB
1조~2조원	1/SN+조/NR+~/SO+2/SN+조/NR+원/NNB


# id : NWRW1800000046.327.3.1
다음 달 중 미 국방·국무장관이 방한하고 미 워싱턴에서 한·미 국방 고위급 협의체 회의가 열리면서 고(高)고도 요격 미사일인 사드(THAAD)의 주한 미군 배치 문제가 처음으로 공식 논의될 가능성이 높다.

다음	다음/NNG
달	달/NNG
중	중/NNB
미	미/NNP
국방·국무장관이	국방/NNG+·/SP+국무/NNG+장관/NNG+이/JKS
방한하고	방한/NNG+하/XSV+고/EC
워싱턴에서	워싱턴/NNP+에서/JKB
한·미	한·미/NNP
국방	국방/NNG
고위급	고위급/NNG
협의체	협의체/NNG
회의가	회의/NNG+가/JKS
열리면서	열리/VV+면서/EC
고(高)고도	고/XPN+(/SS+高/SH+)/SS+고도/NNG
요격	요격/NNG
미사일인	미사일/NNG+이/VCP+ㄴ/ETM
사드(THAAD)의	사드/NNG+(/SS+THAAD/SL+)/SS+의/JKG
주한	주한/NNG
미군	미군/NNG
배치	배치/NNG
문제가	문제/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
공식	공식/NNG
논의될	논의/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.327.3.2
국방부는 외교가 아닌 안보 차원에서 사드 필요성을 검토하고 '우리 정부의 판단'에 따라 최종 결정을 하겠다는 입장을 밝히면서 중국 측을 최대한 설득할 것으로 알려졌다.

국방부는	국방부/NNG+는/JX
외교가	외교/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
안보	안보/NNG
차원에서	차원/NNG+에서/JKB
사드	사드/NNG
필요성을	필요/NNG+성/XSN+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
'우리	'/SS+우리/NP
정부의	정부/NNG+의/JKG
판단'에	판단/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
최종	최종/NNG
결정을	결정/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
입장을	입장/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
중국	중국/NNP
측을	측/NNB+을/JKO
최대한	최대한/MAG
설득할	설득/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.327.3.3
따라서 앞으로 사드 배치 지역과 규모, 비용 부담 문제가 쟁점으로 떠오를 것으로 보인다.

따라서	따라서/MAJ
앞으로	앞/NNG+으로/JKB
사드	사드/NNG
배치	배치/NNG
지역과	지역/NNG+과/JC
규모,	규모/NNG+,/SP
비용	비용/NNG
부담	부담/NNG
문제가	문제/NNG+가/JKS
쟁점으로	쟁점/NNG+으로/JKB
떠오를	떠오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.327.4.1
국방부 주변에선 사드 포대가 경기도 평택 기지에 배치될 가능성이 가장 높다는 분석이 나온다.

국방부	국방부/NNG
주변에선	주변/NNG+에서/JKB+ㄴ/JX
사드	사드/NNG
포대가	포대/NNG+가/JKS
경기도	경기도/NNP
평택	평택/NNP
기지에	기지/NNG+에/JKB
배치될	배치/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
가장	가장/MAG
높다는	높/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.327.4.2
사드 배치의 주목적은 유사시 북한의 핵·미사일 공격으로부터 주한 미군 기지 및 시설·병력을 보호하는 것이다.

사드	사드/NNG
배치의	배치/NNG+의/JKG
주목적은	주목적/NNG+은/JX
유사시	유사시/NNG
북한의	북한/NNP+의/JKG
핵·미사일	핵/NNG+·/SP+미사일/NNG
공격으로부터	공격/NNG+으로부터/JKB
주한	주한/NNG
미군	미군/NNG
기지	기지/NNG
및	및/MAG
시설·병력을	시설/NNG+·/SP+병력/NNG+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.4.3
평택의 캠프 험프리엔 내년까지 용산 기지 내 주한미군사령부, 미 8군사령부 등과 전방 지역의 미 2사단 사령부가 모두 옮겨 온다.

평택의	평택/NNP+의/JKG
캠프	캠프/NNG
험프리엔	험프리/NNP+에/JKB+ㄴ/JX
내년까지	내년/NNG+까지/JX
용산	용산/NNP
기지	기지/NNG
내	내/NNB
주한미군사령부,	주한/NNG+미군/NNG+사령부/NNG+,/SP
미	미/NNP
8군사령부	8/SN+군사령부/NNG
등과	등/NNB+과/JC
전방	전방/NNG
지역의	지역/NNG+의/JKG
2사단	2/SN+사단/NNG
사령부가	사령부/NNG+가/JKS
모두	모두/MAG
옮겨	옮기/VV+어/EC
온다.	오/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.327.4.4
명실상부한 주한 미군의 두뇌이자 심장부가 되는 것이다.

명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
주한	주한/NNG
미군의	미군/NNG+의/JKG
두뇌이자	두뇌/NNG+이/VCP+자/EC
심장부가	심장부/NNG+가/JKC
되는	되/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.4.5
오산 기지 등에 배치돼 있는 패트리엇 PAC-3 미사일로는 북 탄도미사일 공격을 제대로 막아내기 어렵기 때문에 사드 배치를 통해 다층(多層)의 방어망을 구성할 필요가 있다.

오산	오산/NNP
기지	기지/NNG
등에	등/NNB+에/JKB
배치돼	배치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
패트리엇	패트리엇/NNG
PAC-3	PAC/SL+-/SO+3/SN
미사일로는	미사일/NNG+로/JKB+는/JX
북	북/NNP
탄도미사일	탄도/NNG+미사일/NNG
공격을	공격/NNG+을/JKO
제대로	제대로/MAG
막아내기	막/VV+아/EC+내/VX+기/ETN
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
사드	사드/NNG
배치를	배치/NNG+를/JKO
통해	통하/VV+아/EC
다층(多層)의	다층/NNG+(/SS+多層/SH+)/SS+의/JKG
방어망을	방어망/NNG+을/JKO
구성할	구성/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.327.5.1
일각에선 강원도 원주, 부산 기장 지역 등이 미군의 비공식적인 사드 배치 후보지가 될 수 있다는 얘기가 나온다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
강원도	강원도/NNP
원주,	원주/NNP+,/SP
부산	부산/NNP
기장	기장/NNP
지역	지역/NNG
등이	등/NNB+이/JKS
미군의	미군/NNG+의/JKG
비공식적인	비/XPN+공식/NNG+적/XSN+이/VCP+ㄴ/ETM
사드	사드/NNG
배치	배치/NNG
후보지가	후보지/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.327.5.2
부산 기장은 유사시 우리 원자력발전소를 북한의 미사일 공격으로부터 보호하기 위해 배치 가능성이 있다는 것이다.

부산	부산/NNP
기장은	기장/NNP+은/JX
유사시	유사시/NNG
우리	우리/NP
원자력발전소를	원자력/NNG+발전소/NNG+를/JKO
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
공격으로부터	공격/NNG+으로부터/JKB
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
배치	배치/NNG
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.5.3
하지만 사드 배치의 최우선 목적이 주한 미군 보호이기 때문에 우리 후방 지역에 배치될 가능성은 높지 않다는 게 대체적인 분석이다.

하지만	하지만/MAJ
사드	사드/NNG
배치의	배치/NNG+의/JKG
최우선	최/XPN+우선/NNG
목적이	목적/NNG+이/JKS
주한	주한/NNG
미군	미군/NNG
보호이기	보호/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
우리	우리/NP
후방	후방/NNG
지역에	지역/NNG+에/JKB
배치될	배치/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
높지	높/VA+지/EC
않다는	않/VX+다는/ETM
게	거/NNB+이/JKS
대체적인	대체/NNG+적/XSN+이/VCP+ㄴ/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.5.4
군 소식통은 "전면전 땐 우리 원전 보호 등을 위해 사드 증원(增援) 부대 일부가 후방에 배치될 수 있지만 평상시엔 가능성이 낮다"고 말했다.

군	군/NNG
소식통은	소식통/NNG+은/JX
"전면전	"/SS+전면전/NNG
땐	때/NNG+ㄴ/JX
우리	우리/NP
원전	원전/NNG
보호	보호/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
사드	사드/NNG
증원(增援)	증원/NNG+(/SS+增援/SH+)/SS
부대	부대/NNG
일부가	일부/NNG+가/JKS
후방에	후방/NNG+에/JKB
배치될	배치/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
평상시엔	평상시/NNG+에/JKB+ㄴ/JX
가능성이	가능/NNG+성/XSN+이/JKS
낮다"고	낮/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.327.6.1
실제로 주한 미군에 64기가 배치돼 있는 패트리엇 PAC-2·3 미사일도 주한 미군 보호를 위해 오산·수원·왜관 등 미군 기지에 배치돼 있다.

실제로	실제로/MAG
주한	주한/NNG
미군에	미군/NNG+에/JKB
64기가	64/SN+기/NNB+가/JKS
배치돼	배치/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
패트리엇	패트리엇/NNG
PAC-2·3	PAC/SL+-/SO+2/SN+·/SP+3/SN
미사일도	미사일/NNG+도/JX
미군	미군/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
오산·수원·왜관	오산/NNP+·/SP+수원/NNP+·/SP+왜관/NNP
등	등/NNB
기지에	기지/NNG+에/JKB
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.327.6.2
배치 지역 결정에는 사드 레이더가 내는 강력한 전파 문제도 고려 요소가 될 것으로 알려졌다.

배치	배치/NNG
지역	지역/NNG
결정에는	결정/NNG+에/JKB+는/JX
사드	사드/NNG
레이더가	레이더/NNG+가/JKS
내는	내/VV+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
전파	전파/NNG
문제도	문제/NNG+도/JX
고려	고려/NNG
요소가	요소/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.327.6.3
사드 레이더는 수송기나 트레일러로 옮길 수 있을 정도로 작지만 2만5344개에 달하는 송수신 소자(素子)가 쏘아대는 강력한 전파 때문에 2.4~5.5㎞ 내에 있는 차량과 항공기 전자 장비가 훼손될 수 있다.

사드	사드/NNG
레이더는	레이더/NNG+는/JX
수송기나	수송기/NNG+나/JC
트레일러로	트레일러/NNG+로/JKB
옮길	옮기/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
작지만	작/VA+지만/EC
2만5344개에	2/SN+만/NR+5344/SN+개/NNB+에/JKB
