# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.374
metadata : {}


# id : NWRW1800000022.374.1.1
폭락설에서 폭등설까지… 널뛰는 한국 부동산 시장 전망;"근거없는 부동산 불패론·폭락론은 무책임한 선전선동일 뿐"

폭락설에서	폭락설/NNG+에서/JKB
폭등설까지…	폭등설/NNG+까지/JX+…/SE
널뛰는	널뛰/VV+는/ETM
한국	한국/NNP
부동산	부동산/NNG
시장	시장/NNG
전망;"근거없는	전망/NNG+;/SP+"/SS+근거/NNG+없/VA+는/ETM
불패론·폭락론은	불패/NNG+론/XSN+·/SP+폭락/NNG+론/XSN+은/JX
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
선전선동일	선전/NNG+선동/NNG+이/VCP+ㄹ/ETM
뿐"	뿐/NNB+"/SS


# id : NWRW1800000022.374.2.1
글로벌 금융위기 이후 폭락세를 보이던 집값이 서울 강남권 등을 중심으로 4월부터 급등세를 보이면서 집값 논쟁이 다시 불붙고 있다.

글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
폭락세를	폭락세/NNG+를/JKO
보이던	보이/VV+던/ETM
집값이	집값/NNG+이/JKS
서울	서울/NNP
강남권	강남/NNP+권/XSN
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
4월부터	4/SN+월/NNB+부터/JX
급등세를	급등세/NNG+를/JKO
보이면서	보이/VV+면서/EC
집값	집값/NNG
논쟁이	논쟁/NNG+이/JKS
다시	다시/MAG
불붙고	불붙/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.3.1
국민은행 조사로는 올 들어 9월까지 전국 1.2%, 서울 2.7% 상승률을 기록했지만, 강남구는 6.3%의 급등세를 보였다.

국민은행	국민은행/NNP
조사로는	조사/NNG+로/JKB+는/JX
올	올/NNG
들어	들/VV+어/EC
9월까지	9/SN+월/NNB+까지/JX
전국	전국/NNG
1.2%,	1/SN+./SP+2/SN+%/SW+,/SP
서울	서울/NNP
2.7%	2/SN+./SP+7/SN+%/SW
상승률을	상승/NNG+률/XSN+을/JKO
기록했지만,	기록/NNG+하/XSV+았/EP+지만/EC+,/SP
강남구는	강남구/NNP+는/JX
6.3%의	6/SN+./SP+3/SN+%/SW+의/JKG
급등세를	급등세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.3.2
집값 오름세가 수도권으로 확산될 가능성이 제기되자 일부 부동산 전문가는 "지금이 집을 살 수 있는 마지막 기회"라고 단언하고 있다.

집값	집값/NNG
오름세가	오름세/NNG+가/JKS
수도권으로	수도/NNG+권/XSN+으로/JKB
확산될	확산/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
일부	일부/NNG
부동산	부동산/NNG
전문가는	전문가/NNG+는/JX
"지금이	"/SS+지금/NNG+이/JKS
집을	집/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
기회"라고	기회/NNG+"/SS+라고/JKQ
단언하고	단언/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.3.3
노무현 정부의 규제 위주 정책으로 주택 공급이 감소한 데다, 급속한 경기 회복, 저(低)금리가 합쳐지면서 결국 부동산으로 돈이 몰릴 수밖에 없다는 논리이다.

노무현	노무현/NNP
정부의	정부/NNG+의/JKG
규제	규제/NNG
위주	위주/NNG
정책으로	정책/NNG+으로/JKB
주택	주택/NNG
공급이	공급/NNG+이/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
급속한	급속/NNG+하/XSA+ㄴ/ETM
경기	경기/NNG
회복,	회복/NNG+,/SP
저(低)금리가	저/XPN+(/SS+低/SH+)/SS+금리/NNG+가/JKS
합쳐지면서	합치/VV+어/EC+지/VX+면서/EC
결국	결국/MAG
부동산으로	부동산/NNG+으로/JKB
돈이	돈/NNG+이/JKS
몰릴	몰리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
논리이다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.4.1
그러나 다른 한편에서는 '한국 집값은 반 토막 난다'는 주장을 담은 책이 베스트셀러에 오르는 등 부동산 폭락론도 목소리를 키우고 있다.

그러나	그러나/MAJ
다른	다른/MMD
한편에서는	한편/NNG+에서/JKB+는/JX
'한국	'/SS+한국/NNP
집값은	집값/NNG+은/JX
반	반/NNG
토막	토막/NNG
난다'는	나/VV+ㄴ다/EF+'/SS+는/ETM
주장을	주장/NNG+을/JKO
담은	담/VV+은/ETM
책이	책/NNG+이/JKS
베스트셀러에	베스트셀러/NNG+에/JKB
오르는	오르/VV+는/ETM
등	등/NNB
부동산	부동산/NNG
폭락론도	폭락/NNG+론/XSN+도/JX
목소리를	목소리/NNG+를/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.4.2
