# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.350
metadata : {}


# id : NWRW1800000026.350.1.1
TV프로 '영재의 비법 시즌2' 70일 맞춤 학습법 소개;논리적 성향인 아이에겐 잔소리는 그만

TV프로	TV/SL+프로/NNG
'영재의	'/SS+영재/NNG+의/JKG
비법	비법/NNG
시즌2'	시즌/NNG+2/SN+'/SS
70일	70/SN+일/NNB
맞춤	맞춤/NNG
학습법	학습법/NNG
소개;논리적	소개/NNG+;/SP+논리/NNG+적/XSN
성향인	성향/NNG+이/VCP+ㄴ/ETM
아이에겐	아이/NNG+에게/JKB+ㄴ/JX
잔소리는	잔소리/NNG+는/JX
그만	그만/MAG


# id : NWRW1800000026.350.2.1
케이블 채널 스토리온에서 방송하는 아이들의 두뇌 계발 과정을 담은 리얼리티 프로그램 '영재의 비법 시즌2(매주 목요일 밤 12시 방송)'는 각기 다른 다섯 가정에 맞춤 학습법 제시는 물론 변화과정을 그대로 담아 30·40대 여성시청자들의 호응을 얻고 있다.

케이블	케이블/NNG
채널	채널/NNG
스토리온에서	스토리온/NNP+에서/JKB
방송하는	방송/NNG+하/XSV+는/ETM
아이들의	아이/NNG+들/XSN+의/JKG
두뇌	두뇌/NNG
계발	계발/NNG
과정을	과정/NNG+을/JKO
담은	담/VV+은/ETM
리얼리티	리얼리티/NNG
프로그램	프로그램/NNG
'영재의	'/SS+영재/NNG+의/JKG
비법	비법/NNG
시즌2(매주	시즌/NNG+2/SN+(/SS+매주/MAG
목요일	목요일/NNG
밤	밤/NNG
12시	12/SN+시/NNB
방송)'는	방송/NNG+)/SS+'/SS+는/JX
각기	각기/MAG
다른	다른/MMD
다섯	다섯/NR
가정에	가정/NNG+에/JKB
맞춤	맞춤/NNG
학습법	학습법/NNG
제시는	제시/NNG+는/JX
물론	물론/MAG
변화과정을	변화/NNG+과정/NNG+을/JKO
그대로	그대로/MAG
담아	담/VV+아/EC
30·40대	30/SN+·/SP+40/SN+대/NNB
여성시청자들의	여성/NNG+시청자/NNG+들/XSN+의/JKG
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.350.2.2
대한민국 학습유형을 대표하는 다섯 가정에 제시한 전문가들의 객관적인 진단과 맞춤 학습법이 화제가 되고 있다.

대한민국	대한민국/NNP
학습유형을	학습/NNG+유형/NNG+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
다섯	다섯/NR
가정에	가정/NNG+에/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
전문가들의	전문가/NNG+들/XSN+의/JKG
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
진단과	진단/NNG+과/JC
맞춤	맞춤/NNG
학습법이	학습법/NNG+이/JKS
화제가	화제/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.350.2.3
방송에서는 70일간 맞춤 학습법을 실천하는 가정의 모습을 그대로 다룬다.

방송에서는	방송/NNG+에서/JKB+는/JX
70일간	70/SN+일/NNB+간/XSN
맞춤	맞춤/NNG
학습법을	학습법/NNG+을/JKO
실천하는	실천/NNG+하/XSV+는/ETM
가정의	가정/NNG+의/JKG
모습을	모습/NNG+을/JKO
그대로	그대로/MAG
다룬다.	다루/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.350.3.1
먼저 전문가들도 인정한 모범 아빠인 배우 정은표씨 가정은 그간 정씨의 노력이 아이들의 정서적인 면과 두뇌발달에 효과가 좋았다는 진단이 내려졌다.

먼저	먼저/MAG
전문가들도	전문가/NNG+들/XSN+도/JX
인정한	인정/NNG+하/XSV+ㄴ/ETM
모범	모범/NNG
아빠인	아빠/NNG+이/VCP+ㄴ/ETM
배우	배우/NNG
정은표씨	정은표/NNP+씨/NNB
가정은	가정/NNG+은/JX
그간	그/NP+간/XSN
정씨의	정/NNP+씨/NNB+의/JKG
노력이	노력/NNG+이/JKS
아이들의	아이/NNG+들/XSN+의/JKG
정서적인	정서/NNG+적/XSN+이/VCP+ㄴ/ETM
면과	면/NNG+과/JC
두뇌발달에	두뇌/NNG+발달/NNG+에/JKB
효과가	효과/NNG+가/JKS
좋았다는	좋/VA+았/EP+다는/ETM
진단이	진단/NNG+이/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.350.3.2
정씨는 자녀가 좋아하는 장소로 꾸준히 현장학습을 나가는 것은 물론 스킨십도 자주 한다.

정씨는	정/NNP+씨/NNB+는/JX
자녀가	자녀/NNG+가/JKS
좋아하는	좋아하/VV+는/ETM
장소로	장소/NNG+로/JKB
꾸준히	꾸준히/MAG
현장학습을	현장/NNG+학습/NNG+을/JKO
나가는	나가/VV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
스킨십도	스킨십/NNG+도/JX
자주	자주/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.350.3.3
아들 정지웅군의 두뇌유형 검사결과 우뇌·좌뇌가 고루 발달했다는 결과가 나왔다.

아들	아들/NNG
정지웅군의	정지웅/NNP+군/NNB+의/JKG
두뇌유형	두뇌/NNG+유형/NNG
검사결과	검사/NNG+결과/NNG
우뇌·좌뇌가	우뇌/NNG+·/SP+좌뇌/NNG+가/JKS
고루	고루/MAG
발달했다는	발달/NNG+하/XSV+았/EP+다는/ETM
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.3.4
단 책을 많이 읽는 아들 정군과, 책을 싫어하는 딸 정하은양을 비교하기보다는 칭찬을 통해 약점을 보완하는 '남매 칭찬법'을 활용하라고 추천받았다.

단	단/MAJ
책을	책/NNG+을/JKO
많이	많이/MAG
읽는	읽/VV+는/ETM
아들	아들/NNG
정군과,	정/NNP+군/NNB+과/JC+,/SP
싫어하는	싫어하/VV+는/ETM
딸	딸/NNG
정하은양을	정하은/NNP+양/NNB+을/JKO
비교하기보다는	비교/NNG+하/XSV+기/ETN+보다/JKB+는/JX
칭찬을	칭찬/NNG+을/JKO
통해	통하/VV+아/EC
약점을	약점/NNG+을/JKO
보완하는	보완/NNG+하/XSV+는/ETM
'남매	'/SS+남매/NNG
칭찬법'을	칭찬법/NNG+'/SS+을/JKO
활용하라고	활용/NNG+하/XSV+라고/EC
추천받았다.	추천/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.4.1
엄마의 공부하라는 말을 잔소리쯤으로 여기고 책읽기만 좋아하는 초2 이제민군의 가정에는 '잔소리 타임아웃제'라는 처방이 내려졌다.

엄마의	엄마/NNG+의/JKG
공부하라는	공부/NNG+하/XSV+라는/ETM
말을	말/NNG+을/JKO
잔소리쯤으로	잔소리/NNG+쯤/XSN+으로/JKB
여기고	여기/VV+고/EC
책읽기만	책/NNG+읽/VV+기/ETN+만/JX
좋아하는	좋아하/VV+는/ETM
초2	초/NNG+2/SN
이제민군의	이제민/NNP+군/NNB+의/JKG
가정에는	가정/NNG+에/JKB+는/JX
'잔소리	'/SS+잔소리/NNG
타임아웃제'라는	타임아웃/NNG+제/XSN+'/SS+이/VCP+라는/ETM
처방이	처방/NNG+이/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.350.4.2
논리적인 성향이 강한 제민군에게는 감정보다는 논리로 대응해야 하기 때문이다.

논리적인	논리/NNG+적/XSN+이/VCP+ㄴ/ETM
성향이	성향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
제민군에게는	제민/NNP+군/NNB+에게/JKB+는/JX
감정보다는	감정/NNG+보다/JKB+는/JX
논리로	논리/NNG+로/JKB
대응해야	대응/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.350.4.3
감정적인 엄마의 간섭은 오히려 아이의 화만 돋울 가능성이 크다.

감정적인	감정/NNG+적/XSN+이/VCP+ㄴ/ETM
엄마의	엄마/NNG+의/JKG
간섭은	간섭/NNG+은/JX
오히려	오히려/MAG
아이의	아이/NNG+의/JKG
화만	화/NNG+만/JX
돋울	돋우/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000026.350.4.4
'잔소리 타임아웃제'란 엄마가 지나친 잔소리를 할 경우 제민이는 스톱을 외치고 이유를 3가지 제시한다.

'잔소리	'/SS+잔소리/NNG
타임아웃제'란	타임아웃/NNG+제/XSN+'/SS+이/VCP+란/ETM
엄마가	엄마/NNG+가/JKS
지나친	지나치/VA+ㄴ/ETM
잔소리를	잔소리/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
제민이는	제민이/NNP+는/JX
스톱을	스톱/NNG+을/JKO
외치고	외치/VV+고/EC
이유를	이유/NNG+를/JKO
3가지	3/SN+가지/NNB
제시한다.	제시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.350.4.5
그 이유를 들은 엄마가 타당하다고 여길 경우 잔소리를 그치는 형식이다.

그	그/MMD
이유를	이유/NNG+를/JKO
들은	듣/VV+은/ETM
엄마가	엄마/NNG+가/JKS
타당하다고	타당하/VA+다고/EC
여길	여기/VV+ㄹ/ETM
경우	경우/NNG
잔소리를	잔소리/NNG+를/JKO
그치는	그치/VV+는/ETM
형식이다.	형식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.350.5.1
공부보다는 외모에 신경을 쓰는 이어진양의 가정에는 시각을 자극하는 두뇌계발법을 추천했다.

공부보다는	공부/NNG+보다/JKB+는/JX
외모에	외모/NNG+에/JKB
