# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.306
metadata : {}


# id : NWRW1800000041.306.1.1
전세계약 연장때 추가대출 원리금도 소득공제

전세계약	전세/NNG+계약/NNG
연장때	연장/NNG+때/NNG
추가대출	추가/NNG+대출/NNG
원리금도	원리금/NNG+도/JX
소득공제	소득/NNG+공제/NNG


# id : NWRW1800000041.306.2.1
2월 21일부터 시행

2월	2/SN+월/NNB
21일부터	21/SN+일/NNB+부터/JX
시행	시행/NNG


# id : NWRW1800000041.306.3.1
다음 달 21일부터 전세 계약을 갱신하면서 추가로 대출한 자금의 원리금 상환액도 소득공제 대상에 포함된다.

다음	다음/NNG
달	달/NNG
21일부터	21/SN+일/NNB+부터/JX
전세	전세/NNG
계약을	계약/NNG+을/JKO
갱신하면서	갱신/NNG+하/XSV+면서/EC
추가로	추가/NNG+로/JKB
대출한	대출/NNG+하/XSV+ㄴ/ETM
자금의	자금/NNG+의/JKG
원리금	원리금/NNG
상환액도	상환액/NNG+도/JX
소득공제	소득/NNG+공제/NNG
대상에	대상/NNG+에/JKB
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.306.3.2
지금까지는 전셋집에 처음 이사한 시기에 빌린 자금만 소득공제 혜택을 받을 수 있었다.

지금까지는	지금/NNG+까지/JX+는/JX
전셋집에	전셋집/NNG+에/JKB
처음	처음/NNG
이사한	이사/NNG+하/XSV+ㄴ/ETM
시기에	시기/NNG+에/JKB
빌린	빌리/VV+ㄴ/ETM
자금만	자금/NNG+만/JX
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.306.4.1
기획재정부는 이런 내용이 포함된 소득세법 시행령 개정안을 2월 21일부터 시행하기로 했다고 26일 밝혔다.

기획재정부는	기획/NNG+재정부/NNG+는/JX
이런	이런/MMD
내용이	내용/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
소득세법	소득세법/NNG
시행령	시행령/NNG
개정안을	개정안/NNG+을/JKO
2월	2/SN+월/NNB
21일부터	21/SN+일/NNB+부터/JX
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.306.4.2
현행 시행령에 규정된 전세 소득공제 대상은 ‘입주일이나 전입일 중 빠른 날을 기준으로 3개월 이내에 차입한 자금의 상환액’이다.

현행	현행/NNG
시행령에	시행령/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
전세	전세/NNG
소득공제	소득/NNG+공제/NNG
대상은	대상/NNG+은/JX
‘입주일이나	‘/SS+입주일/NNG+이나/JC
전입일	전입일/NNG
중	중/NNB
빠른	빠르/VA+ㄴ/ETM
날을	날/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
3개월	3/SN+개월/NNB
이내에	이내/NNG+에/JKB
차입한	차입/NNG+하/XSV+ㄴ/ETM
자금의	자금/NNG+의/JKG
상환액’이다.	상환액/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.306.4.3
이 기준 때문에 전세 계약을 연장하면서 전세금이 올라 새로 대출을 받거나, 다른 전셋집으로 이사하면서 원래 대출을 유지하는 사람은 소득공제 혜택을 받지 못했다.

이	이/MMD
기준	기준/NNG
때문에	때문/NNB+에/JKB
전세	전세/NNG
계약을	계약/NNG+을/JKO
연장하면서	연장/NNG+하/XSV+면서/EC
전세금이	전세금/NNG+이/JKS
올라	오르/VV+아/EC
새로	새로/MAG
대출을	대출/NNG+을/JKO
받거나,	받/VV+거나/EC+,/SP
다른	다른/MMD
전셋집으로	전셋집/NNG+으로/JKB
이사하면서	이사/NNG+하/XSV+면서/EC
원래	원래/MAG
유지하는	유지/NNG+하/XSV+는/ETM
사람은	사람/NNG+은/JX
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.306.5.1
이에 따라 기재부는 ‘전세 계약을 연장하면서 새로 돈을 빌릴 때는 계약 연장일을 소득공제 적용 시점으로 한다’는 내용을 시행령에 추가했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
기재부는	기재부/NNG+는/JX
‘전세	‘/SS+전세/NNG
계약을	계약/NNG+을/JKO
연장하면서	연장/NNG+하/XSV+면서/EC
새로	새로/MAG
돈을	돈/NNG+을/JKO
빌릴	빌리/VV+ㄹ/ETM
때는	때/NNG+는/JX
계약	계약/NNG
연장일을	연장일/NNG+을/JKO
소득공제	소득/NNG+공제/NNG
적용	적용/NNG
시점으로	시점/NNG+으로/JKB
한다’는	하/VV+ㄴ다/EF+’/SS+는/ETM
내용을	내용/NNG+을/JKO
시행령에	시행령/NNG+에/JKB
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.306.5.2
또 처음 전세 계약 때 은행과 맺은 대출조건을 유지한 채 다른 전셋집으로 갈아타는 경우에는 종전 입주일이나 전입일을 기준으로 소득공제 혜택을 받을 수 있도록 했다.

또	또/MAG
처음	처음/NNG
전세	전세/NNG
계약	계약/NNG
때	때/NNG
은행과	은행/NNG+과/JKB
맺은	맺/VV+은/ETM
대출조건을	대출/NNG+조건/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
다른	다른/MMD
전셋집으로	전셋집/NNG+으로/JKB
갈아타는	갈아타/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
종전	종전/NNG
입주일이나	입주일/NNG+이나/JC
전입일을	전입일/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.306.5.3
추가 소득공제 혜택을 받으려는 사람은 소득공제 신청 때 전세 연장계약서와 과거 계약서를 함께 세무서에 내야 한다.

추가	추가/NNG
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받으려는	받/VV+으려는/ETM
사람은	사람/NNG+은/JX
신청	신청/NNG
때	때/NNG
전세	전세/NNG
연장계약서와	연장/NNG+계약서/NNG+와/JC
과거	과거/NNG
계약서를	계약서/NNG+를/JKO
함께	함께/MAG
세무서에	세무서/NNG+에/JKB
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.306.6.1
보증부 월세에 대한 소득공제 기준도 개선돼 다음 달부터는 확정일자를 받지 않아도 보증금에 대한 소득공제 신청이 가능해진다.

보증부	보증/NNG+부/XSN
월세에	월세/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소득공제	소득/NNG+공제/NNG
기준도	기준/NNG+도/JX
개선돼	개선/NNG+되/XSV+어/EC
다음	다음/NNG
달부터는	달/NNG+부터/JX+는/JX
