# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.73
metadata : {}


# id : NWRW1800000025.73.1.1
[인천/부천]영종하늘도시 사업계약 취소 잇따라

[인천/부천]영종하늘도시	[/SS+인천/NNP+//SP+부천/NNP+]/SS+영종하늘도시/NNP
사업계약	사업/NNG+계약/NNG
취소	취소/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000025.73.2.1
인천의 경제자유구역인 중구 영종하늘도시에서 아파트와 주상복합용지 등을 분양받은 건설업체들이 사업을 포기하고, 계약을 해지하는 사례가 속출하고 있다.

인천의	인천/NNP+의/JKG
경제자유구역인	경제/NNG+자유/NNG+구역/NNG+이/VCP+ㄴ/ETM
중구	중구/NNP
영종하늘도시에서	영종하늘도시/NNP+에서/JKB
아파트와	아파트/NNG+와/JC
주상복합용지	주상/NNG+복합/NNG+용지/NNG
등을	등/NNB+을/JKO
분양받은	분양/NNG+받/XSV+은/ETM
건설업체들이	건설업체/NNG+들/XSN+이/JKS
사업을	사업/NNG+을/JKO
포기하고,	포기/NNG+하/XSV+고/EC+,/SP
계약을	계약/NNG+을/JKO
해지하는	해지/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
속출하고	속출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.73.2.2
15일 영종하늘도시 택지개발사업자인 한국토지주택공사(LH)에 따르면 2007년부터 2차례에 걸쳐 아파트(43개 필지)와 주상복합용지(9개 필지) 등 모두 52개 필지를 분양했다.

15일	15/SN+일/NNB
영종하늘도시	영종하늘도시/NNP
택지개발사업자인	택지/NNG+개발/NNG+사업자/NNG+이/VCP+ㄴ/ETM
한국토지주택공사(LH)에	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
2007년부터	2007/SN+년/NNB+부터/JX
2차례에	2/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
아파트(43개	아파트/NNG+(/SS+43/SN+개/NNB
필지)와	필지/NNG+)/SS+와/JC
주상복합용지(9개	주상/NNG+복합/NNG+용지/NNG+(/SS+9/SN+개/NNB
필지)	필지/NNG+)/SS
등	등/NNB
모두	모두/MAG
52개	52/SN+개/NNB
필지를	필지/NNG+를/JKO
