# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.98
metadata : {}


# id : NWRW1800000022.98.1.1
"인천에 해양대를 세워?" 거센 반발;부산시와 한국해양대 "국력 낭비만 가져와"

"인천에	"/SS+인천/NNP+에/JKB
해양대를	해양대/NNG+를/JKO
세워?"	세우/VV+어/EF+?/SF+"/SS
거센	거세/VA+ㄴ/ETM
반발;부산시와	반발/NNG+;/SW+부산시/NNP+와/JC
한국해양대	한국해양대/NNP
"국력	"/SS+국력/NNG
낭비만	낭비/NNG+만/JX
가져와"	가져오/VV+아/EF+"/SS


# id : NWRW1800000022.98.2.1
인천시가 '국립 해양대학교' 설립을 추진하자 부산시와 한국해양대가 반발하고 나섰다.

인천시가	인천시/NNP+가/JKS
'국립	'/SS+국립/NNG
해양대학교'	해양/NNG+대/XPN+학교/NNG+'/SS
설립을	설립/NNG+을/JKO
추진하자	추진/NNG+하/XSV+자/EC
부산시와	부산시/NNP+와/JC
한국해양대가	한국해양대/NNP+가/JKS
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.98.3.1
부산시 양문석(梁紋碩) 대변인은 23일 오전 기자회견을 갖고 "또 다른 해양대 설립추진에 반대한다"고 밝혔다.

부산시	부산시/NNP
양문석(梁紋碩)	양문석/NNP+(/SS+梁紋碩/SH+)/SS
대변인은	대변인/NNG+은/JX
23일	23/SN+일/NNB
오전	오전/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"또	"/SS+또/MAG
다른	다른/MMD
해양대	해양대/NNG
설립추진에	설립/NNG+추진/NNG+에/JKB
반대한다"고	반대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.98.3.2
양 대변인은 '인천 해양대 설립 추진 관련 부산시 입장'을 통해 "인천시가 정부의 국립대 정원 감축 및 통·폐합 방침을 외면하고 새 국립대를 설립하겠다는 것은 한국해양대의 위상을 약화시키는 것은 물론 수도권 집중에 따른 지역 갈등을 더욱 부채질할 우려가 크다"고 주장했다.

양	양/NNP
대변인은	대변인/NNG+은/JX
'인천	'/SS+인천/NNP
해양대	해양대/NNG
설립	설립/NNG
추진	추진/NNG
관련	관련/NNG
부산시	부산시/NNP
입장'을	입장/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
"인천시가	"/SS+인천시/NNP+가/JKS
정부의	정부/NNG+의/JKG
국립대	국립대/NNG
정원	정원/NNG
감축	감축/NNG
및	및/MAG
통·폐합	통·폐합/NNG
방침을	방침/NNG+을/JKO
외면하고	외면/NNG+하/XSV+고/EC
새	새/MMA
국립대를	국립대/NNG+를/JKO
설립하겠다는	설립/NNG+하/XSV+겠/EP+다는/ETM
것은	것/NNB+은/JX
한국해양대의	한국해양대/NNP+의/JKG
위상을	위상/NNG+을/JKO
약화시키는	약화/NNG+시키/XSV+는/ETM
물론	물론/MAG
수도권	수도/NNG+권/XSN
집중에	집중/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지역	지역/NNG
갈등을	갈등/NNG+을/JKO
더욱	더욱/MAG
부채질할	부채/NNG+질/XSN+하/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.98.4.1
양 대변인은 또 "부산의 한국해양대와 똑같은 기능을 하는 국립대를 수도권에 설립한다는 것은 지역 간 소모적 논쟁과 막대한 국력 낭비만을 가져올 것"이라며 "또한 세계적 경쟁력을 갖춘 한국해양대의 경쟁력을 떨어뜨릴 것이 분명하다"고 주장했다.

양	양/NNP
대변인은	대변인/NNG+은/JX
또	또/MAG
"부산의	"/SS+부산/NNP+의/JKG
한국해양대와	한국해양대/NNP+와/JKB
똑같은	똑같/VA+은/ETM
기능을	기능/NNG+을/JKO
하는	하/VV+는/ETM
국립대를	국립대/NNG+를/JKO
수도권에	수도/NNG+권/XSN+에/JKB
설립한다는	설립/NNG+하/XSV+ㄴ다는/ETM
것은	것/NNB+은/JX
지역	지역/NNG
간	간/NNB
소모적	소모/NNG+적/XSN
논쟁과	논쟁/NNG+과/JC
막대한	막대하/VA+ㄴ/ETM
국력	국력/NNG
낭비만을	낭비/NNG+만/JX+을/JKO
가져올	가져오/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"또한	"/SS+또한/MAG
세계적	세계/NNG+적/XSN
경쟁력을	경쟁력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
한국해양대의	한국해양대/NNP+의/JKG
떨어뜨릴	떨어뜨리/VV+ㄹ/ETM
것이	것/NNB+이/JKS
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.98.5.1
한국해양대측도 이에 앞서 "신규 설립보다 국가 차원의 현 해양대 경쟁력 강화가 급선무"라며 반대 의사를 분명히 했다.

한국해양대측도	한국해양대/NNP+측/NNB+도/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
"신규	"/SS+신규/NNG
설립보다	설립/NNG+보다/JKB
국가	국가/NNG
차원의	차원/NNG+의/JKG
현	현/MMD
해양대	해양대/NNG
경쟁력	경쟁력/NNG
강화가	강화/NNG+가/JKS
급선무"라며	급선무/NNG+"/SS+이/VCP+라며/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.98.5.2
한국해양대 오거돈(吳巨敦) 총장은 "비슷한 대학을 지역별로 마구 설립하기보다는 신 해양시대를 맞아 국가전략 차원에서 단일 해양대 체제로 정비, 한국해양대를 세계 제일의 해양대로 육성해야 한다"며 "만약 인천 지역에 해양부문 인력양성이 필요하다면 한국해양대의 정원을 늘리거나 인천에 한국해양대 캠퍼스를 두는 식으로 가는 것이 바람직하다"고 주장했다.

한국해양대	한국해양대/NNP
오거돈(吳巨敦)	오거돈/NNP+(/SS+吳巨敦/SH+)/SS
총장은	총장/NNG+은/JX
"비슷한	"/SS+비슷하/VA+ㄴ/ETM
대학을	대학/NNG+을/JKO
지역별로	지역/NNG+별/XSN+로/JKB
마구	마구/MAG
설립하기보다는	설립/NNG+하/XSV+기/ETN+보다/JKB+는/JX
신	신/XPN
해양시대를	해양/NNG+시대/NNG+를/JKO
맞아	맞/VV+아/EC
국가전략	국가/NNG+전략/NNG
차원에서	차원/NNG+에서/JKB
단일	단일/NNG
해양대	해양대/NNG
체제로	체제/NNG+로/JKB
정비,	정비/NNG+,/SP
한국해양대를	한국해양대/NNP+를/JKO
세계	세계/NNG
제일의	제일/NNG+의/JKG
해양대로	해양대/NNG+로/JKB
육성해야	육성/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"만약	"/SS+만약/MAG
인천	인천/NNP
지역에	지역/NNG+에/JKB
해양부문	해양/NNG+부문/NNG
인력양성이	인력/NNG+양성/NNG+이/JKS
필요하다면	필요/NNG+하/XSA+다면/EC
한국해양대의	한국해양대/NNP+의/JKG
정원을	정원/NNG+을/JKO
늘리거나	늘리/VV+거나/EC
인천에	인천/NNP+에/JKB
캠퍼스를	캠퍼스/NNG+를/JKO
두는	두/VV+는/ETM
식으로	식/NNB+으로/JKB
가는	가/VV+는/ETM
것이	것/NNB+이/JKS
바람직하다"고	바람직하/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.98.6.1
목포해양대측 역시 "만약 인천 지역에 해양 관련 전문 인력의 공급을 확대할 필요가 있다면 해양대학을 신설하기보다 기존 해양대학의 경쟁력을 높이는 방향으로 투자하는 것이 효율적"이라는 입장이다.

목포해양대측	목포해양대/NNP+측/NNB
역시	역시/MAG
"만약	"/SS+만약/MAG
인천	인천/NNP
지역에	지역/NNG+에/JKB
해양	해양/NNG
관련	관련/NNG
전문	전문/NNG
인력의	인력/NNG+의/JKG
공급을	공급/NNG+을/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다면	있/VA+다면/EC
해양대학을	해양/NNG+대학/NNG+을/JKO
신설하기보다	신설/NNG+하/XSV+기/ETN+보다/JKB
기존	기존/NNG
해양대학의	해양/NNG+대학/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높이는	높이/VV+는/ETM
방향으로	방향/NNG+으로/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
효율적"이라는	효율/NNG+적/XSN+"/SS+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.98.7.1
한편, 인천시는 지난 12일 6000억원의 사업비를 들여 송도국제도시 제11공구 또는 영종지구에 한국해양대학교와 비슷한 규모의 부지(46만2350㎡)를 마련해 연구시설 등 30개 건물로 이뤄진 새 국립해양대 설립을 추진하겠다는 계획을 발표했다.

한편,	한편/MAG+,/SP
인천시는	인천시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
6000억원의	6000/SN+억/NR+원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
들여	들이/VV+어/EC
송도국제도시	송도국제도시/NNP
제11공구	제/XPN+11/SN+공구/NNG
또는	또는/MAG
영종지구에	영종지구/NNP+에/JKB
한국해양대학교와	한국해양대학교/NNP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
부지(46만2350㎡)를	부지/NNG+(/SS+46/SN+만/NR+2350/SN+㎡/SW+)/SS+를/JKO
마련해	마련/NNG+하/XSV+아/EC
연구시설	연구/NNG+시설/NNG
등	등/NNB
30개	30/SN+개/NNB
건물로	건물/NNG+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
새	새/MMA
국립해양대	국립/NNG+해양대/NNG
설립을	설립/NNG+을/JKO
추진하겠다는	추진/NNG+하/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.98.7.2
인천시측은 "해양 관련 대학교가 부산과 목포에만 있어 해양·수산 교육을 받기 위해 남부지역으로 이동해야 하는 수도권 학생들의 불편을 해소하고, 인천의 국제 물류도시적 위상을 제고하기 위한 것"이라고 설립 추진 배경을 설명하고 있다.

인천시측은	인천시/NNP+측/NNB+은/JX
"해양	"/SS+해양/NNG
관련	관련/NNG
대학교가	대/XPN+학교/NNG+가/JKS
부산과	부산/NNP+과/JC
목포에만	목포/NNP+에/JKB+만/JX
있어	있/VA+어/EC
해양·수산	해양/NNG+·/SP+수산/NNG
교육을	교육/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
남부지역으로	남부/NNG+지역/NNG+으로/JKB
이동해야	이동/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
수도권	수도/NNG+권/XSN
학생들의	학생/NNG+들/XSN+의/JKG
불편을	불편/NNG+을/JKO
해소하고,	해소/NNG+하/XSV+고/EC+,/SP
인천의	인천/NNP+의/JKG
국제	국제/NNG
물류도시적	물류/NNG+도시/NNG+적/XSN
위상을	위상/NNG+을/JKO
제고하기	제고/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설립	설립/NNG
추진	추진/NNG
배경을	배경/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


