# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.205
metadata : {}


# id : NWRW1800000026.205.1.1
[수도권Ⅲ] [이슈 앤 현장] 새로 태어난 광주시 경안시장;안팎을 모두 현대식으로… "여기 재래시장 맞아?"

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SW+]/SS
[이슈	[/SS+이슈/NNG
앤	앤/NNG
현장]	현장/NNG+]/SS
새로	새로/MAG
태어난	태어나/VV+ㄴ/ETM
광주시	광주시/NNP
경안시장;안팎을	경안시장/NNP+;/SP+안팎/NNG+을/JKO
모두	모두/MAG
현대식으로…	현대식/NNG+으로/JKB+…/SE
"여기	"/SS+여기/NP
재래시장	재래시장/NNG
맞아?"	맞/VV+아/EF+?/SF+"/SS


# id : NWRW1800000026.205.2.1
간판도 바뀌고, 거리도 깔끔해지고, 물건도 많아졌고 아기들을 데리고 다니기에 더 좋아졌어요.

간판도	간판/NNG+도/JX
바뀌고,	바뀌/VV+고/EC+,/SP
거리도	거리/NNG+도/JX
깔끔해지고,	깔끔/NNG+하/XSA+아/EC+지/VX+고/EC+,/SP
물건도	물건/NNG+도/JX
많아졌고	많아지/VV+었/EP+고/EC
아기들을	아기/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
다니기에	다니/VV+기/ETN+에/JKB
더	더/MAG
좋아졌어요.	좋/VA+아/EC+지/VX+었/EP+어요/EF+./SF


# id : NWRW1800000026.205.3.1
경기도 광주시에 사는 김모(45)씨는 일주일에 1~2번씩 전통 재래시장인 '경안시장'에 들러 장을 본다.

경기도	경기도/NNP
광주시에	광주시/NNP+에/JKB
사는	살/VV+는/ETM
김모(45)씨는	김/NNP+모/NP+(/SS+45/SN+)/SS+씨/NNB+는/JX
일주일에	일주일/NNG+에/JKB
1~2번씩	1/SN+~/SO+2/SN+번/NNB+씩/XSN
전통	전통/NNG
재래시장인	재래시장/NNG+이/VCP+ㄴ/ETM
'경안시장'에	'/SS+경안시장/NNP+'/SS+에/JKB
들러	들르/VV+어/EC
장을	장/NNG+을/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.205.3.2
김씨는 시설현대화사업이 마무리된 경안시장의 변화된 모습에 흡족해했다.

김씨는	김/NNP+씨/NNB+는/JX
시설현대화사업이	시설/NNG+현대/NNG+화/XSN+사업/NNG+이/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
경안시장의	경안시장/NNP+의/JKG
변화된	변화/NNG+되/XSV+ㄴ/ETM
모습에	모습/NNG+에/JKB
흡족해했다.	흡족/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.205.3.3
장사를 하는 상인들도 한 목소리로 바뀐 시장 모습에 만족했다.

장사를	장사/NNG+를/JKO
하는	하/VV+는/ETM
상인들도	상인/NNG+들/XSN+도/JX
한	한/MMN
목소리로	목소리/NNG+로/JKB
바뀐	바뀌/VV+ㄴ/ETM
시장	시장/NNG
모습에	모습/NNG+에/JKB
만족했다.	만족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000026.205.3.4
시장에서 과일가게를 운영하는 최모(51)씨는 "판매하는 입장에서도 손님들에게 깨끗한 환경에서, 최신식 현대 시설로 하다 보니 마음이 너무 좋아졌다. 손님들이 더 많이 늘어나면 분위기는 더 명랑해질 것"이라고 말했다.

시장에서	시장/NNG+에서/JKB
과일가게를	과일/NNG+가게/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
최모(51)씨는	최/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB+는/JX
"판매하는	"/SS+판매/NNG+하/XSV+는/ETM
입장에서도	입장/NNG+에서/JKB+도/JX
손님들에게	손/NNG+님/XSN+들/XSN+에게/JKB
깨끗한	깨끗하/VA+ㄴ/ETM
환경에서,	환경/NNG+에서/JKB+,/SP
최신식	최신식/NNG
현대	현대/NNG
시설로	시설/NNG+로/JKB
하다	하/VV+다/EC
보니	보/VX+니/EC
마음이	마음/NNG+이/JKS
너무	너무/MAG
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
더	더/MAG
많이	많이/MAG
늘어나면	늘어나/VV+면/EC
분위기는	분위기/NNG+는/JX
명랑해질	명랑/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.205.4.1
시설현대화사업을 통해 새로 태어난 경기 광주시 경안시장이 시민과 상인들로부터 호평을 얻고 있다.

시설현대화사업을	시설/NNG+현대/NNG+화/XSN+사업/NNG+을/JKO
통해	통하/VV+아/EC
새로	새로/MAG
태어난	태어나/VV+ㄴ/ETM
경기	경기/NNP
광주시	광주시/NNP
경안시장이	경안시장/NNP+이/JKS
시민과	시민/NNG+과/JC
상인들로부터	상인/NNG+들/XSN+로부터/JKB
호평을	호평/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.205.4.2
세련된 디자인의 갤러리창, 아케이드, LCD멀티스크린, 간판정비 등 각종 편의시설과 볼거리를 갖춘 경안시장은 전통시장 고유의 정과 대형마트에 버금가는 깨끗한 환경이 어우러져 밤낮없이 많은 고객들이 찾고 있다.

세련된	세련/NNG+되/XSA+ㄴ/ETM
디자인의	디자인/NNG+의/JKG
갤러리창,	갤러리/NNG+창/NNG+,/SP
아케이드,	아케이드/NNG+,/SP
LCD멀티스크린,	LCD/SL+멀티스크린/NNG+,/SP
간판정비	간판/NNG+정비/NNG
등	등/NNB
각종	각종/NNG
편의시설과	편의/NNG+시설/NNG+과/JC
볼거리를	볼거리/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
경안시장은	경안시장/NNP+은/JX
전통시장	전통/NNG+시장/NNG
고유의	고유/NNG+의/JKG
정과	정/NNG+과/JC
대형마트에	대형/NNG+마트/NNG+에/JKB
버금가는	버금가/VV+는/ETM
깨끗한	깨끗하/VA+ㄴ/ETM
환경이	환경/NNG+이/JKS
어우러져	어우러지/VV+어/EC
밤낮없이	밤낮없이/MAG
많은	많/VA+은/ETM
고객들이	고객/NNG+들/XSN+이/JKS
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.205.5.1
◆노후시설 개선과 볼거리 확충돼 매출까지 상승

◆노후시설	◆/SW+노후/NNG+시설/NNG
개선과	개선/NNG+과/JC
볼거리	볼거리/NNG
확충돼	확충/NNG+되/XSV+어/EC
매출까지	매출/NNG+까지/JX
상승	상승/NNG


# id : NWRW1800000026.205.6.1
시는 지난 4월 25일 '경안시장 시설현대화사업 준공식'을 가졌다.

시는	시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
25일	25/SN+일/NNB
'경안시장	'/SS+경안시장/NNP
시설현대화사업	시설/NNG+현대/NNG+화/XSN+사업/NNG
준공식'을	준공식/NNG+'/SS+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.6.2
사업비 22억원이 투입된 '경안시장 시설현대화사업'은 지난해 6월부터 이달까지 상수도 노후관 교체, 도시가스 라인 신설, 우수관로 설치, 전선 지중화, 중앙통로 정비 등이 시행됐다.

사업비	사업비/NNG
22억원이	22/SN+억/NR+원/NNB+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
'경안시장	'/SS+경안시장/NNP
시설현대화사업'은	시설/NNG+현대/NNG+화/XSN+사업/NNG+'/SS+은/JX
지난해	지난해/NNG
6월부터	6/SN+월/NNB+부터/JX
이달까지	이달/NNG+까지/JX
상수도	상수도/NNG
노후관	노후관/NNG
교체,	교체/NNG+,/SP
도시가스	도시가스/NNG
라인	라인/NNG
신설,	신설/NNG+,/SP
우수관로	우수/NNG+관로/NNG
설치,	설치/NNG+,/SP
전선	전선/NNG
지중화,	지중/NNG+화/XSN+,/SP
중앙통로	중앙/NNG+통로/NNG
정비	정비/NNG
등이	등/NNB+이/JKS
시행됐다.	시행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.7.1
특히 남한산성과 도자기를 표현한 갤러리창, 중앙사거리 LCD 멀티비전 등을 설치해 볼거리를 제공하는 한편, 통로 천장에 아케이드를 설치해 날씨에 관계없이 쇼핑을 즐길 수 있게 하는 등 시민들의 편익증대에 초점을 맞췄다.

특히	특히/MAG
남한산성과	남한산성/NNP+과/JC
도자기를	도자기/NNG+를/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
갤러리창,	갤러리/NNG+창/NNG+,/SP
중앙사거리	중앙/NNG+사거리/NNG
LCD	LCD/SL
멀티비전	멀티비전/NNG
등을	등/NNB+을/JKO
설치해	설치/NNG+하/XSV+아/EC
볼거리를	볼거리/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
통로	통로/NNG
천장에	천장/NNG+에/JKB
아케이드를	아케이드/NNG+를/JKO
날씨에	날씨/NNG+에/JKB
관계없이	관계없이/MAG
쇼핑을	쇼핑/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
등	등/NNB
시민들의	시민/NNG+들/XSN+의/JKG
편익증대에	편익/NNG+증대/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.7.2
이와 함께 점포별 스프링클러 및 소화기, 구간별 화재감지기, 소화장치함 등을 설치했으며, 아케이드는 유독가스 배출 예방을 위해 개방형으로 설계하는 등 화재예방에도 만반의 준비를 갖췄다.

이와	이/NP+와/JKB
함께	함께/MAG
점포별	점포/NNG+별/XSN
스프링클러	스프링클러/NNG
및	및/MAG
소화기,	소화기/NNG+,/SP
구간별	구간/NNG+별/XSN
화재감지기,	화재/NNG+감지기/NNG+,/SP
소화장치함	소화/NNG+장치/NNG+함/NNG
등을	등/NNB+을/JKO
설치했으며,	설치/NNG+하/XSV+았/EP+으며/EC+,/SP
아케이드는	아케이드/NNG+는/JX
유독가스	유독/NNG+가스/NNG
배출	배출/NNG
예방을	예방/NNG+을/JKO
위해	위하/VV+아/EC
개방형으로	개방/NNG+형/XSN+으로/JKB
설계하는	설계/NNG+하/XSV+는/ETM
등	등/NNB
화재예방에도	화재/NNG+예방/NNG+에/JKB+도/JX
만반의	만반/NNG+의/JKG
준비를	준비/NNG+를/JKO
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.8.1
최현범 시장상인회장은 "최근 경안시장을 찾은 시민들로부터 '경안시장 정말 좋아졌다'라는 말을 자주 듣는다"며 "시장을 찾는 고객들이 많아져 상인회원 대다수의 영업 매출이 늘어나고 있다"고 말했다.

최현범	최현범/NNP
시장상인회장은	시장/NNG+상인회장/NNG+은/JX
"최근	"/SS+최근/NNG
경안시장을	경안시장/NNP+을/JKO
찾은	찾/VV+은/ETM
시민들로부터	시민/NNG+들/XSN+로부터/JKB
'경안시장	'/SS+경안시장/NNP
정말	정말/MAG
좋아졌다'라는	좋/VA+아/EC+지/VX+었/EP+다/EF+'/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
듣는다"며	듣/VV+는다/EF+"/SS+며/EC
"시장을	"/SS+시장/NNG+을/JKO
찾는	찾/VV+는/ETM
고객들이	고객/NNG+들/XSN+이/JKS
많아져	많아지/VV+어/EC
상인회원	상인/NNG+회원/NNG
대다수의	대/XPN+다수/NNG+의/JKG
영업	영업/NNG
매출이	매출/NNG+이/JKS
늘어나고	늘어나/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.205.9.1
◆경영현대화를 위한 상인대학도 유치

◆경영현대화를	◆/SW+경영/NNG+현대/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
상인대학도	상인/NNG+대학/NNG+도/JX
유치	유치/NNG


# id : NWRW1800000026.205.10.1
시설 개선뿐 아니라 현대적인 경영기법 도입도 함께 추진했다.

시설	시설/NNG
개선뿐	개선/NNG+뿐/JX
아니라	아니/VCN+라/EC
현대적인	현대/NNG+적/XSN+이/VCP+ㄴ/ETM
경영기법	경영/NNG+기법/NNG
도입도	도입/NNG+도/JX
함께	함께/MAG
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.205.10.2
광주시에는 시장경영현대화를 위해 경안시장에 상인대학 유치를 추진했고, 중소기업청에서 선정한 전국 100개 시장에 포함되었다.

광주시에는	광주시/NNP+에/JKB+는/JX
시장경영현대화를	시장/NNG+경영/NNG+현대/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
경안시장에	경안시장/NNP+에/JKB
상인대학	상인/NNG+대학/NNG
유치를	유치/NNG+를/JKO
추진했고,	추진/NNG+하/XSV+았/EP+고/EC+,/SP
중소기업청에서	중소기업청/NNG+에서/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
전국	전국/NNG
100개	100/SN+개/NNB
시장에	시장/NNG+에/JKB
포함되었다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.10.3
상인대학은 전액 국비로 지원되는 사업으로, 공동 마케팅, 고객만족점포경영, 소비자관리비법 등 전문교육이 실시된다.

상인대학은	상인/NNG+대학/NNG+은/JX
