# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.41
metadata : {}


# id : NWRW1800000033.41.1.1
박카스, 편의점 대결서도 비타500 앞서

박카스,	박카스/NNP+,/SP
편의점	편의점/NNG
대결서도	대결/NNG+서/JKB+도/JX
비타500	비타500/NNP
앞서	앞서/VV+어/EF


# id : NWRW1800000033.41.2.1
약국 밖 경쟁 1년 만에 추월

약국	약국/NNG
밖	밖/NNG
경쟁	경쟁/NNG
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
추월	추월/NNG


# id : NWRW1800000033.41.3.1
동아제약 박카스와 광동제약 비타500은 국내 드링크 시장의 라이벌로 꼽히지만 2011년 이전까지 같은 공간에서 직접 경쟁한 적은 없다.

동아제약	동아제약/NNP
박카스와	박카스/NNP+와/JC
광동제약	광동제약/NNP
비타500은	비타500/NNP+은/JX
국내	국내/NNG
드링크	드링크/NNG
시장의	시장/NNG+의/JKG
라이벌로	라이벌/NNG+로/JKB
꼽히지만	꼽히/VV+지만/EC
2011년	2011/SN+년/NNB
이전까지	이전/NNG+까지/JX
같은	같/VA+은/ETM
공간에서	공간/NNG+에서/JKB
직접	직접/MAG
경쟁한	경쟁/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.41.3.2
의약품인 박카스는 약국에서 팔렸고, 혼합음료인 비타500은 편의점이나 마트에서 주로 팔려서다.

의약품인	의약품/NNG+이/VCP+ㄴ/ETM
박카스는	박카스/NNP+는/JX
약국에서	약국/NNG+에서/JKB
팔렸고,	팔리/VV+었/EP+고/EC+,/SP
혼합음료인	혼합/NNG+음료/NNG+이/VCP+ㄴ/ETM
비타500은	비타500/NNP+은/JX
편의점이나	편의점/NNG+이나/JC
마트에서	마트/NNG+에서/JKB
주로	주로/MAG
팔려서다.	팔리/VV+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.41.4.1
그러나 박카스가 의약외품으로 분류되면서 동아제약은 지난해 9월 ‘박카스F’를 출시하고 편의점 유통을 시작했다.

그러나	그러나/MAJ
박카스가	박카스/NNP+가/JKS
의약외품으로	의약/NNG+외품/NNG+으로/JKB
분류되면서	분류/NNG+되/XSV+면서/EC
동아제약은	동아제약/NNP+은/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
‘박카스F’를	‘/SS+박카스F/NNP+’/SS+를/JKO
출시하고	출시/NNG+하/XSV+고/EC
편의점	편의점/NNG
유통을	유통/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.41.4.2
유통업계에서는 박카스와 비타500의 편의점 대결에 관심이 쏠렸다.

유통업계에서는	유통업/NNG+계/XSN+에서/JKB+는/JX
박카스와	박카스/NNP+와/JC
비타500의	비타500/NNP+의/JKG
편의점	편의점/NNG
대결에	대결/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.41.5.1
동아일보가 박카스와 비타500의 편의점 매출을 분석한 결과 편의점 대표 드링크 자리는 비타500에서 박카스로 넘어간 것으로 나타났다.

동아일보가	동아일보/NNP+가/JKS
박카스와	박카스/NNP+와/JC
비타500의	비타500/NNP+의/JKG
편의점	편의점/NNG
매출을	매출/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
대표	대표/NNG
드링크	드링크/NNG
자리는	자리/NNG+는/JX
비타500에서	비타500/NNP+에서/JKB
박카스로	박카스/NNP+로/JKB
넘어간	넘어가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.41.5.2
세븐일레븐에 따르면 지난해 9월 비타500 대 박카스의 매출 비중은 80 대 20이었다.

세븐일레븐에	세븐일레븐/NNP+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
비타500	비타500/NNP
대	대/NNB
박카스의	박카스/NNP+의/JKG
매출	매출/NNG
비중은	비중/NNG+은/JX
80	80/SN
20이었다.	20/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.41.5.3
그러나 박카스의 추격이 시작되면서 올해 7월에는 54 대 46으로 비슷해졌다.

그러나	그러나/MAJ
박카스의	박카스/NNP+의/JKG
추격이	추격/NNG+이/JKS
시작되면서	시작/NNG+되/XSV+면서/EC
올해	올해/NNG
7월에는	7/SN+월/NNB+에/JKB+는/JX
54	54/SN
대	대/NNB
46으로	46/SN+으로/JKB
비슷해졌다.	비슷하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.41.5.4
GS25에서도 지난해 9월에는 매출비가 76 대 24로 비타500이 크게 앞서 있었지만 올 8월에는 53 대 47까지 박카스가 추격했다.

GS25에서도	GS25/NNP+에서/JKB+도/JX
지난해	지난해/NNG
9월에는	9/SN+월/NNB+에/JKB+는/JX
매출비가	매출/NNG+비/NNG+가/JKS
76	76/SN
대	대/NNB
24로	24/SN+로/JKB
비타500이	비타500/NNP+이/JKS
크게	크/VA+게/EC
앞서	앞서/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
올	올/NNG
8월에는	8/SN+월/NNB+에/JKB+는/JX
53	53/SN
47까지	47/SN+까지/JX
박카스가	박카스/NNP+가/JKS
추격했다.	추격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.41.6.1
아직 비타500의 매출비중이 조금 높지만 비타500은 작은 병(100mL)과 큰 병(180mL)의 2개 종류 매출액을 합한 수치다.

아직	아직/MAG
비타500의	비타500/NNP+의/JKG
매출비중이	매출/NNG+비중/NNG+이/JKS
조금	조금/MAG
높지만	높/VA+지만/EC
비타500은	비타500/NNP+은/JX
작은	작/VA+은/ETM
병(100mL)과	병/NNG+(/SS+100/SN+mL/SW+)/SS+과/JC
큰	크/VA+ㄴ/ETM
병(180mL)의	병/NNG+(/SS+180/SN+mL/SW+)/SS+의/JKG
2개	2/SN+개/NNB
종류	종류/NNG
매출액을	매출액/NNG+을/JKO
합한	합/NNG+하/XSV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.41.6.2
단일 품목으로는 박카스가 앞선 것이다.

단일	단일/NNG
품목으로는	품목/NNG+으로/JKB+는/JX
박카스가	박카스/NNP+가/JKS
앞선	앞서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.41.6.3
상반기(1∼6월) 세븐일레븐에서 가장 잘 팔린 상품 순위에서도 박카스는 9위로 비타500 작은 병(24위)을 제쳤다.

상반기(1∼6월)	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS
세븐일레븐에서	세븐일레븐/NNP+에서/JKB
가장	가장/MAG
잘	잘/MAG
팔린	팔리/VV+ㄴ/ETM
상품	상품/NNG
순위에서도	순위/NNG+에서/JKB+도/JX
박카스는	박카스/NNP+는/JX
9위로	9/SN+위/NNB+로/JKB
비타500	비타500/NNP
작은	작/VA+은/ETM
병(24위)을	병/NNG+(/SS+24/SN+위/NNB+)/SS+을/JKO
제쳤다.	제치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.41.7.1
박카스는 상반기 매출액이 824억 원으로 지난해 같은 기간 653억 원에 비해 26% 성장했다.

박카스는	박카스/NNP+는/JX
상반기	상반기/NNG
매출액이	매출액/NNG+이/JKS
824억	824/SN+억/NR
원으로	원/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간	기간/NNG
653억	653/SN+억/NR
원에	원/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
26%	26/SN+%/SW
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.41.7.2
이전까지 매출 성장률이 9% 정도였던 것에 비하면 판매 경로를 편의점으로 확대한 덕을 톡톡히 보고 있는 것으로 풀이된다.

이전까지	이전/NNG+까지/JX
매출	매출/NNG
성장률이	성장/NNG+률/XSN+이/JKS
9%	9/SN+%/SW
정도였던	정도/NNG+이/VCP+었/EP+던/ETM
것에	것/NNB+에/JKB
비하면	비/NNG+하/XSV+면/EC
판매	판매/NNG
경로를	경로/NNG+를/JKO
편의점으로	편의점/NNG+으로/JKB
확대한	확대/NNG+하/XSV+ㄴ/ETM
덕을	덕/NNG+을/JKO
톡톡히	톡톡히/MAG
보고	보/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.41.8.1
편의점 업계는 박카스와 비타500의 새로운 라이벌로 최근 인기를 모으는 에너지음료를 지목한다.

편의점	편의점/NNG
업계는	업계/NNG+는/JX
박카스와	박카스/NNP+와/JC
비타500의	비타500/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
