# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.430
metadata : {}


# id : NWRW1800000038.430.1.1
[만델라 서거] "사랑해요, 마디바(존경받는 어른)" 슬픔에 잠긴 南阿共… 백인들도 추모행렬

[만델라	[/SS+만델라/NNP
서거]	서거/NNG+]/SS
"사랑해요,	"/SS+사랑/NNG+하/XSV+아요/EF+,/SP
마디바(존경받는	마디바/NNG+(/SS+존경/NNG+받/XSV+는/ETM
어른)"	어른/NNG+)/SS+"/SS
슬픔에	슬픔/NNG+에/JKB
잠긴	잠기/VV+ㄴ/ETM
南阿共…	南阿共/SH+…/SE
백인들도	백인/NNG+들/XSN+도/JX
추모행렬	추모/NNG+행렬/NNG


# id : NWRW1800000038.430.2.1
남아공 프리토리아 이성훈 특파원

남아공	남아공/NNP
프리토리아	프리토리아/NNP
이성훈	이성훈/NNP
특파원	특파원/NNG


# id : NWRW1800000038.430.3.1
6일(현지 시각) 남아프리카공화국(남아공) 요하네스버그에 있는 넬슨 만델라(95) 전 대통령 자택 주변은 춤을 추는 인파로 뒤덮였다.

6일(현지	6/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
남아프리카공화국(남아공)	남아프리카공화국/NNP+(/SS+남아공/NNP+)/SS
요하네스버그에	요하네스버그/NNP+에/JKB
있는	있/VA+는/ETM
넬슨	넬슨/NNP
만델라(95)	만델라/NNP+(/SS+95/SN+)/SS
전	전/MMD
대통령	대통령/NNG
자택	자택/NNG
주변은	주변/NNG+은/JX
춤을	춤/NNG+을/JKO
추는	추/VV+는/ETM
인파로	인파/NNG+로/JKB
뒤덮였다.	뒤덮이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.430.3.2
이들이 두 손을 높이 들고 구슬프게 내는 소리는 울음인지, 노래인지 구분하기 어려웠다.

이들이	이/NP+들/XSN+이/JKS
두	두/MMN
손을	손/NNG+을/JKO
높이	높이/MAG
들고	들/VV+고/EC
구슬프게	구슬프/VA+게/EC
내는	내/VV+는/ETM
소리는	소리/NNG+는/JX
울음인지,	울음/NNG+이/VCP+ㄴ지/EC+,/SP
노래인지	노래/NNG+이/VCP+ㄴ지/EC
구분하기	구분/NNG+하/XSV+기/ETN
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.430.3.3
일부는 부부젤라(남아공의 전통 나팔)를 불기도 했다.

일부는	일부/NNG+는/JX
