# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.421
metadata : {}


# id : NWRW1800000036.421.1.1
서울시 민생경제 총괄 누가 맡을까

서울시	서울시/NNP
민생경제	민생/NNG+경제/NNG
총괄	총괄/NNG
누가	누구/NP+가/JKS
맡을까	맡/VV+을까/EF


# id : NWRW1800000036.421.2.1
[한겨레] 민간전문가 모집 5명 서류 합격

[한겨레]	[/SS+한겨레/NNP+]/SS
민간전문가	민간/NNG+전문가/NNG
모집	모집/NNG
5명	5/SN+명/NNB
서류	서류/NNG
합격	합격/NNG


# id : NWRW1800000036.421.3.1
참여연대 권정순 변호사도 포함

참여연대	참여연대/NNP
권정순	권정순/NNP
변호사도	변호사/NNG+도/JX
포함	포함/NNG


# id : NWRW1800000036.421.4.1
7~9급직 13명 첫 개방형 공채도

7~9급직	7/SN+~/SO+9/SN+급/NNG+직/NNG
13명	13/SN+명/NNB
첫	첫/MMN
개방형	개방/NNG+형/XSN
공채도	공채/NNG+도/JX


# id : NWRW1800000036.421.5.1
서울시가 대부업 폐단 등에 대한 민생대책을 한층 강화하기 위해 총괄 실무자인 민생경제자문관을 신설해 민간영역에서 수혈하기로 했다.

서울시가	서울시/NNP+가/JKS
대부업	대부업/NNG
폐단	폐단/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
민생대책을	민생/NNG+대책/NNG+을/JKO
한층	한층/MAG
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
총괄	총괄/NNG
실무자인	실무자/NNG+이/VCP+ㄴ/ETM
민생경제자문관을	민생/NNG+경제/NNG+자문관/NNG+을/JKO
신설해	신설/NNG+하/XSV+아/EC
민간영역에서	민간/NNG+영역/NNG+에서/JKB
수혈하기로	수혈/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.6.1
시는 지난 9월 조직개편 때 민생경제과를 새로 만든 데 이어 지난달 말 전임계약직(2년)인 민생경제자문관 공채를 시작해 19일 이아무개·백아무개씨 등 5명을 서류전형 합격자로 발표했다.

시는	시/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
조직개편	조직/NNG+개편/NNG
때	때/NNG
민생경제과를	민생/NNG+경제과/NNG+를/JKO
새로	새로/MAG
만든	만들/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
지난달	지난달/NNG
말	말/NNB
전임계약직(2년)인	전임/NNG+계약직/NNG+(/SS+2/SN+년/NNB+)/SS+이/VCP+ㄴ/ETM
민생경제자문관	민생/NNG+경제/NNG+자문관/NNG
공채를	공채/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
19일	19/SN+일/NNB
이아무개·백아무개씨	이/NNP+아무개/NP+·/SP+백/NNP+아무개/NP+씨/NNB
등	등/NNB
5명을	5/SN+명/NNB+을/JKO
서류전형	서류/NNG+전형/NNG
합격자로	합격자/NNG+로/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.6.2
합격자 중에는 참여연대 민생희망본부 실행위원으로 가계부담·뉴타운 문제 해결 등에 주력해온 권정순 변호사도 포함됐다.

합격자	합격자/NNG
중에는	중/NNB+에/JKB+는/JX
참여연대	참여연대/NNP
민생희망본부	민생/NNG+희망/NNG+본부/NNG
실행위원으로	실행/NNG+위원/NNG+으로/JKB
가계부담·뉴타운	가계/NNG+부담/NNG+·/SP+뉴타운/NNG
문제	문제/NNG
해결	해결/NNG
등에	등/NNB+에/JKB
주력해온	주력/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
권정순	권정순/NNP
변호사도	변호사/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.421.6.3
시민사회단체 인사가 시장 참모진이 아닌 시 행정부의 실무형 간부로 발탁된 전례로는 보호자 없는 병원, 시민복지기준선, 자살예방대책 등을 이끌어온 김창보 보건정책관(국장·개방형)이 대표적이다.

시민사회단체	시민/NNG+사회단체/NNG
인사가	인사/NNG+가/JKS
시장	시장/NNG
참모진이	참모진/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
시	시/NNG
행정부의	행정부/NNG+의/JKG
실무형	실무/NNG+형/XSN
간부로	간부/NNG+로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
전례로는	전례/NNG+로/JKB+는/JX
보호자	보호자/NNG
없는	없/VA+는/ETM
병원,	병원/NNG+,/SP
시민복지기준선,	시민/NNG+복지/NNG+기준선/NNG+,/SP
자살예방대책	자살/NNG+예방/NNG+대책/NNG
등을	등/NNB+을/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
김창보	김창보/NNP
보건정책관(국장·개방형)이	보건/NNG+정책관/NNG+(/SS+국장/NNG+·/SP+개방/NNG+형/XSN+)/SS+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.421.7.1
김의승 시 경제정책과장은 “대부업, 전자상거래, 다단계 등 대표적 민생침해 분야와 민생침해 가능성이 있는 주택·복지 분야까지 아울러 민생대책을 기획하고, 필요한 법개정, 정책 등을 총괄할 전문가를 채용중이다.

김의승	김의승/NNP
시	시/NNG
경제정책과장은	경제/NNG+정책과장/NNG+은/JX
“대부업,	“/SS+대부업/NNG+,/SP
전자상거래,	전자/NNG+상거래/NNG+,/SP
다단계	다단계/NNG
등	등/NNB
대표적	대표/NNG+적/XSN
민생침해	민생/NNG+침해/NNG
분야와	분야/NNG+와/JC
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
주택·복지	주택/NNG+·/SP+복지/NNG
분야까지	분야/NNG+까지/JX
아울러	아울러/MAG
민생대책을	민생/NNG+대책/NNG+을/JKO
기획하고,	기획/NNG+하/XSV+고/EC+,/SP
필요한	필요/NNG+하/XSA+ㄴ/ETM
법개정,	법/NNG+개정/NNG+,/SP
정책	정책/NNG
등을	등/NNB+을/JKO
총괄할	총괄/NNG+하/XSV+ㄹ/ETM
전문가를	전문가/NNG+를/JKO
채용중이다.	채용/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.421.7.2
23일 실무부서의 면접평가 후 합격자가 선정되면 시 인사위 승인을 거쳐 다음달 11일께 최종 확정된다”고 말했다.

23일	23/SN+일/NNB
실무부서의	실무/NNG+부서/NNG+의/JKG
면접평가	면접/NNG+평가/NNG
후	후/NNG
합격자가	합격자/NNG+가/JKS
선정되면	선정/NNG+되/XSV+면/EC
시	시/NNG
인사위	인사위/NNG
승인을	승인/NNG+을/JKO
거쳐	거치/VV+어/EC
다음달	다음/NNG+달/NNG
11일께	11/SN+일/NNB+께/XSN
최종	최종/NNG
확정된다”고	확정/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.7.3
권 변호사는 “민생운동을 오래 했는데 박원순 시장 취임 후 직원들의 마인드가 바뀌고 있다는 걸 토론회 등에서 발견했다.

권	권/NNP
변호사는	변호사/NNG+는/JX
“민생운동을	“/SS+민생/NNG+운동/NNG+을/JKO
오래	오래/MAG
했는데	하/VV+았/EP+는데/EC
박원순	박원순/NNP
시장	시장/NNG
취임	취임/NNG
후	후/NNG
직원들의	직원/NNG+들/XSN+의/JKG
마인드가	마인드/NNG+가/JKS
바뀌고	바뀌/VV+고/EC
있다는	있/VX+다는/ETM
걸	거/NNB+ㄹ/JKO
토론회	토론회/NNG
등에서	등/NNB+에서/JKB
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.7.4
경쟁자가 4명이나 돼 지원 결과를 두고봐야겠다”고 말했다.

경쟁자가	경쟁자/NNG+가/JKS
4명이나	4/SN+명/NNB+이나/JX
돼	되/VV+어/EC
지원	지원/NNG
결과를	결과/NNG+를/JKO
두고봐야겠다”고	두/VV+고/EC+보/VX+아야/EC+하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.8.1
