# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.396
metadata : {}


# id : NWRW1800000028.396.1.1
금품·향응비리 공무원에 첫 ‘징계부가금’

금품·향응비리	금품/NNG+·/SP+향응/NNG+비리/NNG
공무원에	공무원/NNG+에/JKB
첫	첫/MMN
‘징계부가금’	‘/SS+징계/NNG+부가금/NNG+’/SS


# id : NWRW1800000028.396.2.1
직무 관련자한테서 금품과 향응을 받은 중앙부처 공무원 3명에게 징계 말고도 징계부가금을 물리는 처분이 처음으로 내려졌다.

직무	직무/NNG
관련자한테서	관련자/NNG+한테서/JKB
금품과	금품/NNG+과/JC
향응을	향응/NNG+을/JKO
받은	받/VV+은/ETM
중앙부처	중앙/NNG+부처/NNG
공무원	공무원/NNG
3명에게	3/SN+명/NNB+에게/JKB
징계	징계/NNG
말고도	말/VV+고/EC+도/JX
징계부가금을	징계/NNG+부가금/NNG+을/JKO
물리는	물리/VV+는/ETM
처분이	처분/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.396.3.1
행정안전부는 11일 중앙징계위원회를 열어 지식경제부의 4급 과장과 고용노동부 6급 공무원 2명 등 3명에게 모두 135만9500원의 징계부가금을 내도록 했다고 밝혔다.

행정안전부는	행정/NNG+안전부/NNG+는/JX
11일	11/SN+일/NNB
중앙징계위원회를	중앙/NNG+징계/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
지식경제부의	지식/NNG+경제부/NNG+의/JKG
4급	4/SN+급/NNG
과장과	과장/NNG+과/JC
고용노동부	고용/NNG+노동부/NNG
6급	6/SN+급/NNG
공무원	공무원/NNG
2명	2/SN+명/NNB
등	등/NNB
3명에게	3/SN+명/NNB+에게/JKB
모두	모두/MAG
135만9500원의	135/SN+만/NR+9500/SN+원/NNB+의/JKG
징계부가금을	징계/NNG+부가금/NNG+을/JKO
내도록	내/VV+도록/EC
했다고	하/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.396.3.2
징계부가금제는 금품·향응 수수, 공금 횡령 및 유용 등 금품 비리를 저지른 공무원에 대해 징계 처분과 별도로 수수 금액의 5배까지 부가금을 물릴 수 있는 제도로, 올해 3월부터 시행됐다.

징계부가금제는	징계/NNG+부가금/NNG+제/XSN+는/JX
금품·향응	금품/NNG+·/SP+향응/NNG
수수,	수수/NNG+,/SP
공금	공금/NNG
횡령	횡령/NNG
및	및/MAG
유용	유용/NNG
등	등/NNB
금품	금품/NNG
비리를	비리/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
공무원에	공무원/NNG+에/JKB
대해	대하/VV+아/EC
징계	징계/NNG
처분과	처분/NNG+과/JKB
별도로	별도/NNG+로/JKB
수수	수수/NNG
금액의	금액/NNG+의/JKG
5배까지	5/SN+배/NNG+까지/JX
부가금을	부가금/NNG+을/JKO
물릴	물리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도로,	제도/NNG+로/JKB+,/SP
올해	올해/NNG
3월부터	3/SN+월/NNB+부터/JX
시행됐다.	시행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.396.4.1
지식경제부 황아무개 과장은 지난해 6월 직무 관련자인 한 기업체 상무로부터 호텔식사권 2장과 저녁 식사 등 모두 43만4천원어치의 금품·향응을 받았다가 적발돼 견책 징계를 받았으며 이와 별도로 이날 징계부가금으로 43만4천원을 내라는 처분을 받았다.

지식경제부	지식/NNG+경제부/NNG
황아무개	황/NNP+아무개/NP
과장은	과장/NNG+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
직무	직무/NNG
관련자인	관련자/NNG+이/VCP+ㄴ/ETM
한	한/MMN
기업체	기업체/NNG
상무로부터	상무/NNG+로부터/JKB
호텔식사권	호텔/NNG+식사/NNG+권/XSN
2장과	2/SN+장/NNB+과/JC
저녁	저녁/NNG
