# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.69
metadata : {}


# id : NWRW1800000040.69.1.1
“한국, 독일보다 태양광발전 조건 월등”

“한국,	“/SS+한국/NNP+,/SP
독일보다	독일/NNP+보다/JKB
태양광발전	태양광/NNG+발전/NNG
조건	조건/NNG
월등”	월등/MAG+”/SS


# id : NWRW1800000040.69.2.1
그린피스 보고서 발표

그린피스	그린피스/NNP
보고서	보고서/NNG
발표	발표/NNG


# id : NWRW1800000040.69.3.1
땅에 닿는 햇볕 양 많아

땅에	땅/NNG+에/JKB
닿는	닿/VV+는/ETM
햇볕	햇볕/NNG
양	양/NNG
많아	많/VA+아/EF


# id : NWRW1800000040.69.4.1
육상·해상 풍력도 적합

육상·해상	육상/NNG+·/SP+해상/NNG
풍력도	풍력/NNG+도/JX
적합	적합/NNG


# id : NWRW1800000040.69.5.1
한국은 국토 전체에 태양광 설비 설치가 가능해 독일보다 태양광 발전 조건이 월등한 것으로 조사됐다.

한국은	한국/NNP+은/JX
국토	국토/NNG
전체에	전체/NNG+에/JKB
태양광	태양광/NNG
설비	설비/NNG
설치가	설치/NNG+가/JKS
가능해	가능/NNG+하/XSA+아/EC
독일보다	독일/NNP+보다/JKB
발전	발전/NNG
조건이	조건/NNG+이/JKS
월등한	월등/MAG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.69.6.1
국제환경단체 그린피스는 27일 한국에 맞는 재생가능에너지원 분석에 대한 보고서 ‘재생가능 에너지 현실화, 기로에 선 한국’을 발표했다.

국제환경단체	국제/NNG+환경/NNG+단체/NNG
그린피스는	그린피스/NNP+는/JX
27일	27/SN+일/NNB
한국에	한국/NNP+에/JKB
맞는	맞/VV+는/ETM
재생가능에너지원	재생/NNG+가능/NNG+에너지원/NNG
분석에	분석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보고서	보고서/NNG
‘재생가능	‘/SS+재생/NNG+가능/NNG
에너지	에너지/NNG
현실화,	현실/NNG+화/XSN+,/SP
기로에	기로/NNG+에/JKB
선	서/VV+ㄴ/ETM
한국’을	한국/NNP+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.69.6.2
그린피스는 이 보고서에서 “한반도 전역에 태양광 설비 설치가 가능하고, 특히 서산·진주·목포 일대에는 5㎿(메가와트) 이상의 대규모 태양광 단지 조성이 가능하다”고 밝혔다.

그린피스는	그린피스/NNP+는/JX
이	이/MMD
보고서에서	보고서/NNG+에서/JKB
“한반도	“/SS+한반도/NNP
전역에	전역/NNG+에/JKB
태양광	태양광/NNG
설비	설비/NNG
설치가	설치/NNG+가/JKS
가능하고,	가능/NNG+하/XSA+고/EC+,/SP
특히	특히/MAG
서산·진주·목포	서산/NNP+·/SP+진주/NNP+·/SP+목포/NNP
일대에는	일대/NNG+에/JKB+는/JX
5㎿(메가와트)	5/SN+㎿/SW+(/SS+메가와트/NNB+)/SS
이상의	이상/NNG+의/JKG
대규모	대/XPN+규모/NNG
단지	단지/NNG
조성이	조성/NNG+이/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.69.7.1
실제로 태양열 관련 국제 데이터베이스인 ‘솔라기스’(SolarGIS)가 지면에 직접 도달하는 햇볕의 양(수평면 직달 일사량)을 조사한 결과를 보면, 독일은 연평균 900~1200㎾h/㎡인 데 비해 한국은 연평균 1400~1600㎾h/㎡이다.

실제로	실제로/MAG
태양열	태양열/NNG
관련	관련/NNG
국제	국제/NNG
데이터베이스인	데이터베이스/NNG+이/VCP+ㄴ/ETM
