# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.429
metadata : {}


# id : NWRW1800000054.429.1.1
[文대통령 연설-경제] "내년 예산 9년새 최고 증가율(올해보다 7.1% 늘어난 429조)… 작은 정부가 善이라는 관념 깨야"

[文대통령	[/SS+文/SH+대통령/NNG
연설-경제]	연설/NNG+-/SO+경제/NNG+]/SS
"내년	"/SS+내년/NNG
예산	예산/NNG
9년새	9/SN+년/NNB+새/NNG
최고	최고/NNG
증가율(올해보다	증가/NNG+율/XSN+(/SS+올해/NNG+보다/JKB
7.1%	7/SN+./SP+1/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
429조)…	429/SN+조/NR+)/SS+…/SE
작은	작/VA+은/ETM
정부가	정부/NNG+가/JKS
善이라는	善/SH+이/VCP+라는/ETM
관념	관념/NNG
깨야"	깨/VV+어야/EC+"/SS


# id : NWRW1800000054.429.2.1
"민생 위해 재정 적극 투입" 국가주도 성장·큰 정부 강조

"민생	"/SS+민생/NNG
위해	위하/VV+아/EC
재정	재정/NNG
적극	적극/NNG
투입"	투입/NNG+"/SS
국가주도	국가/NNG+주도/NNG
성장·큰	성장/NNG+·/SP+크/VA+ㄴ/ETM
정부	정부/NNG
강조	강조/NNG


# id : NWRW1800000054.429.3.1
문재인 대통령은 1일 내년도 예산안 국회 시정연설의 절반 이상을 문재인 정부의 경제 정책인 '사람 중심 경제'를 통한 사회·경제 불평등 해소 등에 할애했다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
1일	1/SN+일/NNB
내년도	내년도/NNG
예산안	예산안/NNG
국회	국회/NNG
시정연설의	시정/NNG+연설/NNG+의/JKG
절반	절반/NNG
이상을	이상/NNG+을/JKO
정부의	정부/NNG+의/JKG
경제	경제/NNG
정책인	정책/NNG+이/VCP+ㄴ/ETM
'사람	'/SS+사람/NNG
중심	중심/NNG
경제'를	경제/NNG+'/SS+를/JKO
통한	통하/VV+ㄴ/ETM
사회·경제	사회/NNG+·/SP+경제/NNG
불평등	불/XPN+평등/NNG
해소	해소/NNG
등에	등/NNB+에/JKB
할애했다.	할애/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.3.2
또 세계 금융 위기가 닥쳤던 지난 2009년 이후 가장 큰 폭으로 늘어난 내년도 예산안을 설명하면서 '국가 주도 성장'을 강조했다.

또	또/MAG
세계	세계/NNG
금융	금융/NNG
위기가	위기/NNG+가/JKS
닥쳤던	닥치/VV+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
이후	이후/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
늘어난	늘어나/VV+ㄴ/ETM
내년도	내년도/NNG
예산안을	예산안/NNG+을/JKO
설명하면서	설명/NNG+하/XSV+면서/EC
'국가	'/SS+국가/NNG
주도	주도/NNG
성장'을	성장/NNG+'/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.3.3
그는 "작은 정부가 선(善)이라는 고정관념 속에서 국민 개개인은 자신과 가정을 지키기 위해 사력을 다해야 했다"며 "경제와 민생을 살리기 위해 재정이 좀 더 적극적인 역할을 해야 한다고 판단했다"고 했다.

그는	그/NP+는/JX
"작은	"/SS+작/VA+은/ETM
정부가	정부/NNG+가/JKS
선(善)이라는	선/NNG+(/SS+善/SH+)/SS+이/VCP+라는/ETM
고정관념	고정/NNG+관념/NNG
속에서	속/NNG+에서/JKB
국민	국민/NNG
개개인은	개개인/NNG+은/JX
자신과	자신/NNG+과/JC
가정을	가정/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
사력을	사력/NNG+을/JKO
다해야	다/MAG+하/XSV+아야/EC
했다"며	하/VX+았/EP+다/EF+"/SS+며/EC
"경제와	"/SS+경제/NNG+와/JC
민생을	민생/NNG+을/JKO
살리기	살리/VV+기/ETN
재정이	재정/NNG+이/JKS
좀	좀/MAG
더	더/MAG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
판단했다"고	판단/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.3.4
'작은 정부'보다는 '큰 정부'가 필요한 시점이라는 얘기였다.

'작은	'/SS+작/VA+은/ETM
정부'보다는	정부/NNG+'/SS+보다/JKB+는/JX
'큰	'/SS+크/VA+ㄴ/ETM
정부'가	정부/NNG+'/SS+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점이라는	시점/NNG+이/VCP+라는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.429.3.5
대기업의 투자나 고용 확대를 위한 인센티브 등은 언급하지 않았다.

대기업의	대/XPN+기업/NNG+의/JKG
투자나	투자/NNG+나/JC
고용	고용/NNG
확대를	확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
인센티브	인센티브/NNG
등은	등/NNB+은/JX
언급하지	언급/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.429.4.1
문 대통령은 연설에서 429조원 규모의 내년도 예산안에 대해 "새 정부 출범 후 처음 편성한 예산"이라며 "올해보다 7.1% 증가한 수준으로 세계 금융 위기이후 가장 높은 증가율(2009년·10.7% 증가)"이라고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
연설에서	연설/NNG+에서/JKB
429조원	429/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
내년도	내년도/NNG
예산안에	예산안/NNG+에/JKB
대해	대하/VV+아/EC
"새	"/SS+새/MMA
정부	정부/NNG
출범	출범/NNG
후	후/NNG
처음	처음/NNG
편성한	편성/NNG+하/XSV+ㄴ/ETM
예산"이라며	예산/NNG+"/SS+이/VCP+라며/EC
