# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.261
metadata : {}


# id : NWRW1800000036.261.1.1
아동음란물 단순 소지 성범죄 전력자 첫 기소

아동음란물	아동/NNG+음란물/NNG
단순	단순/NNG
소지	소지/NNG
성범죄	성범죄/NNG
전력자	전력자/NNG
첫	첫/MMN
기소	기소/NNG


# id : NWRW1800000036.261.2.1
[한겨레] 검찰, 5명 벌금형 약식기소…법무부 ‘화학적 거세’ 확대방침

[한겨레]	[/SS+한겨레/NNP+]/SS
검찰,	검찰/NNG+,/SP
5명	5/SN+명/NNB
벌금형	벌금형/NNG
약식기소…법무부	약식/NNG+기소/NNG+…/SE+법무부/NNG
‘화학적	‘/SS+화학/NNG+적/XSN
거세’	거세/NNG+’/SS
확대방침	확대/NNG+방침/NNG


# id : NWRW1800000036.261.3.1
검찰이 아동 음란물을 단순 소지한 이들을 적발해 수백만원씩의 벌금으로 처벌하도록 약식 기소했다.

검찰이	검찰/NNG+이/JKS
아동	아동/NNG
음란물을	음란물/NNG+을/JKO
단순	단순/NNG
소지한	소지/NNG+하/XSV+ㄴ/ETM
이들을	이/NP+들/XSN+을/JKO
적발해	적발/NNG+하/XSV+아/EC
수백만원씩의	수백만/NR+원/NNB+씩/XSN+의/JKG
벌금으로	벌금/NNG+으로/JKB
처벌하도록	처벌/NNG+하/XSV+도록/EC
약식	약식/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.261.3.2
아동 음란물을 소지하기만 해도 벌금 2000만원까지 처벌하도록 2009년 관련 법률이 개정된 이후 처음 있는 일이다.

아동	아동/NNG
음란물을	음란물/NNG+을/JKO
소지하기만	소지/NNG+하/XSV+기/ETN+만/JX
해도	하/VX+아도/EC
벌금	벌금/NNG
2000만원까지	2000/SN+만/NR+원/NNB+까지/JX
처벌하도록	처벌/NNG+하/XSV+도록/EC
2009년	2009/SN+년/NNB
관련	관련/NNG
법률이	법률/NNG+이/JKS
개정된	개정/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
처음	처음/NNG
