# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.338
metadata : {}


# id : NWRW1800000046.338.1.1
[세월호 인양] 김무성·유승민 "여론조사 없이 세월호 인양해야"

[세월호	[/SS+세월호/NNP
인양]	인양/NNG+]/SS
김무성·유승민	김무성/NNP+·/SP+유승민/NNP
"여론조사	"/SS+여론/NNG+조사/NNG
없이	없이/MAG
세월호	세월호/NNP
인양해야"	인양/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000046.338.2.1
金 "국내 기술로 충분히 가능"

金	金/SH
"국내	"/SS+국내/NNG
기술로	기술/NNG+로/JKB
충분히	충분히/MAG
가능"	가능/NNG+"/SS


# id : NWRW1800000046.338.3.1
새누리당 김무성 대표와 유승민 원내대표는 6일 세월호 인양 여부를 여론조사로 결정하는 문제에 부정적인 입장을 밝혔다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표와	대표/NNG+와/JC
유승민	유승민/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
6일	6/SN+일/NNB
세월호	세월호/NNP
인양	인양/NNG
여부를	여부/NNG+를/JKO
여론조사로	여론/NNG+조사/NNG+로/JKB
결정하는	결정/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.338.3.2
김 대표와 유 원내대표는 '여론조사 없이 세월호를 인양해야 한다'는 입장이다.

김	김/NNP
대표와	대표/NNG+와/JC
유	유/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
'여론조사	'/SS+여론/NNG+조사/NNG
없이	없이/MAG
세월호를	세월호/NNP+를/JKO
인양해야	인양/NNG+하/XSV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.338.4.1
유기준 해양수산부 장관은 6일자 본지 인터뷰에서 세월호 인양 여부를 결정할 여론 수렴의 구체적인 방식과 관련해 "세월호 인양 여부는 공론화 과정을 통해서 나타난 국민 여론을 겸허히 수용해서 결정하는 방식이 될 것"이라며 "여론조사가 가장 합리적인 방식"이라고 말했다.

유기준	유기준/NNP
해양수산부	해양/NNG+수산부/NNG
장관은	장관/NNG+은/JX
6일자	6/SN+일/NNB+자/NNG
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
세월호	세월호/NNP
인양	인양/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
여론	여론/NNG
수렴의	수렴/NNG+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
방식과	방식/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
"세월호	"/SS+세월호/NNP
여부는	여부/NNG+는/JX
공론화	공론/NNG+화/XSN
과정을	과정/NNG+을/JKO
통해서	통하/VV+아서/EC
나타난	나타나/VV+ㄴ/ETM
국민	국민/NNG
여론을	여론/NNG+을/JKO
겸허히	겸허히/MAG
수용해서	수용/NNG+하/XSV+아서/EC
결정하는	결정/NNG+하/XSV+는/ETM
방식이	방식/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"여론조사가	"/SS+여론/NNG+조사/NNG+가/JKS
가장	가장/MAG
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
방식"이라고	방식/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.338.4.2
이에 대해 여당 '투톱'이 공개적으로 반대 의사를 밝힌 것이다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
여당	여당/NNG
'투톱'이	'/SS+투톱/NNG+'/SS+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
반대	반대/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.338.5.1
