# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.15
metadata : {}


# id : NWRW1800000045.15.1.1
TV-빔프로젝터 등 모든 화면을 터치스크린으로

TV-빔프로젝터	TV/SL+-/SO+빔/NNG+프로젝터/NNG
등	등/NNB
모든	모든/MMN
화면을	화면/NNG+을/JKO
터치스크린으로	터치스크린/NNG+으로/JKB


# id : NWRW1800000045.15.2.1
[열려라, 사물인터넷 세상] ISL코리아의 ‘빅노트’

[열려라,	[/SS+열리/VV+어라/EF+,/SP
사물인터넷	사물/NNG+인터넷/NNG
세상]	세상/NNG+]/SS
ISL코리아의	ISL코리아/NNP+의/JKG
‘빅노트’	‘/SS+빅노트/NNP+’/SS


# id : NWRW1800000045.15.3.1
화면을 띄우는 빔 프로젝터나 TV 스크린이 터치와 필기까지 가능한 전자칠판으로 변신한다.

화면을	화면/NNG+을/JKO
띄우는	띄우/VV+는/ETM
빔	빔/NNG
프로젝터나	프로젝터/NNG+나/JC
TV	TV/SL
스크린이	스크린/NNG+이/JKS
터치와	터치/NNG+와/JC
필기까지	필기/NNG+까지/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
전자칠판으로	전자/NNG+칠판/NNG+으로/JKB
변신한다.	변신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.15.3.2
2013년 9월 설립된 벤처기업 ISL코리아가 개발한 ‘빅노트’(사진)는 모든 화면을 터치스크린으로 바꿀 수 있는 제품이다.

2013년	2013/SN+년/NNB
9월	9/SN+월/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
벤처기업	벤처/NNG+기업/NNG
ISL코리아가	ISL코리아/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
‘빅노트’(사진)는	‘/SS+빅노트/NNP+’/SS+(/SS+사진/NNG+)/SS+는/JX
모든	모든/MMN
화면을	화면/NNG+을/JKO
터치스크린으로	터치스크린/NNG+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.15.4.1
독보적인 기술력을 가지고 있었던 ISL코리아는 창업 5개월 만에 벤처캐피털 2곳과 서울산업진흥원으로부터 10억 5천만 원을 투자 받아 지난해 9월 빅노트를 만들었다.

독보적인	독보/NNG+적/XSN+이/VCP+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
가지고	가지/VV+고/EC
있었던	있/VX+었/EP+던/ETM
ISL코리아는	ISL코리아/NNP+는/JX
창업	창업/NNG
5개월	5/SN+개월/NNB
만에	만/NNB+에/JKB
벤처캐피털	벤처캐피털/NNG
2곳과	2/SN+곳/NNG+과/JC
서울산업진흥원으로부터	서울산업진흥원/NNP+으로부터/JKB
10억	10/SN+억/NR
5천만	5/SN+천만/NR
원을	원/NNB+을/JKO
투자	투자/NNG
받아	받/VV+아/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
빅노트를	빅노트/NNP+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.15.4.2
지난해 ISL코리아의 매출은 2억 원에 불과했지만 올해 매출 목표는 150억 원이다.

지난해	지난해/NNG
ISL코리아의	ISL코리아/NNP+의/JKG
매출은	매출/NNG+은/JX
2억	2/SN+억/NR
원에	원/NNB+에/JKB
불과했지만	불과/MAG+하/XSA+았/EP+지만/EC
올해	올해/NNG
매출	매출/NNG
목표는	목표/NNG+는/JX
150억	150/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.15.4.3
협의 중인 해외 수출이 성과를 거둔다면 200억 원도 가능할 것으로 보인다.

협의	협의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
해외	해외/NNG
수출이	수출/NNG+이/JKS
성과를	성과/NNG+를/JKO
거둔다면	거두/VV+ㄴ다면/EC
200억	200/SN+억/NR
원도	원/NNB+도/JX
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.15.5.1
빅노트는 카메라를 통해 입력받은 영상을 분석해 가상의 좌표를 생성하고 여기에 컴퓨터나 스마트폰 화면을 대입하는 시스템이다.

빅노트는	빅노트/NNP+는/JX
카메라를	카메라/NNG+를/JKO
통해	통하/VV+아/EC
입력받은	입력/NNG+받/XSV+은/ETM
영상을	영상/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
가상의	가상/NNG+의/JKG
좌표를	좌표/NNG+를/JKO
생성하고	생성/NNG+하/XSV+고/EC
여기에	여기/NP+에/JKB
컴퓨터나	컴퓨터/NNG+나/JC
