# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.157
metadata : {}


# id : NWRW1800000022.157.1.1
[대구·경북] 400년 전 '원이 엄마 편지' 감동을 되살린다

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
400년	400/SN+년/NNB
전	전/NNG
'원이	'/SS+원이/NNP
엄마	엄마/NNG
편지'	편지/NNG+'/SS
감동을	감동/NNG+을/JKO
되살린다	되살리/VV+ㄴ다/EF


# id : NWRW1800000022.157.2.1
400년 전 한 조선 여인의 뜨거운 사랑으로 세계인의 심금을 울렸던 '원이 엄마 편지'가 편지의 고향 안동에서 음악을 통해 그 감동이 되살아난다.

400년	400/SN+년/NNB
전	전/NNG
한	한/MMN
조선	조선/NNP
여인의	여인/NNG+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
사랑으로	사랑/NNG+으로/JKB
세계인의	세계인/NNG+의/JKG
심금을	심금/NNG+을/JKO
울렸던	울리/VV+었/EP+던/ETM
'원이	'/SS+원이/NNP
엄마	엄마/NNG
편지'가	편지/NNG+'/SS+가/JKS
편지의	편지/NNG+의/JKG
고향	고향/NNG
안동에서	안동/NNP+에서/JKB
음악을	음악/NNG+을/JKO
통해	통하/VV+아/EC
그	그/MMD
감동이	감동/NNG+이/JKS
되살아난다.	되살아나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.157.3.1
아리랑팝스오케스트라는 1일 오후 7시 안동 웅부공원 내 특설무대에서 제17회 정기연주회를 연다.

아리랑팝스오케스트라는	아리랑팝스오케스트라/NNP+는/JX
1일	1/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
안동	안동/NNP
웅부공원	웅부공원/NNP
내	내/NNB
특설무대에서	특설/NNG+무대/NNG+에서/JKB
제17회	제/XPN+17/SN+회/NNB
정기연주회를	정기/NNG+연주회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.157.3.2
이번 연주회의 압권은 단연 '원이 엄마 편지'다.

이번	이번/NNG
연주회의	연주회/NNG+의/JKG
압권은	압권/NNG+은/JX
단연	단연/MAG
'원이	'/SS+원이/NNP
엄마	엄마/NNG
편지'다.	편지/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.157.4.1
'400년 전의 사부곡(思夫曲)'이라는 이름으로 장혜숙씨가 '원이 엄마 편지'를 낭송한다.

'400년	'/SS+400/SN+년/NNB
전의	전/NNG+의/JKG
사부곡(思夫曲)'이라는	사부곡/NNG+(/SS+思夫曲/SH+)/SS+'/SS+이/VCP+라는/ETM
이름으로	이름/NNG+으로/JKB
장혜숙씨가	장혜숙/NNP+씨/NNB+가/JKS
'원이	'/SS+원이/NNP
엄마	엄마/NNG
편지'를	편지/NNG+'/SS+를/JKO
낭송한다.	낭송/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.157.5.1
낭송 전후로는 국악 연주를 감상하면서 여운을 즐기도록 할 예정이다.

낭송	낭송/NNG
전후로는	전후/NNG+로/JKB+는/JX
국악	국악/NNG
연주를	연주/NNG+를/JKO
감상하면서	감상/NNG+하/XSV+면서/EC
여운을	여운/NNG+을/JKO
즐기도록	즐기/VV+도록/EC
할	하/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.157.6.1
2부는 '클래식과 팝의 만남' 순서다.

2부는	2/SN+부/NNB+는/JX
'클래식과	'/SS+클래식/NNG+과/JC
팝의	팝/NNG+의/JKG
만남'	만남/NNG+'/SS
순서다.	순서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.157.7.1
'원이 엄마 편지'는 조선시대 때 남편을 먼저 떠나 보낸 여인이 애끓는 심정을 담아 쓴 편지로 널리 알려졌다.

'원이	'/SS+원이/NNP
엄마	엄마/NNG
편지'는	편지/NNG+'/SS+는/JX
조선시대	조선시대/NNG
때	때/NNG
남편을	남편/NNG+을/JKO
먼저	먼저/MAG
떠나	떠나/VV+아/EC
보낸	보내/VV+ㄴ/ETM
여인이	여인/NNG+이/JKS
애끓는	애끓/VV+는/ETM
심정을	심정/NNG+을/JKO
담아	담/VV+아/EC
쓴	쓰/VV+ㄴ/ETM
편지로	편지/NNG+로/JKB
널리	널리/MAG
알려졌다.	알려지/VV+었/EP+다/EF+./SF


